Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"615,302","26,114","49,966","539,222",4/15/20 3:00
New York,USA,"203,377","10,842","26,999","165,536",4/15/20 3:00
Spain,Spain,"174,060","18,255","67,504","88,301",4/15/20 2:00
Italy,Italy,"162,488","21,067","37,130","104,291",4/14/20 17:00
France,France,"143,303","15,729","28,805","98,769",4/14/20 20:00
Germany,Germany,"132,196","3,512","72,600","56,084",2020-04-15 01:00:00 * States Baden-Württemberg 26818; Bavaria 34881; Berlin 4736; Brandenburg 2125; Bremen 499; Hamburg 3925; Hesse 6278; Mecklenburg-Vorpommern 624; Lower Saxony 8510; North Rhine-Westphalia 27406; Rhineland-Palatinate 5154; Saarland 2168; Saxony 3997; Saxony-Anhalt 1239; Schleswig-Holstein 2271; Thuringia 1565. Source: @engmann
United Kingdom,United Kingdom,"84,279","10,612",344,"73,323",4/12/20 17:00
Mainland China,Mainland China,"82,264","3,327","77,103","1,834",4/15/20 1:00
Iran,Iran,"74,877","4,683","48,129","22,065",4/14/20 14:00
New Jersey,USA,"68,824","2,805",394,"65,625",4/15/20 3:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Turkey,Turkey,"65,111","1,403","4,799","58,909",4/14/20 20:00
Belgium,Belgium,"31,119","4,157","6,868","20,094",4/14/20 14:00
Massachusetts,USA,"28,164",957,729,"26,478",4/15/20 3:00
Netherlands,Netherlands,"27,419","2,945",250,"24,224",4/14/20 14:00
Canada,Canada,"27,063",903,"8,235","17,925",2020-04-15 03:00:00 * Completed Tests: 462841; Tests in Progress 5151; Provinces: British Columbia 1517; Alberta 1870; Saskatchewan 301; Manitoba 246; Ontario 7953; Quebec 14248; Newfoundland and Labrador 244; New Brunswick 116; Nova Scotia 517; Prince Edward Island 25; Yukon 8; Northwest Territories 5; Nunavut 0; Repatriated travellers 13
Michigan,USA,"27,001","1,768",433,"24,800",4/15/20 3:00
Switzerland,Switzerland,"25,936","1,174","13,700","11,062",4/14/20 17:00
California,USA,"25,779",790,"1,321","23,668",4/15/20 3:00
Pennsylvania,USA,"25,591",702,264,"24,625",4/15/20 3:00
Brazil,Brazil,"25,262","1,532",127,"23,603",2020-04-15 01:00:00 * States Acre 99 Amazonas 1484 Amapá 307 Pará 323 Rondônia 64 Roraima 113 Tocantins 26 Alagoas 72 Bahia 759 Ceara 2005 Maranhão 478 Paraíba 136 Pernambuco 1284 Piauí 58 Rio Grande do Norte 376 Sergipe 45 Espírito Santo 463 Minas Gerais 884 Rio de Janeiro 3410 São Paulo 9371 Distrito Federal 651 Goiás 284 Mato Grosso do Sul 115 Mato Grosso 138 Paraná 791 Rio Grande do Sul 700 Santa Catarina 826. Source: @HeidyBello
Illinois,USA,"23,248",869,409,"21,970",4/15/20 3:00
Florida,USA,"21,628",571,163,"20,894",4/15/20 3:00
Louisiana,USA,"21,518","1,013",0,"20,505",4/15/20 3:00
Russia,Russia,"21,102",170,"1,694","19,238",4/14/20 14:00
Portugal,Portugal,"17,448",567,347,"16,534",4/14/20 14:00
Texas,USA,"15,343",362,"2,677","12,304",4/15/20 3:00
Georgia,USA,"14,578",525,340,"13,713",4/15/20 3:00
Austria,Austria,"14,226",384,"7,633","6,209",4/14/20 20:00
Connecticut,USA,"13,989",671,63,"13,255",4/15/20 3:00
Israel,Israel,"12,046",123,"2,195","9,728",4/14/20 20:00
India,India,"11,487",393,"1,361","9,733",2020-04-15 03:00:00 * States: Maharashtra 2684; Delhi 1561; Tamil Nadu 1204; Rajasthan 1005; Madhya Pradesh 741; Telangana 644; Gujarat 650; Uttar Pradesh 660; Andhra Pradesh 483; Kerala 386; Jammu and Kashmir 278; Karnataka 260; Haryana 198; West Bengal 190; Punjab 184; Bihar 66; Odisha 60; Uttarakhand 37; Himachal Pradesh 32; Chhattisgarh 33; Assam 32; Jharkhand 27; Chandigarh 21; Ladakh 17; Andaman and Nicobar Islands 11; Goa 7; Puducherry 7; Manipur 2; Tripura 2; Mizoram 1; Arunachal Pradesh 1; Dadra and Nagar Haveli 1; Nagaland 1; Meghalaya 1; Daman and Diu 0; Lakshadweep 0; Sikkim 0
Ireland,Ireland,"11,479",406,25,"11,048",4/14/20 20:00
Sweden,Sweden,"11,445","1,033",381,"10,031",4/14/20 14:00
Washington,USA,"10,976",546,"1,424","9,006",4/15/20 3:00
South Korea,South Korea,"10,564",222,"7,534","2,808",4/14/20 2:00
Peru,Peru,"10,303",230,"2,869","7,204",2020-04-14 19:00:00 * Lima 7476; Callao 908; Lambayeque 427; Loreto 357; Piura 224; La Libertad 166; Ancash 124; Cusco 106; Arequipa 99; Ica 76; Tumbes 69; Junin 68; Ucayali 32; Amazonas 25; San Martin 23; Cajamarca 19; Madre de Dios 19; Huanuco 15; Ayacucho 15; Moquegua 13; Pasco 11; Huancavelica 10; Apurimac 10; Tacna 9; Puno 2. @SouthernVOID
Maryland,USA,"9,472",302,594,"8,576",4/15/20 3:00
Indiana,USA,"8,527",387,131,"8,009",4/15/20 3:00
Colorado,USA,"7,950",329,498,"7,123",4/15/20 3:00
Chile,Chile,"7,917",92,"2,646","5,179",2020-04-14 17:00:00 * Arica 120; Tarapaca 62; Antofagasta 155; Atacama 13; Coquimbo 66; Valparaiso 285; Metropolitana 4086; O'Higgins 53; Maule 142; Ñuble 622; Biobio 528; Araucania 816; Los Rios 148; Los Lagos 385; Aysen 7; Magallanes 429. Source: @SouthernVOID
Japan,Japan,"7,885",146,853,"6,886",4/15/20 2:00
Ecuador,Ecuador,"7,603",355,696,"6,552",4/14/20 20:00
Ohio,USA,"7,285",324,305,"6,656",4/15/20 3:00
Poland,Poland,"7,202",263,618,"6,321",4/14/20 17:00
Romania,Romania,"6,879",346,"1,051","5,482",4/14/20 14:00
Norway,Norway,"6,623",139,32,"6,452",4/14/20 17:00
Denmark,Denmark,"6,511",299,"2,515","3,697",4/14/20 20:00
Pakistan,Pakistan,"6,495",66,727,"5,702",4/10/20 16:00
Australia,Australia,"6,494",61,"2,186","4,247",4/14/20 14:00
Virginia,USA,"6,182",157,721,"5,304",4/15/20 3:00
Czech Republic,Czech Republic,"6,111",161,642,"5,308",4/14/20 20:00
Tennessee,USA,"5,827",124,"1,969","3,734",4/15/20 3:00
Saudi Arabia,Saudi Arabia,"5,369",73,889,"4,407",4/14/20 14:00
Philippines,Philippines,"5,223",335,295,"4,593",4/14/20 14:00
North Carolina,USA,"5,170",120,883,"4,167",4/15/20 3:00
Mexico,Mexico,"5,014",332,"1,964","2,718",4/14/20 2:00
