Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"337,568","9,650","17,449","310,469",4/6/20 0:00
Spain,Spain,"131,646","12,641","38,080","80,925",4/6/20 0:00
Italy,Italy,"128,948","15,887","21,815","91,246",4/5/20 20:00
New York,USA,"123,160","4,159",0,"119,001",2020-04-06 00:00:00 * CTY: Albany 305; Allegany 16; Broome 71; Cattaraugus 10; Cayuga 8; Chautauqua 18; Chemung 38; Chenango 43; Clinton 33; Columbia 69; Cortland 14; Delaware 27; Dutchess 1077; Erie 1059; Essex 9; Franklin 10; Fulton 9; Genesee 22; Greene 24; Hamilton 2; Herkimer 22; Jefferson 26; Lewis 3; Livingston 24; Madison 89; Monroe 548; Montgomery 15; Nassau 14398; New York 67551; Niagara 116; Oneida 95; Onondaga 364; Ontario 32; Orange 3187; Orleans 11; Oswego 32; Otsego 29; Putnam 314; Rensselaer 74; Rockland 5326; Saratoga 150; Schenectady 128; Schoharie 11; Schuyler 4; Seneca 9; Steuben 73; St. Lawrence 61; Suffolk 13129; Sullivan 193; Tioga 8; Tompkins 95; Ulster 358; Warren 25; Washington 18; Wayne 32; Westchester 13723; Wyoming 22; Yates 1
Germany,Germany,"99,855","1,588","28,700","69,567",2020-04-06 02:00:00 * States Baden-Württemberg 20813; Bavaria 25472; Berlin 3687; Brandenburg 1457; Bremen 395; Hamburg 3019; Hesse 4652; Mecklenburg-Vorpommern 528; Lower Saxony 6267; North Rhine-Westphalia 21157; Rhineland-Palatinate 3952; Saarland 1544; Saxony 3079; Saxony-Anhalt 976; Schleswig-Holstein 1677; Thuringia 1180; Source: tencent.com
France,France,"92,839","8,078","16,183","68,578",4/6/20 0:00
Mainland China,Mainland China,"81,668","3,326","76,843","1,499",4/5/20 7:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"58,226","3,603","19,736","34,887",4/5/20 11:00
United Kingdom,United Kingdom,"47,806","4,934",135,"42,737",4/5/20 15:00
New Jersey,USA,"37,505",917,0,"36,588",2020-04-06 00:00:00 * CTY: Atlantic 121; Bergen 6187; Burlington 547; Camden 556; Cape May 77; Cumberland 54; Essex 4082; Gloucester 248; Hudson 3924; Hunterdon 189; Mercer 654; Middlesex 2950; Monmouth 2354; Morris 1800; Ocean 2177; Passaic 3227; Salem 26; Somerset 833; Sussex 267; Union 3216; unknown 3821; Warren 195
Turkey,Turkey,"27,069",574,"1,042","25,453",4/5/20 20:00
Switzerland,Switzerland,"21,100",685,"6,415","14,000",4/5/20 15:00
Belgium,Belgium,"19,691","1,447","3,751","14,493",4/5/20 11:00
Netherlands,Netherlands,"17,851","1,766",250,"15,835",4/5/20 15:00
Michigan,USA,"15,718",617,0,"15,101",2020-04-06 00:00:00 * CTY: Allegan 14; Antrim 4; Arenac 3; Barry 6; Bay 30; Benzie 1; Berrien 58; Branch 13; Calhoun 42; Cass 7; Charlevoix 7; Cheboygan 8; Chippewa 2; Clare 1; Clinton 55; Crawford 1; Delta 7; Dickinson 1; Eaton 55; Emmet 13; Genesee 504; Gladwin 4; Gogebic 3; Grand Traverse 12; Gratiot 4; Hillsdale 44; Houghton 1; Huron 4; Ingham 172; Ionia 8; Iosco 3; Isabella 12; Jackson 90; Kalamazoo 53; Kalkaska 8; Kent 165; Lapeer 45; Leelanau 1; Lenawee 31; Livingston 135; Luce 1; Mackinac 2; Macomb 2003; Manistee 4; Marquette 14; Mecosta 6; Midland 18; Missaukee 1; Monroe 108; Montcalm 14; Muskegon 31; Newaygo 2; Oakland 3035; Oceana 3; Ogemaw 3; Ontonagon 1; Osceola 3; Oscoda 2; Other 238; Otsego 24; Ottawa 44; Out of State 83; Roscommon 5; Saginaw 118; Sanilac 13; Shiawassee 23; St. Clair 94; St. Joseph 10; Tuscola 22; unknown 111; Van Buren 14; Washtenaw 518; Wayne 3023; Wayne--Detroit 4495; Wexford 5
Canada,Canada,"15,512",280,"3,110","12,122",2020-04-06 02:00:00 * (not upadted after 14018) Completed Tests: 320305 Quebec 6997; Ontario 3630; British Columbia 1203; Alberta 1181; Nova Scotia 236; Saskatchewan 231; Newfoundland 203; Manitoba 194; New Brunswick 98; Prince Edward Island 22; Yukon 6; Northwest Territories 4; Yukon 6; CDN 13
California,USA,"15,154",349,0,"14,805",2020-04-06 00:00:00 * CTY: Alameda 566; Alpine 1; Amador 3; Butte 11; Calaveras 4; Colusa 2; Contra Costa 386; Del Norte 2; El Dorado 22; Fresno 103; Glenn 2; Humboldt 44; Imperial 57; Inyo 11; Kern 230; Kings 5; Los Angeles 5955; Madera 28; Marin 137; Mendocino 4; Merced 27; Mono 19; Monterey 62; Napa 20; Nevada 31; Orange 834; Placer 103; Plumas 3; Riverside 799; Sacramento 442; San Benito 23; San Bernardino 372; San Diego 1326; San Francisco 568; San Joaquin 191; San Luis Obispo 95; San Mateo 555; Santa Barbara 168; Santa Clara 1207; Santa Cruz 69; Shasta 17; Siskiyou 3; Solano 73; Sonoma 107; Stanislaus 65; Sutter 16; Tehama 1; Tulare 116; Tuolumne 2; Ventura 221; Yolo 37; Yuba 9
