Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"430,563","14,756","23,483","392,324",4/9/20 0:00
New York,USA,"151,061","6,268","15,888","128,905",2020-04-09 00:00:00 * CTY: Albany 342; Allegany 21; Broome 93; Cattaraugus 15; Cayuga 14; Chautauqua 18; Chemung 55; Chenango 53; Clinton 39; Columbia 76; Cortland 16; Delaware 37; Dutchess 1395; Erie 1335; Essex 9; Franklin 10; Fulton 14; Genesee 47; Greene 25; Hamilton 2; Herkimer 29; Jefferson 40; Lewis 6; Livingston 29; Madison 92; Monroe 651; Montgomery 18; Nassau 18548; New York 81803; Niagara 155; Oneida 125; Onondaga 422; Ontario 39; Orange 4075; Orleans 16; Oswego 34; Otsego 38; Putnam 427; Rensselaer 88; Rockland 6413; Saratoga 162; Schenectady 149; Schoharie 12; Schuyler 4; Seneca 12; Steuben 87; St. Lawrence 78; Suffolk 17008; Sullivan 296; Tioga 15; Tompkins 105; Ulster 462; Warren 33; Washington 20; Wayne 39; Westchester 15887; Wyoming 27; Yates 1
Spain,Spain,"148,220","14,792","48,021","85,407",4/8/20 23:00
Italy,Italy,"139,422","17,669","26,491","95,262",4/8/20 17:00
Germany,Germany,"113,067","2,256","36,081","74,730",2020-04-09 00:00:00 * States (not updated after 107851) Baden-Württemberg 22091; Bavaria 28025; Berlin 4038; Brandenburg 1607; Bremen 424; Hamburg 3217; Hesse 4997; Mecklenburg-Vorpommern 555; Lower Saxony 6771; North Rhine-Westphalia 22756; Rhineland-Palatinate 4329; Saarland 1700; Saxony 3245; Saxony-Anhalt 1037; Schleswig-Holstein 1783; Thuringia 1276; Source: @iceweasel
France,France,"112,950","10,869","21,254","80,827",4/8/20 21:00
Mainland China,Mainland China,"81,804","3,327","76,925","1,552",4/8/20 3:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"64,586","3,993","27,039","33,554",4/8/20 15:00
United Kingdom,United Kingdom,"60,733","7,097",135,"53,501",4/8/20 17:00
New Jersey,USA,"47,437","1,504",51,"45,882",2020-04-09 00:00:00 * CTY: Atlantic 168; Bergen 7874; Burlington 801; Camden 838; Cape May 100; Cumberland 80; Essex 5598; Gloucester 340; Hudson 5437; Hunterdon 255; Mercer 992; Middlesex 4156; Monmouth 3038; Morris 2468; Ocean 2856; Passaic 4372; Salem 36; Somerset 1160; Sussex 357; Union 4831; unknown 1391; Warren 289
Turkey,Turkey,"38,226",812,"1,846","35,568",4/8/20 21:00
Belgium,Belgium,"23,403","2,240","4,681","16,482",4/8/20 10:00
Switzerland,Switzerland,"23,280",895,"9,800","12,585",4/8/20 23:00
Netherlands,Netherlands,"20,549","2,248",250,"18,051",4/8/20 15:00
Michigan,USA,"20,346",959,94,"19,293",2020-04-09 00:00:00 * CTY: Allegan 18; Antrim 6; Arenac 4; Barry 7; Bay 39; Berrien 72; Branch 18; Calhoun 51; Cass 9; Charlevoix 8; Cheboygan 10; Chippewa 1; Clare 2; Clinton 82; Crawford 5; Delta 8; Dickinson 2; Eaton 67; Emmet 15; Genesee 713; Gladwin 4; Gogebic 3; Grand Traverse 15; Gratiot 5; Hillsdale 62; Houghton 1; Huron 4; Ingham 205; Ionia 11; Iosco 4; Isabella 22; Jackson 126; Kalamazoo 67; Kalkaska 10; Kent 207; Lapeer 64; Leelanau 4; Lenawee 36; Livingston 174; Luce 1; Mackinac 3; Macomb 2626; Manistee 9; Marquette 18; Mason 1; Mecosta 8; Midland 24; Missaukee 1; Monroe 152; Montcalm 18; Muskegon 42; Newaygo 3; Oakland 4007; Oceana 3; Ogemaw 3; Osceola 3; Oscoda 2; Other 287; Otsego 29; Ottawa 55; Out of State 126; Presque Isle 1; Roscommon 6; Saginaw 186; Sanilac 22; Schoolcraft 1; Shiawassee 27; St. Clair 140; St. Joseph 16; Tuscola 27; unknown 77; Van Buren 18; Washtenaw 610; Wayne 3802; Wayne--Detroit 5824; Wexford 7
Canada,Canada,"19,289",435,"4,653","14,201",2020-04-09 00:00:00 * Completed Tests: 370315; Tests in Progress 4425; Provinces: British Columbia 1336;Alberta 1423;Saskatchewan 271;Manitoba 221;Ontario 5276;Quebec 10031;Newfoundland and Labrador 232;New Brunswick 108;Nova Scotia 342;Prince Edward Island 24;Yukon 7;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
California,USA,"18,752",495,397,"17,860",2020-04-09 00:00:00 * CTY: Alameda 674; Alpine 1; Amador 3; Butte 13; Calaveras 5; Colusa 3; Contra Costa 462; Del Norte 2; El Dorado 28; Fresno 146; Glenn 2; Humboldt 50; Imperial 73; Inyo 11; Kern 271; Kings 5; Lake 2; Los Angeles 7559; Madera 28; Marin 148; Mendocino 4; Merced 34; Mono 19; Monterey 64; Napa 25; Nevada 34; Orange 1016; Placer 117; Plumas 3; Riverside 1179; Sacramento 580; San Benito 33; San Bernardino 547; San Diego 1454; San Francisco 676; San Joaquin 228; San Luis Obispo 102; San Mateo 617; Santa Barbara 218; Santa Clara 1380; Santa Cruz 76; Shasta 23; Siskiyou 4; Solano 99; Sonoma 123; Stanislaus 90; Sutter 19; Tehama 1; Tulare 168; Tuolumne 1; Ventura 263; Yolo 56; Yuba 13
Louisiana,USA,"17,030",652,0,"16,378",2020-04-09 00:00:00 * CTY: Acadia 86; Allen 65; Ascension 366; Assumption 89; Avoyelles 48; Beauregard 23; Bienville 17; Bossier 159; Caddo 803; Calcasieu 191; Caldwell 14; Cameron 1; Catahoula 14; Claiborne 33; Concordia 12; De Soto 91; East Baton Rouge 935; East Carroll 1; East Feliciana 39; Evangeline 25; Franklin 30; Grant 10; Iberia 97; Iberville 171; Jackson 5; Jefferson 4092; Jefferson Davis 28; Lafayette 285; Lafourche 355; La Salle 8; Lincoln 24; Livingston 99; Madison 2; Morehouse 23; Natchitoches 25; Orleans 5070; Ouachita 275; Parish Under Investigation 49; Plaquemines 123; Pointe Coupee 27; Rapides 135; Red River 3; Richland 13; Sabine 7; St. Bernard 304; St. Charles 328; St. Helena 10; St. James 181; St. John the Baptist 432; St. Landry 86; St. Martin 112; St. Mary 81; St. Tammany 733; Tangipahoa 269; Terrebonne 209; Union 35; Vermilion 22; Vernon 11; Washington 106; Webster 51; West Baton Rouge 54; West Carroll 1; West Feliciana 32; Winn 5
Massachusetts,USA,"16,790",433,311,"16,046",2020-04-09 00:00:00 * CTY: Barnstable 423; Berkshire 281; Bristol 835; Dukes and Nantucket 17; Essex 2103; Franklin 117; Hampden 1081; Hampshire 164; Middlesex 3545; Norfolk 1778; Plymouth 1327; Suffolk 3600; unknown 223; Worcester 1296
Pennsylvania,USA,"16,631",318,134,"16,179",2020-04-09 00:00:00 * CTY: Adams 33; Allegheny 720; ​Armstrong 19; Beaver 128; Bedford 4; Berks 416; Blair 6; Bradford 15; Bucks 816; Butler 113; Cambria 9; Cameron 1; ​Carbon 76; Centre 57; Chester 373; Clarion 8; ​Clearfield 7; Clinton 3; Columbia 54; Crawford 8; Cumberland 84; Dauphin 168; Delaware 1034; Elk 2; Erie 29; Fayette 35; Forest 5; Franklin 43; Fulton 1; Greene 17; Huntingdon 6; Indiana 21; Jefferson 1; Juniata 18; Lackawanna 266; Lancaster 561; Lawrence 32; Lebanon 169; Lehigh 1319; Luzerne 1134; Lycoming 15; McKean 1; Mercer 27; Mifflin 10; Monroe 671; Montgomery 1521; Montour 37; Northampton 857; Northumberland 22; Perry 13; Philadelphia 4777; Pike 148; Potter 3; Schuylkill 136; Snyder 9; ​Somerset 7; Sullivan 1; Susquehanna 14; Tioga 10; Union 8; Venango 5; Warren 1; Washington 59; Wayne 47; Westmoreland 183; Wyoming 5; York 233
Brazil,Brazil,"15,927",800,127,"15,000",2020-04-09 00:00:00 * States Acre 54 Amazonas 804 Amapá 107 Pará 167 Rondônia 18 Roraima 49 Tocantins 23 Alagoas 37 Bahia 497 Ceara 1291 Maranhão 230 Paraíba 41 Pernambuco 401 Piauí 31 Rio Grande do Norte 261 Sergipe 36 Espírito Santo 227 Minas Gerais 614 Rio de Janeiro 1938 São Paulo 6708 Distrito Federal 509 Goiás 158 Mato Grosso do Sul 85 Mato Grosso 90 Paraná 539 Rio Grande do Sul 555 Santa Catarina 457. @HeidyBello
