Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"278,492","7,166","9,897","261,429",4/4/20 3:00
Italy,Italy,"119,827","14,681","19,758","85,388",4/3/20 17:00
Spain,Spain,"119,199","11,198","30,513","77,488",4/3/20 22:00
New York,USA,"103,169","2,935",0,"100,234",2020-04-04 03:00:00 * CTY: Albany 267; Allegany 14; Broome 56; Cattaraugus 9; Cayuga 6; Chautauqua 9; Chemung 35; Chenango 32; Clinton 30; Columbia 57; Cortland 14; Delaware 24; Dutchess 809; Erie 802; Essex 7; Franklin 10; Fulton 6; Genesee 17; Greene 23; Hamilton 2; Herkimer 14; Jefferson 18; Lewis 2; Livingston 18; Madison 78; Monroe 464; Montgomery 10; Nassau 12024; New York 57159; Niagara 94; Oneida 71; Onondaga 322; Ontario 28; Orange 2470; Orleans 6; Oswego 28; Otsego 21; Putnam 252; Rensselaer 67; Rockland 4289; Saratoga 141; Schenectady 110; Schoharie 11; Schuyler 3; Seneca 6; Steuben 46; St. Lawrence 48; Suffolk 10154; Sullivan 188; Tioga 8; Tompkins 93; Ulster 266; Warren 19; Washington 15; Wayne 30; Westchester 12351; Wyoming 15; Yates 1
Germany,Germany,"91,159","1,275","24,575","65,309",2020-04-03 22:00:00 * States (not updated after 776360) Baden-Württemberg 16076; Bavaria 18571; Berlin 2993; Brandenburg 1107; Bremen 332; Hamburg 2437; Hesse 3758; Mecklenburg-Vorpommern 443; Lower Saxony 5008; North Rhine-Westphalia 17157; Rhineland-Palatinate 3331; Saarland 1073; Saxony 2304; Saxony-Anhalt 820; Schleswig-Holstein 1299; Thuringia 927; Source: @iceweasel
Mainland China,Mainland China,"81,623","3,312","76,335","1,976",4/3/20 10:00
Hubei,Mainland China,"67,802","3,193","63,326","1,283",4/1/20 7:00
France,France,"64,338","6,507","14,008","43,823",4/3/20 20:00
Iran,Iran,"53,183","3,294","17,935","31,954",4/3/20 16:00
United Kingdom,United Kingdom,"38,168","3,605",135,"34,428",4/3/20 16:00
New Jersey,USA,"29,895",646,0,"29,249",2020-04-04 03:00:00 * CTY: Atlantic 72; Bergen 4866; Burlington 367; Camden 406; Cape May 44; Cumberland 36; Essex 3067; Gloucester 183; Hudson 2835; Hunterdon 148; Mercer 484; Middlesex 2125; Monmouth 1743; Morris 1298; Ocean 1685; Passaic 2216; Salem 25; Somerset 641; Sussex 210; Union 2487; unknown 4808; Warren 149
