Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"143,101","2,517","4,865","135,719",3/30/20 3:00
Italy,Italy,"97,689","10,779","13,030","73,880",3/29/20 21:00
Mainland China,Mainland China,"81,455","3,300","75,505","2,650",3/30/20 1:00
Spain,Spain,"80,110","6,803","14,709","58,598",3/30/20 2:00
Hubei,Mainland China,"67,801","3,182","62,570","2,049",3/29/20 2:00
Germany,Germany,"62,321",535,"9,211","52,575",2020-03-30 01:00:00 * States Baden-Württemberg 12779; Bavaria 14413; Berlin 2462; Brandenburg 861; Bremen 291; Hamburg 2078; Hesse 3091; Mecklenburg-Vorpommern 361; Lower Saxony 3933; North Rhine-Westphalia 14195; Rhineland-Palatinate 2772; Saarland 738; Saxony 1884; Saxony-Anhalt 677; Schleswig-Holstein 1024; Thuringia 762; Source: @iceweasel
New York,USA,"59,746",966,0,"58,780",2020-03-30 03:00:00 * CTY: New York 33768; Westchester 8519; Nassau 6445; Suffolk 5023; Rockland 2209; Orange 1247; Erie 414; Dutchess 320; Monroe 223; Albany 205; Onondaga 194; Ulster 186; Putnam 144; Saratoga 108; Sullivan 88; Schenectady 76; Tompkins 70; Rensselaer 52; Madison 42; Niagara 38; Columbia 33; Broome 29; Oneida 26; Warren 18; Ontario 18; Steuben 17; Chemung 15; Oswego 15; Chenango 15; Otsego 14; Clinton 14; St. Lawrence 13; Livingston 13; Wayne 12; Cortland 10; Herkimer 10; Genesee 9; Washington 9; Wyoming 8; Delaware 8; Greene 7; Tioga 7; Chautauqua 7; Jefferson 7; Allegany 6; Montgomery 6; Franklin 6; Schoharie 5; Essex 5; Cattaraugus 4; Orleans 3; Hamilton 2; Cayuga 2; Fulton 1; Schuyler 1
France,France,"40,174","2,606","7,202","30,366",3/29/20 21:00
Iran,Iran,"38,309","2,640","12,391","23,278",3/29/20 12:00
United Kingdom,United Kingdom,"19,522","1,228",135,"18,159",3/29/20 16:00
Switzerland,Switzerland,"14,829",300,"1,595","12,934",3/29/20 16:00
New Jersey,USA,"13,386",161,0,"13,225",2020-03-30 03:00:00 * CTY: unknown 3020; Bergen 2169; Essex 1227; Hudson 974; Middlesex 938; Union 896; Monmouth 870; Passaic 831; Ocean 759; Morris 566; Somerset 295; Mercer 202; Camden 163; Burlington 142; Sussex 93; Gloucester 72; Hunterdon 66; Warren 56; Atlantic 24; Cumberland 11; Cape May 9; Salem 3
Netherlands,Netherlands,"10,866",771,3,"10,092",3/29/20 16:00
Belgium,Belgium,"10,836",431,"1,359","9,046",3/29/20 12:00
South Korea,South Korea,"9,583",152,"5,033","4,398",3/29/20 12:00
Turkey,Turkey,"9,217",131,105,"8,981",3/29/20 21:00
Austria,Austria,"8,788",86,479,"8,223",3/30/20 2:00
California,USA,"6,345",132,0,"6,213",2020-03-30 03:00:00 * CTY: Los Angeles 2136; Santa Clara 646; San Diego 515; Orange 431; San Francisco 340; San Mateo 277; Alameda 270; Riverside 233; Contra Costa 175; Sacramento 164; San Joaquin 121; San Bernardino 111; Ventura 109; Marin 93; San Luis Obispo 71; Santa Barbara 68; Sonoma 58; Placer 53; Kern 51; Santa Cruz 44; Fresno 43; Monterey 36; Tulare 35; Solano 34; Stanislaus 31; Imperial 25; Madera 18; Humboldt 18; Nevada 17; Yolo 16; Napa 14; San Benito 14; Mono 13; El Dorado 12; Merced 9; Inyo 8; Sutter 6; Butte 5; Siskiyou 4; Yuba 4; Mendocino 4; Shasta 4; Calaveras 3; Amador 2; Kings 2; Glenn 1; Colusa 1
Canada,Canada,"6,320",66,530,"5,724",2020-03-30 02:00:00 * Completed Tests: 205162; Tests in Progress 14284; Provinces: Quebec 2840; Ontario 1355; British Columbia 884; Alberta 661; Newfoundland 135; Saskatchewan 156; Nova Scotia 122; Manitoba 72; New Brunswick 66; PEI 11; Yukon 4; Northwest Territories 1; Repatriated CDN 13
Portugal,Portugal,"5,962",119,43,"5,800",3/29/20 12:00
Michigan,USA,"5,489",132,0,"5,357",2020-03-30 03:00:00 * CTY: Wayne--Detroit 1542; Oakland 1170; Wayne 1162; Macomb 620; Washtenaw 233; Genesee 127; Other 77; Kent 72; Livingston 59; Ingham 43; Monroe 38; Berrien 29; Ottawa 25; Saginaw 24; Jackson 24; St. Clair 20; Kalamazoo 19; Out of State 18; Otsego 17; Lenawee 15; Calhoun 15; Clinton 14; Muskegon 13; Hillsdale 10; Midland 8; Eaton 8; Grand Traverse 6; Bay 5; Shiawassee 5; Tuscola 4; Lapeer 4; Van Buren 4; Charlevoix 4; Cass 4; Isabella 4; Kalkaska 4; Emmet 4; Montcalm 3; Huron 3; Gladwin 3; Gratiot 3; Ionia 2; Sanilac 2; Osceola 2; Oceana 2; Allegan 2; Marquette 2; Mecosta 1; Cheboygan 1; Missaukee 1; Roscommon 1; Manistee 1; Barry 1; Clare 1; Crawford 1; Leelanau 1; Houghton 1; Wexford 1; Gogebic 1; Iosco 1; Ogemaw 1; Newaygo 1
Massachusetts,USA,"4,955",48,0,"4,907",2020-03-30 03:00:00 * CTY: Middlesex 981; Suffolk 940; Essex 570; Norfolk 548; unknown 460; Worcester 337; Plymouth 325; Bristol 208; Hampden 201; Berkshire 151; Barnstable 148; Franklin 41; Hampshire 37; Dukes and Nantucket 8
Florida,USA,"4,950",60,0,"4,890",2020-03-30 03:00:00 * CTY: Miami-Dade 1472; Broward 1012; Palm Beach 383; Orange 268; Hillsborough 225; Lee 152; Duval 142; Pinellas 116; Collier 111; Osceola 89; Seminole 81; Alachua 72; Sarasota 61; Volusia 60; St. Johns 59; Polk 46; Sumter 45; Lake 44; Manatee 38; Escambia 37; Clay 35; Pasco 35; Okaloosa 32; Brevard 30; Martin 27; St. Lucie 24; Monroe 23; Marion 22; Indian River 20; Santa Rosa 20; Hernando 20; Leon 18; Charlotte 16; Citrus 16; Walton 15; Flagler 13; Highlands 12; Putnam 12; Baker 8; Nassau 8; Desoto 7; Bay 6; Columbia 3; Bradford 2; Levy 2; Hendry 2; Jackson 2; Suwannee 2; Wakulla 1; Gadsden 1; unknown 1; Washington 1; Glades 1
Washington,USA,"4,896",204,0,"4,692",2020-03-30 03:00:00 * CTY: King 2161; Snohomish 1068; Pierce 317; unknown 274; Yakima 140; Spokane 136; Whatcom 116; Island 105; Skagit 101; Benton 101; Clark 90; Kitsap 56; Grant 50; Thurston 36; Franklin 32; Chelan 14; Jefferson 14; Cowlitz 13; Lewis 10; Kittitas 8; Adams 7; Klickitat 7; Walla Walla 6; Whitman 6; Clallam 6; Douglas 5; San Juan 4; Stevens 3; Okanogan 3; Mason 2; Grays Harbor 1; Lincoln 1; Columbia 1; Ferry 1; Skamania 1
Illinois,USA,"4,596",66,0,"4,530",2020-03-30 03:00:00 * CTY: Cook 3445; Lake 300; DuPage 274; Will 182; Kane 100; McHenry 52; Kankakee 33; St. Clair 31; Champaign 21; Kendall 15; McLean 14; Madison 12; Winnebago 12; Sangamon 9; unknown 8; DeKalb 8; Peoria 8; Clinton 6; Christian 6; Rock Island 5; Tazewell 4; La Salle 4; Woodford 4; Stephenson 3; Monroe 3; Jackson 3; Morgan 3; Grundy 3; Whiteside 3; Adams 2; Franklin 2; Livingston 2; Macon 2; Iroquois 2; Henry 2; Washington 1; Carroll 1; Jo Daviess 1; Fayette 1; Knox 1; Montgomery 1; Cumberland 1; Douglas 1; Bureau 1; Williamson 1; Menard 1; Bond 1; Marshall 1
Norway,Norway,"4,284",25,7,"4,252",3/30/20 2:00
Brazil,Brazil,"4,256",136,6,"4,114",2020-03-30 01:00:00 * States Acre 34 Amazonas 140 Amapá 4 Pará 18 Rondônia 6 Roraima 16 Tocantins 9 Alagoas 17 Bahia 154 Ceara 348 Maranhão 16 Paraíba 14 Pernambuco 73 Piauí 14 Rio Grande do Norte 68 Sergipe 16 Espírito Santo 60 Minas Gerais 231 Rio de Janeiro 600 São Paulo 1451 Distrito Federal 289 Goiás 58 Mato Grosso do Sul 36 Mato Grosso 16 Paraná 148 Santa Catarina 194 Rio Grande do Sul 226. Source: @HeidyBello
Israel,Israel,"4,247",15,132,"4,100",3/29/20 21:00
Australia,Australia,"3,984",16,244,"3,724",3/30/20 2:00
Sweden,Sweden,"3,700",110,16,"3,574",3/29/20 16:00
