"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","78,487","2,743","32,534","2020-02-27 03:00:00"
"Hubei","Mainland China","65,596","2,641","23,200","2020-02-27 03:00:00"
"South Korea","South Korea","1,595","13","24","2020-02-27 03:00:00"
"Guangdong","Mainland China","1,347","7","873","2020-02-27 03:00:00"
"Henan","Mainland China","1,272","20","1,062","2020-02-27 03:00:00"
"Zhejiang","Mainland China","1,205","1","881","2020-02-27 03:00:00"
"Hunan","Mainland China","1,017","4","793","2020-02-27 03:00:00"
"Anhui","Mainland China","989","6","815","2020-02-27 03:00:00"
"Jiangxi","Mainland China","934","1","754","2020-02-27 03:00:00"
"Shandong","Mainland China","756","6","381","2020-02-27 03:00:00"
"Others","Japan (Diamond Princess)","705","4","0","2020-02-26 14:00:00"
"Jiangsu","Mainland China","631","0","494","2020-02-27 03:00:00"
"Chongqing","Mainland China","576","6","384","2020-02-27 03:00:00"
"Sichuan","Mainland China","534","3","310","2020-02-27 03:00:00"
"Heilongjiang","Mainland China","480","13","262","2020-02-27 03:00:00"
"Italy","Italy","470","12","3","2020-02-27 03:00:00"
"Beijing","Mainland China","400","4","235","2020-02-26 01:00:00"
"Shanghai","Mainland China","337","3","272","2020-02-27 03:00:00"
"Hebei","Mainland China","317","6","261","2020-02-27 03:00:00"
"Fujian","Mainland China","296","1","225","2020-02-27 03:00:00"
"Guangxi","Mainland China","252","2","159","2020-02-27 03:00:00"
"Shaanxi","Mainland China","245","1","194","2020-02-27 03:00:00"
"Japan","Japan","189","3","22","2020-02-27 03:00:00"
"Yunnan","Mainland China","174","2","144","2020-02-26 14:00:00"
"Hainan","Mainland China","168","5","129","2020-02-27 03:00:00"
"Guizhou","Mainland China","146","2","112","2020-02-27 03:00:00"
"Iran","Iran","139","19","0","2020-02-26 14:00:00"
"Tianjin","Mainland China","135","3","96","2020-02-26 14:00:00"
"Shanxi","Mainland China","133","0","104","2020-02-26 21:00:00"
"Liaoning","Mainland China","121","1","92","2020-02-27 03:00:00"
"Jilin","Mainland China","93","1","65","2020-02-27 03:00:00"
"Singapore","Singapore","93","0","62","2020-02-26 18:30:00"
"Hong Kong","Hong Kong","91","2","24","2020-02-27 03:00:00"
"Gansu","Mainland China","91","2","81","2020-02-26 14:00:00"
"Xinjiang Uygur","Mainland China","76","2","34","2020-02-27 03:00:00"
"Nei Mongol","Mainland China","75","0","38","2020-02-27 03:00:00"
"Ningxia","Mainland China","72","0","65","2020-02-27 03:00:00"
"USA","USA","59","0","6","2020-02-26 20:00:00"
"Unknown location US","USA (all are repatriated cases)","42","0","0","2020-02-26 20:00:00"
"Thailand","Thailand","40","0","22","2020-02-26 14:00:00"
"Bahrain","Bahrain","33","0","0","2020-02-26 21:00:00"
"Taiwan","Taiwan","32","1","5","2020-02-26 14:00:00"
"Germany","Germany","26","0","14","2020-02-27 03:00:00"
"Kuwait","Kuwait","26","0","0","2020-02-26 21:00:00"
"Australia","Australia","23","0","15","2020-02-26 01:00:00"
"Malaysia","Malaysia","22","0","15","2020-02-19 15:00:00"
"Qinghai","Mainland China","18","0","18","2020-02-21 03:00:00"
"France","France","18","2","11","2020-02-26 21:00:00"
"Vietnam","Vietnam","16","0","16","2020-02-25 14:00:00"
"United Kingdom","United Kingdom","13","0","8","2020-02-24 02:00:00"
"United Arab Emirates","United Arab Emirates","13","0","4","2020-02-22 16:00:00"
"Spain","Spain","13","0","2","2020-02-27 03:00:00"
"Canada","Canada","12","0","4","2020-02-27 03:00:00"
"California","USA","11","0","2","2020-02-26 20:00:00"
"Macau","Macau","10","0","7","2020-02-26 02:00:00"
"Israel","Esrael","6","0","0","2020-02-25 14:00:00"
"Iraq","Iraq","5","0","0","2020-02-25 14:00:00"
"Oman","Oman","4","0","0","2020-02-25 15:00:00"
"India","India","3","0","3","2020-02-18 15:00:00"
"Philippines","Philippines","3","1","1","2020-02-12 07:43:02"
"Croatia","Croatia","3","0","0","2020-02-26 21:00:00"
"Russia","Russia","2","0","2","2020-02-12 14:43:03"
"Finland","Finland","2","0","1","2020-02-26 21:00:00"
"Sweden","Sweden","2","0","0","2020-02-26 21:00:00"
"Lebanon","Lebanon","2","0","0","2020-02-26 21:00:00"
"Austria","Austria","2","0","0","2020-02-25 14:30"
"Pakistan","Pakistan","2","0","0","2020-02-26 21:00:00"
"Illinois","USA","2","0","2","2020-02-09 19:03:03"
"Xizang","Mainland China","1","0","1","2020-02-12 06:43:02"
"Belgium","Belgium","1","0","1","2020-02-18 15:00:00"
"Cambodia","Cambodia","1","0","1","2020-02-12 07:43:02"
"Nepal","Nepal","1","0","1","2020-02-12 14:43:03"
"Sri Lanka","Sri Lanka","1","0","1","2020-02-08 03:43:03"
"Egypt","Egypt","1","0","0","2020-02-14 21:00:00"
"Afghanistan","Afghanistan","1","0","0","2020-02-24 12:00:00"
"Switzerland","Switzerland","1","0","0","2020-02-25 15:00:00"
"Algeria","Algeria","1","0","0","2020-02-26 00:00:00"
"Greece","Greece","1","0","0","2020-02-26 14:00:00"
"Brazil","Brazil","1","0","0","2020-02-26 14:00:00"
"North Macedonia","North Macedonia","1","0","0","2020-02-26 21:00:00"
"Norway","Norway","1","0","0","2020-02-26 21:00"
"Romania","Romania","1","0","0","2020-02-26 22:00:00"
"Georgia (country)","Georgia","1","0","0","2020-02-26 22:00:00"
"Arizona","USA","1","0","1","2020-02-25 21:00:00"
"Massachusetts","USA","1","0","0","2020-02-01 19:43:00"
"Washington","USA","1","0","1","2020-02-09 07:03:00"
"Wisconsin","USA","1","0","0","2020-02-05 21:53:00"
