Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"677,918","30,867","56,236","590,815",4/17/20 3:00
New York,USA,"223,691","12,248","28,103","183,340",4/17/20 3:00
Spain,Spain,"185,309","19,516","74,797","90,996",2020-04-17 02:00:00 * Regions: Community of Madrid 50694; Catalonia 37354; Castile-La Mancha 15151; Castile and León 14380; Basque Country 11790; Andalusia 10807; Valencian Community 9615; Galicia 7873; Aragon 4566; Navarre 4348; La Rioja 3916; Extremadura 2881; Asturias 2170; Canary Islands 1988; Cantabria 1845; Balearic Islands 1637; Region of Murcia 1598; Melilla 103; Ceuta 100
Italy,Italy,"168,941","22,170","40,164","106,607",2020-04-16 21:00:00 * Regions: Lombardy 62153; Emilia-Romagna 21029; Piedmont 18229; Veneto 14624; Tuscany 7666; Liguria 5936; Marche 5503; Lazio 5232; Campania 3807; Trentino 3220; Apulia 3184; Friuli-Venezia Giulia 2544; Sicily 2535; Abruzzo 2274; South Tyrol 2224; Umbria 1322; Sardinia 1161; Calabria 971; Aosta 958; Basilicata 320; Molise 263
France,France,"145,960","17,920","32,812","95,228",4/16/20 21:00
Germany,Germany,"138,327","4,119","77,000","57,208",2020-04-17 02:00:00 * States Baden-Württemberg 27967; Bavaria 36637; Berlin 4971; Brandenburg 2255; Bremen 555; Hamburg 4064; Hesse 6682; Mecklenburg-Vorpommern 643; Lower Saxony 8937; North Rhine-Westphalia 28550; Rhineland-Palatinate 5369; Saarland 2275; Saxony 4127; Saxony-Anhalt 1291; Schleswig-Holstein 2330; Thuringia 1674. Source: @engmann
United Kingdom,United Kingdom,"104,145","13,759",375,"90,011",4/17/20 2:00
Mainland China,Mainland China,"82,366","3,327","77,246","1,793",4/17/20 1:00
Iran,Iran,"77,995","4,869","52,229","20,897",4/16/20 16:00
New Jersey,USA,"75,317","3,518",470,"71,329",4/17/20 3:00
Turkey,Turkey,"74,193","1,643","7,089","65,461",4/16/20 21:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Belgium,Belgium,"34,809","4,857","7,526","22,426",2020-04-16 16:00:00 * Regions: Flanders 19666; Wallonia 9999; Brussels 3404
Massachusetts,USA,"32,181","1,245",729,"30,207",4/17/20 3:00
Brazil,Brazil,"30,425","1,924","14,026","14,475",2020-04-17 02:00:00 * States Acre 110 Amazonas 1719 Amapá 362 Pará 438 Rondônia 76 Roraima 142 Tocantins 29 Alagoas 89 Bahia 951 Ceara 2386 Maranhão 695 Paraíba 165 Pernambuco 1638 Piauí 91 Rio Grande do Norte 400 Sergipe 48 Espírito Santo 754 Minas Gerais 958 Rio de Janeiro 3944 São Paulo 11568 Distrito Federal 716 Goiás 318 Mato Grosso do Sul 131 Mato Grosso 156 Paraná 832 Rio Grande do Sul 780 Santa Catarina 884. Source: @HeidyBello
Canada,Canada,"30,092","1,193","9,729","19,170",2020-04-17 02:00:00 * Completed Tests: 495225; Tests in Progress 7639; Provinces: British Columbia 1561; Alberta 2158; Saskatchewan 305; Manitoba 250; Ontario 8961; Quebec 15857; Newfoundland and Labrador 252; New Brunswick 117; Nova Scotia 579; Prince Edward Island 26; Yukon 8; Northwest Territories 5; Nunavut 0; Repatriated travellers 13
Michigan,USA,"29,263","2,093",502,"26,668",4/17/20 3:00
Netherlands,Netherlands,"29,214","3,315",250,"25,649",4/16/20 16:00
Pennsylvania,USA,"28,314",848,317,"27,149",4/17/20 3:00
California,USA,"28,157",973,"1,473","25,711",4/17/20 3:00
