Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"645,361","28,638","52,738","563,985",4/16/20 3:00
New York,USA,"214,832","11,629","27,598","175,605",4/16/20 3:00
Spain,Spain,"180,659","18,812","70,853","90,994",4/16/20 2:00
Italy,Italy,"165,155","21,645","38,092","105,418",2020-04-15 17:00:00 * Regions: Lombardy 62153; Emilia-Romagna 21029; Piedmont 18229; Veneto 14624; Tuscany 7666; Liguria 5936; Marche 5503; Lazio 5232; Campania 3807; Trentino 3220; Apulia 3184; Friuli-Venezia Giulia 2544; Sicily 2535; Abruzzo 2274; South Tyrol 2224; Umbria 1322; Sardinia 1161; Calabria 971; Aosta 958; Basilicata 320; Molise 263
France,France,"143,303","15,729","28,805","98,769",4/14/20 20:00
Germany,Germany,"135,097","3,840","66,169","65,088",2020-04-16 01:00:00 * States Baden-Württemberg 27447; Bavaria 35749; Berlin 4870; Brandenburg 2179; Bremen 506; Hamburg 3978; Hesse 6473; Mecklenburg-Vorpommern 634; Lower Saxony 8699; North Rhine-Westphalia 27880; Rhineland-Palatinate 5241; Saarland 2225; Saxony 4060; Saxony-Anhalt 1262; Schleswig-Holstein 2282; Thuringia 1612. Source: @engmann
United Kingdom,United Kingdom,"84,279","10,612",344,"73,323",4/12/20 17:00
Mainland China,Mainland China,"82,305","3,327","77,187","1,791",4/16/20 1:00
Iran,Iran,"76,389","4,777","49,933","21,679",4/15/20 11:00
New Jersey,USA,"71,030","3,156",470,"67,404",4/16/20 3:00
Turkey,Turkey,"69,392","1,518","5,674","62,200",4/15/20 19:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Belgium,Belgium,"33,573","4,440","7,107","22,026",4/15/20 11:00
Massachusetts,USA,"29,918","1,108",729,"28,081",4/16/20 3:00
Canada,Canada,"28,381","1,010","8,948","18,423",2020-04-16 01:00:00 * Completed Tests: 477249; Tests in Progress 7425; Provinces: British Columbia 1561; Alberta 1996; Saskatchewan 304; Manitoba 246; Ontario 8447; Quebec 14860; Newfoundland and Labrador 247; New Brunswick 117; Nova Scotia 549; Prince Edward Island 26; Yukon 8; Northwest Territories 5; Nunavut 0; Repatriated travellers 13
Brazil,Brazil,"28,320","1,736","14,026","12,558",2020-04-16 02:00:00 * States Acre 101 Amazonas 1554 Amapá 334 Pará 384 Rondônia 69 Roraima 114 Tocantins 26 Alagoas 82 Bahia 807 Ceara 2157 Maranhão 630 Paraíba 136 Pernambuco 1484 Piauí 75 Rio Grande do Norte 399 Sergipe 46 Espírito Santo 557 Minas Gerais 903 Rio de Janeiro 3743 São Paulo 11043 Distrito Federal 682 Goiás 304 Mato Grosso do Sul 121 Mato Grosso 151 Paraná 803 Rio Grande do Sul 747 Santa Catarina 853. Source: @HeidyBello
Netherlands,Netherlands,"28,153","3,134",250,"24,769",4/15/20 14:00
Michigan,USA,"28,059","1,921",502,"25,636",4/16/20 3:00
California,USA,"27,098",890,"1,258","24,950",4/16/20 3:00
Pennsylvania,USA,"26,804",787,264,"25,753",4/16/20 3:00
Switzerland,Switzerland,"26,336","1,221","14,700","10,415",4/15/20 14:00
Illinois,USA,"24,593",949,429,"23,215",4/16/20 3:00
Russia,Russia,"24,490",198,"1,986","22,306",4/15/20 11:00
Colombia,Colombia,"23,105",131,452,"22,522",2020-04-16 02:00:00 * States Bogotá D.C. 1291 Cundinamarca 126 Antioquia 301 Valle del Cauca 532 Bolívar 159 Atlántico 95 Magdalena 70 Cesar 32 Sucre 1 La Guajira 1 Córdoba 15 Norte de Santander 57 Santander 30 Cauca 21 Caldas 43 Risaralda 72 Quindío 49 Huila 55 Tolima 28 Meta 39 Casanare 9 San Andrés y Providencia 5 Nariño 42 Boyacá 31 Chocó 1 . Source: @HeidyBello
Florida,USA,"22,519",614,174,"21,731",4/16/20 3:00
Louisiana,USA,"21,951","1,103",0,"20,848",4/16/20 3:00
Portugal,Portugal,"18,091",599,383,"17,109",4/15/20 14:00
Texas,USA,"16,289",391,"3,150","12,748",4/16/20 3:00
Georgia,USA,"15,267",576,340,"14,351",4/16/20 3:00
Connecticut,USA,"14,755",868,63,"13,824",4/16/20 3:00
Austria,Austria,"14,350",393,"8,098","5,859",4/16/20 2:00
Ireland,Ireland,"12,547",444,77,"12,026",4/15/20 19:00
Israel,Israel,"12,501",130,"2,563","9,808",4/15/20 21:00
India,India,"12,370",422,"1,509","10,439",2020-04-15 19:00:00 * States: Maharashtra 2916; Delhi 1578; Tamil Nadu 1242; Rajasthan 1076; Madhya Pradesh 938; Uttar Pradesh 735; Gujarat 766; Telangana 650; Andhra Pradesh 525; Kerala 387; Jammu and Kashmir 300; Karnataka 279; Haryana 204; West Bengal 213; Punjab 186; Bihar 72; Odisha 60; Uttarakhand 37; Chhattisgarh 33; Himachal Pradesh 35; Assam 32; Jharkhand 28; Chandigarh 21; Ladakh 17; Andaman and Nicobar Islands 11; Goa 7; Puducherry 7; Manipur 2; Tripura 2; Mizoram 1; Arunachal Pradesh 1; Dadra and Nagar Haveli 1; Nagaland 1; Meghalaya 7; Daman and Diu 0; Lakshadweep 0; Sikkim 0
Sweden,Sweden,"11,927","1,203",381,"10,343",4/15/20 14:00
Peru,Peru,"11,475",254,"3,108","8,113",2020-04-16 01:00:00 * Regions: Lima Region 8412; Callao Region 939; Lambayeque 428; Loreto 396; Piura 229; La Libertad 184; Ancash 144; Cusco 108; Ica 101; Arequipa 98; Tumbes 82; Junin 79; San Martin 48; Huanuco 39; Ucayali 32; Amazonas 25; Ayacucho 22; Apurimac 20; Cajamarca 20; Madre de Dios 19; Moquegua 16; Huancavelica 11; Pasco 11; Tacna 10; Puno 2
Washington,USA,"10,971",565,"1,507","8,899",4/16/20 3:00
South Korea,South Korea,"10,591",225,"7,616","2,750",2020-04-15 11:00:00 * Regions: Daegu 6823; Gyeongsangbuk-do 1348; Gyeonggi-do 645; Seoul 617; South Chungcheong Province 139; Busan 127; Gyeongsangnam-do 115; Incheon 88; Gangwon-do 51; Sejong City 46; Chungcheongbuk-do 45; Ulsan 42; Daejeon 39; Gwangju 28; Jeollabuk-do 17; Jeollanam-do 15; Jeju-do 13
Maryland,USA,"10,032",347,607,"9,078",4/16/20 3:00
Indiana,USA,"8,960",436,146,"8,378",4/16/20 3:00
Japan,Japan,"8,626",178,901,"7,547",4/16/20 2:00
Colorado,USA,"8,280",356,510,"7,414",4/16/20 3:00
Chile,Chile,"8,273",94,"2,937","5,242",2020-04-15 17:00:00 * Regions: Santiago Metropolitan Region 4086; Araucania 816; Ñuble 622; Bio Bio 528; Magallanes and Chilean Antarctica 429; Los Lagos 385; Valparaíso 285; Antofagasta 155; Los Ríos 148; Maule 142; Arica y Parinacota 120; Coquimbo 66; Tarapacá 62; O'Higgins 53; Atacama 13; Aysén 7
Ecuador,Ecuador,"7,858",388,780,"6,690",4/15/20 18:00
Ohio,USA,"7,794",362,367,"7,065",4/16/20 3:00
Poland,Poland,"7,582",286,668,"6,628",4/15/20 18:00
