"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","79,250","2,834","39,012","2020-02-29 02:00:00"
"Hubei","Mainland China","66,337","2,727","28,895","2020-02-29 02:00:00"
"South Korea","South Korea","2,931","16","24","2020-02-29 01:30:00"
"Guangdong","Mainland China","1,349","7","972","2020-02-29 02:00:00"
"Henan","Mainland China","1,272","21","1,161","2020-02-29 02:00:00"
"Zhejiang","Mainland China","1,205","1","987","2020-02-29 02:00:00"
"Hunan","Mainland China","1,018","4","841","2020-02-29 02:00:00"
"Anhui","Mainland China","990","6","868","2020-02-29 02:00:00"
"Jiangxi","Mainland China","935","1","811","2020-02-29 02:00:00"
"Italy","Italy","889","21","46","2020-02-28 22:00:00"
"Shandong","Mainland China","756","6","411","2020-02-29 02:00:00"
"Others","Japan (Diamond Princess)","705","6","10","2020-02-28 22:00:00"
"Jiangsu","Mainland China","631","0","519","2020-02-29 02:00:00"
"Chongqing","Mainland China","576","6","422","2020-02-29 02:00:00"
"Sichuan","Mainland China","538","3","350","2020-02-29 02:00:00"
"Heilongjiang","Mainland China","480","13","295","2020-02-29 02:00:00"
"Beijing","Mainland China","410","7","257","2020-02-28 02:00:00"
"Iran","Iran","388","34","49","2020-02-28 11:00:00"
"Shanghai","Mainland China","337","3","279","2020-02-28 14:00:00"
"Hebei","Mainland China","318","6","277","2020-02-29 02:00:00"
"Fujian","Mainland China","296","1","241","2020-02-29 02:00:00"
"Guangxi","Mainland China","252","2","172","2020-02-29 02:00:00"
"Shaanxi","Mainland China","245","1","200","2020-02-29 02:00:00"
"Japan","Japan","233","5","32","2020-02-28 19:30:00"
"Yunnan","Mainland China","174","2","156","2020-02-28 14:00:00"
"Hainan","Mainland China","168","5","136","2020-02-29 02:00:00"
"Guizhou","Mainland China","146","2","112","2020-02-27 03:00:00"
"Tianjin","Mainland China","136","3","105","2020-02-28 14:00:00"
"Shanxi","Mainland China","133","0","112","2020-02-28 22:00:00"
"Liaoning","Mainland China","121","1","93","2020-02-28 02:00:00"
"Singapore","Singapore","96","0","66","2020-02-29 01:30:00"
"Hong Kong","Hong Kong","94","2","30","2020-02-29 04:01:00"
"Jilin","Mainland China","93","1","73","2020-02-29 02:00:00"
"Gansu","Mainland China","91","2","82","2020-02-27 14:30:00"
"Xinjiang Uygur","Mainland China","76","3","52","2020-02-29 02:00:00"
"Nei Mongol","Mainland China","75","0","46","2020-02-29 02:00:00"
"Ningxia","Mainland China","73","0","68","2020-02-29 02:00:00"
"Germany","Germany","70","0","14","2020-02-28 18:00:00"
"USA","USA","65","0","6","2020-02-29 04:00:00"
"France","France","57","2","11","2020-02-28 22:00:00"
"Kuwait","Kuwait","45","0","0","2020-02-28 15:00:00"
"Unknown location US","USA (all are repatriated cases)","44","0","0","2020-02-28 22:00:00"
"Thailand","Thailand","41","0","28","2020-02-28 19:30:00"
"Bahrain","Bahrain","38","0","0","2020-02-28 18:00:00"
"Taiwan","Taiwan","34","1","9","2020-02-29 02:00:00"
"Spain","Spain","32","0","2","2020-02-28 19:00:00"
"Malaysia","Malaysia","25","0","15","2020-02-28 15:00:00"
"Australia","Australia","24","0","15","2020-02-28 15:00:00"
"United Kingdom","United Kingdom","20","0","8","2020-02-29 01:30:00"
"United Arab Emirates","United Arab Emirates","19","0","5","2020-02-27 19:30:00"
"Qinghai","Mainland China","18","0","18","2020-02-21 03:00:00"
"Vietnam","Vietnam","16","0","16","2020-02-25 14:00:00"
"Canada","Canada","15","0","4","2020-02-29 01:30:00"
"Switzerland","Switzerland","15","0","0","2020-02-29 02:00:00"
"California","USA","12","0","2","2020-02-29 01:00:00 * 1 case is presumptive"
"Sweden","Sweden","11","0","0","2020-02-28 22:00:00"
"Macau","Macau","10","0","8","2020-02-28 02:00:00"
"Iraq","Iraq","8","0","0","2020-02-28 22:00:00"
"Israel","Esrael","7","0","2","2020-02-28 19:30:00"
"Oman","Oman","6","0","0","2020-02-27 19:30:00"
"Norway","Norway","6","0","0","2020-02-28 20:00:00"
"Austria","Austria","5","0","0","2020-02-28 15:00:00"
"Croatia","Croatia","5","0","0","2020-02-28 19:00:00"
"Greece","Greece","4","0","0","2020-02-28 15:00:00"
"Romania","Romania","3","0","0","2020-02-28 15:00:00"
"Philippines","Philippines","3","1","1","2020-02-12 07:43:02"
"Lebanon","Lebanon","3","0","0","2020-02-27 19:30:00"
"India","India","3","0","3","2020-02-18 15:00:00"
"Finland","Finland","3","0","1","2020-02-28 22:00:00"
"Washington","USA","3","0","1","2020-02-29 04:00:00 * 2 cases are presumptive"
"Georgia (country)","Georgia","2","0","0","2020-02-28 15:00:00"
"Russia","Russia","2","0","2","2020-02-12 14:43:03"
"Netherlands","Netherlands","2","0","0","2020-02-28 15:00:00"
"Pakistan","Pakistan","2","0","0","2020-02-26 21:00:00"
"Mexico","Mexico","2","0","0","2020-02-28 15:00:00"
"Illinois","USA","2","0","2","2020-02-09 19:03:03"
"Xizang","Mainland China","1","0","1","2020-02-12 06:43:02"
"Belgium","Belgium","1","0","1","2020-02-18 15:00:00"
"Cambodia","Cambodia","1","0","1","2020-02-12 07:43:02"
"Nepal","Nepal","1","0","1","2020-02-12 14:43:03"
"Sri Lanka","Sri Lanka","1","0","1","2020-02-08 03:43:03"
"Egypt","Egypt","1","0","0","2020-02-14 21:00:00"
"Afghanistan","Afghanistan","1","0","0","2020-02-24 12:00:00"
"Algeria","Algeria","1","0","0","2020-02-26 00:00:00"
"Brazil","Brazil","1","0","0","2020-02-26 14:00:00"
"North Macedonia","North Macedonia","1","0","0","2020-02-26 21:00:00"
"Denmark","Denmark","1","0","0","2020-02-27 14:30:00"
"Estonia","Estonia","1","0","0","2020-02-27 14:30:00"
"San Marino","San Marino","1","0","0","2020-02-27 21:00:00"
"Nigeria","Nigeria","1","0","0","2020-02-28 02:00:00"
"Belarus","Belarus","1","0","0","2020-02-28 11:00:00"
"Lithuania","Lithuania","1","0","0","2020-02-28 11:00:00"
"New Zealand","New Zealand","1","0","0","2020-02-28 11:00:00"
"Azerbaijan","Azerbaijan","1","0","0","2020-02-28 15:00:00"
"Monaco","Monaco","1","0","0","2020-02-28 23:30:00"
"Iceland","Iceland","1","0","0","2020-02-28 18:00:00"
"Arizona","USA","1","0","1","2020-02-25 21:00:00"
"Massachusetts","USA","1","0","0","2020-02-01 19:43:00"
"Wisconsin","USA","1","0","0","2020-02-05 21:53:00"
"Oregon","USA","1","0","0","2020-02-29 02:30:00 * 1 case is presumptive"
