Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"81,060","3,261","72,095","5,704",3/22/20 18:00
Hubei,Mainland China,"67,800","3,144","59,433","5,223",3/22/20 18:00
Italy,Italy,"59,138","5,476","7,024","46,638",3/22/20 21:00
USA,USA,"35,225",471,178,"34,576",3/22/20 21:00
Spain,Spain,"28,768","1,772","2,575","24,421",3/23/20 0:00
Germany,Germany,"25,247",83,240,"24,924",2020-03-22 13:00:00 * States Baden-Württemberg 4551; Bavaria 4521; Berlin 1025; Brandenburg 378; Bremen 168; Hamburg 768; Hesse 1311; Mecklenburg-Vorpommern 182; Lower Saxony 1311; North Rhine-Westphalia 7459; Rhineland-Palatinate 1176; Saarland 301; Saxony 774; Saxony-Anhalt 274; Schleswig-Holstein 404; Thuringia 285; Source: @iceweasel
Iran,Iran,"21,638","1,685","7,931","12,022",3/22/20 14:00
New York,USA,"16,916",153,0,"16,763",2020-03-12 03:00:00 * CTY: New York 10764; Nassau 1900; Westchester 1873; Suffolk 1034; Rockland 455; Orange 247; Albany 123; Dutchess 82; Monroe 68; Erie 56; Onondaga 45; Saratoga 35; Schenectady 32; Putnam 31; unknown 23; Rensselaer 20; Ulster 18; Columbia 17; Tompkins 15; Sullivan 12; Niagara 9; Clinton 4; Ontario 4; Steuben 4; Oneida 4; Broome 3; Montgomery 3; Essex 3; Herkimer 3; Wayne 3; Hamilton 2; Chemung 2; Cortland 2; Oswego 2; Wyoming 2; Livingston 2; Greene 2; Chenango 2; Allegany 2; Fulton 1; Warren 1; Schoharie 1; Jefferson 1; Washington 1; Genesee 1; Delaware 1; Tioga 1
France,France,"16,044",674,"2,200","13,170",3/23/20 0:00
South Korea,South Korea,"8,897",104,"2,909","5,884",3/21/20 20:00
Switzerland,Switzerland,"7,245",98,131,"7,016",3/23/20 0:00
United Kingdom,United Kingdom,"5,741",282,67,"5,392",3/23/20 0:00
Netherlands,Netherlands,"4,216",180,2,"4,034",3/22/20 18:00
Belgium,Belgium,"3,401",75,263,"3,063",3/22/20 14:00
Austria,Austria,"3,244",9,16,"3,219",3/22/20 18:00
Norway,Norway,"2,257",7,1,"2,249",3/22/20 18:00
Washington,USA,"1,996",95,0,"1,901",2020-03-12 03:00:00 * CTY: King 1040; Snohomish 480; unknown 159; Pierce 107; Skagit 33; Grant 23; Island 21; Spokane 20; Kitsap 18; Yakima 16; Whatcom 14; Thurston 11; Clark 10; Benton 7; Jefferson 6; Clallam 4; Klickitat 4; Kittitas 4; Franklin 3; Cowlitz 3; Chelan 3; Lewis 2; Lincoln 1; Columbia 1; Stevens 1; Mason 1; Grays Harbor 1; Whitman 1; San Juan 1; Walla Walla  1
Sweden,Sweden,"1,934",21,16,"1,897",3/22/20 18:00
New Jersey,USA,"1,914",21,0,"1,893",2020-03-12 03:00:00 * CTY: Bergen 457; unknown 221; Essex 172; Monmouth 158; Middlesex 147; Hudson 126; Union 124; Morris 119; Ocean 102; Passaic 95; Somerset 51; Mercer 40; Burlington 26; Camden 22; Hunterdon 16; Sussex 12; Warren 9; Gloucester 8; Atlantic 5; Cape May 2; Cumberland 1; Salem 1
California,USA,"1,812",35,0,"1,777",2020-03-12 03:00:00 * CTY: Los Angeles 409; Santa Clara 302; San Diego 199; San Mateo 117; San Francisco 108; Alameda 106; Orange 95; Contra Costa 61; Sacramento 53; Riverside 43; San Joaquin 41; Marin 38; Ventura 30; San Luis Obispo 27; Sonoma 27; Santa Barbara 18; San Bernardino 17; Santa Cruz 15; Solano 13; Placer 12; Tulare 12; Monterey 11; Stanislaus 8; Fresno 6; Yolo 6; Imperial 6; San Benito 5; Kern 5; Madera 3; Humboldt 2; Napa 2; Yuba 2; El Dorado 2; Siskiyou 2; Calaveras 2; Butte 1; Nevada 1; Shasta 1; Merced 1; Amador 1; Mono 1; Mendocino 1
Portugal,Portugal,"1,600",14,5,"1,581",3/22/20 14:00
Brazil,Brazil,"1,546",25,2,"1,519",2020-03-23 23:00:00 * States Acre 11 Amazonas 26 Amapá 1 Pará 4 Rondônia 3 Roraima 2 Tocantins 2 Alagoas 7 Bahia 49 Ceara 112 Maranhão 2 Paraíba 1 Pernambuco 37 Piauí 4 Rio Grande do Norte 9 Sergipe 10 Espírito Santo 26 Minas Gerais 83 Rio de Janeiro 186 São Paulo 631 Distrito Federal 117 Goiás 21 Mato Grosso do Sul 21 Mato Grosso 2 Paraná 50 Santa Catarina 57 Rio Grande do Sul 72. Source: @HeidyBello
Denmark,Denmark,"1,512",13,1,"1,498",3/22/20 18:00
Canada,Canada,"1,426",18,18,"1,390",2020-03-22 21:00:00 * Provinces: Ontario 424; British Columbia 424; Alberta 226; Quebec 219; Manitoba 19; Saskatchewan 44; Nova Scotia 28; New Brunswick 17; PEI 2; Newfoundland 9; Northwest Territories 1; Repatriated CDN 13
Guangdong,Mainland China,"1,407",8,"1,329",70,3/22/20 18:00
Australia,Australia,"1,314",7,88,"1,219",3/22/20 18:00
Malaysia,Malaysia,"1,306",10,139,"1,157",3/22/20 13:00
Henan,Mainland China,"1,273",22,"1,250",1,3/17/20 2:00
Zhejiang,Mainland China,"1,237",1,"1,219",17,3/22/20 18:00
Japan,Japan,"1,086",40,235,811,3/22/20 18:00
