Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"81,227","3,281","73,708","4,238",3/26/20 0:00
Italy,Italy,"74,386","7,503","9,362","57,521",3/25/20 18:00
USA,USA,"69,222","1,050",593,"67,579",3/26/20 3:00
Hubei,Mainland China,"67,801","3,163","60,811","3,827",3/25/20 11:00
Spain,Spain,"49,515","3,647","5,367","40,501",3/26/20 1:00
Germany,Germany,"35,743",185,"3,299","32,259",2020-03-25 11:00:00 * States Baden-Württemberg 6926; Bavaria 7077; Berlin 1425; Brandenburg 489; Bremen 196; Hamburg 1237; Hesse 1797; Mecklenburg-Vorpommern 227; Lower Saxony 2245; North Rhine-Westphalia 9506; Rhineland-Palatinate 1761; Saarland 433; Saxony 1048; Saxony-Anhalt 395; Schleswig-Holstein 563; Thuringia 418; Source: @iceweasel
New York,USA,"33,033",366,0,"32,667",2020-03-26 03:00:00 * CTY: New York 20011; Westchester 4691; Nassau 3285; Suffolk 2260; Rockland 968; Orange 638; Dutchess 153; Albany 152; Erie 146; Monroe 118; Putnam 84; Onondaga 81; Ulster 65; Saratoga 64; Schenectady 55; Sullivan 39; Rensselaer 38; Tompkins 23; Columbia 19; Niagara 12; Broome 11; Steuben 11; Clinton 10; Oneida 10; Ontario 9; Wayne 7; Madison 7; Delaware 5; Herkimer 5; Essex 4; Wyoming 4; Montgomery 4; Greene 4; Washington 4; Chemung 3; Cortland 3; Livingston 3; Chenango 3; Oswego 2; Cayuga 2; Warren 2; Genesee 2; Schoharie 2; Allegany 2; Otsego 2; Hamilton 2; Chautauqua 2; Jefferson 2; Franklin 1; St. Lawrence 1; Fulton 1; Tioga 1
Iran,Iran,"27,017","2,077","9,625","15,315",3/25/20 11:00
France,France,"25,600","1,333","3,907","20,360",3/26/20 1:00
Switzerland,Switzerland,"10,897",153,131,"10,613",3/26/20 1:00
United Kingdom,United Kingdom,"9,640",466,140,"9,034",3/26/20 1:00
South Korea,South Korea,"9,137",126,"3,730","5,281",3/25/20 11:00
Netherlands,Netherlands,"6,440",357,6,"6,077",3/26/20 1:00
Austria,Austria,"5,588",30,9,"5,549",3/25/20 18:00
Belgium,Belgium,"4,937",178,547,"4,212",3/25/20 14:00
New Jersey,USA,"4,407",62,0,"4,345",2020-03-26 03:00:00 * CTY: unknown 930; Bergen 819; Essex 381; Middlesex 316; Monmouth 313; Union 262; Hudson 260; Passaic 255; Morris 223; Ocean 222; Somerset 117; Mercer 82; Camden 61; Burlington 48; Sussex 32; Hunterdon 25; Gloucester 23; Warren 18; Atlantic 12; Cape May 4; Cumberland 3; Salem 1
Canada,Canada,"3,290",30,186,"3,074",2020-03-25 19:00:00 * Completed Tests: 129851; Tests in Progress 14149; Provinces: Ontario 688; British Columbia 617; Alberta 358; Quebec 1339; Manitoba 35; Saskatchewan 72; Nova Scotia 68; New Brunswick 26; PEI 3; Newfoundland 67; Yukon 3; Northwest Territories 1; Repatriated CDN 13
California,USA,"3,169",67,0,"3,102",2020-03-26 03:00:00 * CTY: Los Angeles 812; Santa Clara 459; San Diego 293; Orange 187; San Francisco 178; San Mateo 165; Alameda 135; Sacramento 113; Contra Costa 108; Riverside 105; San Joaquin 71; Marin 60; San Bernardino 54; Ventura 50; San Luis Obispo 46; Sonoma 37; Solano 31; Placer 30; Santa Barbara 26; Santa Cruz 25; Monterey 24; Kern 24; Fresno 19; Tulare 18; Stanislaus 12; Yolo 11; Humboldt 10; Imperial 9; San Benito 9; Madera 7; Nevada 7; Butte 4; Mono 4; Siskiyou 3; Napa 3; Shasta 3; Yuba 3; El Dorado 3; Calaveras 2; Sutter 2; Mendocino 2; Merced 2; Amador 2; Inyo 1
Norway,Norway,"3,084",14,6,"3,064",3/26/20 1:00
Portugal,Portugal,"2,995",43,22,"2,930",3/25/20 14:00
Washington,USA,"2,600",133,0,"2,467",2020-03-26 03:00:00 * CTY: King 1359; Snohomish 634; Pierce 155; Whatcom 66; Skagit 63; Spokane 54; Island 54; Yakima 51; Kitsap 27; Grant 27; Clark 16; Thurston 14; Benton 13; Jefferson 10; Chelan 10; Franklin 8; Kittitas 6; Klickitat 6; Clallam 4; Cowlitz 3; San Juan 2; Mason 2; Walla Walla 2; Lewis 2; Stevens 2; Douglas 2; Whitman 2; Ferry 1; Grays Harbor 1; Adams 1; Okanogan 1; Columbia 1; Lincoln 1
Sweden,Sweden,"2,526",62,16,"2,448",3/26/20 1:00
Turkey,Turkey,"2,433",59,26,"2,348",3/26/20 1:00
Israel,Israel,"2,369",5,58,"2,306",3/26/20 1:00
Australia,Australia,"2,364",8,119,"2,237",3/25/20 11:00
Michigan,USA,"2,297",43,0,"2,254",2020-03-26 03:00:00 * CTY: Wayne 1122; Oakland 543; Macomb 281; Washtenaw 72; Genesee 46; Kent 36; Ingham 18; Monroe 18; Livingston 16; Ottawa 16; Jackson 12; Berrien 10; St. Clair 10; Saginaw 9; Out of State 7; Midland 6; Otsego 6; Clinton 6; Calhoun 6; Kalamazoo 5; Charlevoix 4; Bay 3; Muskegon 3; Grand Traverse 3; Eaton 3; Lenawee 3; Montcalm 2; Isabella 2; Emmet 2; Van Buren 2; Tuscola 2; Not Reported 2; Gladwin 2; Hillsdale 2; Newaygo 2; Kalkaska 2; Luce 1; Allegan 1; Marquette 1; Lapeer 1; Leelanau 1; Wexford 1; Roscommon 1; Manistee 1; Iosco 1; Clare 1; Sanilac 1; Chippewa 1; Barry 1
Brazil,Brazil,"2,201",46,2,"2,153",2020-03-25 02:00:00 * States Acre 17 Amazonas 47 Amapá 1 Pará 5 Rondônia 3 Roraima 2 Tocantins 7 Alagoas 7 Bahia 76 Ceara 182 Maranhão 8 Paraíba 3 Pernambuco 42 Piauí 6 Rio Grande do Norte 13 Sergipe 15 Espírito Santo 33 Minas Gerais 130 Rio de Janeiro 305 São Paulo 810 Distrito Federal 160 Goiás 27 Mato Grosso do Sul 23 Mato Grosso 7 Paraná 65 Santa Catarina 107 Rio Grande do Sul 98. Source: @HeidyBello
