Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"164,670","3,180","5,945","155,545",3/31/20 3:00
Italy,Italy,"101,739","11,591","14,620","75,528",3/30/20 18:00
Spain,Spain,"87,956","7,716","16,780","63,460",3/31/20 1:00
Mainland China,Mainland China,"81,479","3,300","75,507","2,672",3/31/20 0:00
Hubei,Mainland China,"67,801","3,182","62,570","2,049",3/29/20 2:00
New York,USA,"67,384","1,342",0,"66,042",2020-03-31 03:00:00 * CTY: New York 38087; Westchester 9326; Nassau 7344; Suffolk 5791; Rockland 2511; Orange 1435; Erie 463; Dutchess 392; Monroe 257; Onondaga 228; Albany 217; Ulster 207; Putnam 167; Saratoga 108; Sullivan 106; Schenectady 80; Tompkins 73; Rensselaer 54; Madison 49; Niagara 41; Columbia 36; Broome 35; Oneida 34; St. Lawrence 23; Ontario 20; Steuben 19; Warren 18; Chenango 17; Clinton 17; Otsego 17; Wayne 15; Chemung 15; Livingston 15; Oswego 15; Delaware 12; Herkimer 12; Jefferson 11; Genesee 11; Cortland 10; Greene 10; Allegany 9; Washington 9; Wyoming 8; Tioga 8; Chautauqua 7; Montgomery 6; Schoharie 6; Franklin 6; Cattaraugus 6; Essex 5; Orleans 5; Cayuga 4; Lewis 2; Hamilton 2; Schuyler 2; Fulton 1
Germany,Germany,"67,015",647,"9,211","57,157",2020-03-31 00:00:00 * States Baden-Württemberg 13754; Bavaria 15573; Berlin 2581; Brandenburg 910; Bremen 298; Hamburg 2214; Hesse 3526; Mecklenburg-Vorpommern 368; Lower Saxony 4334; North Rhine-Westphalia 15016; Rhineland-Palatinate 2975; Saarland 803; Saxony 2034; Saxony-Anhalt 744; Schleswig-Holstein 1082; Thuringia 803; Source: @iceweasel
France,France,"44,550","3,024","7,927","33,599",3/30/20 18:00
Iran,Iran,"41,495","2,757","13,911","24,827",3/30/20 13:00
United Kingdom,United Kingdom,"22,141","1,408",135,"20,598",3/30/20 16:00
