Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"81,127","3,270","72,555","5,302",3/24/20 1:00
Hubei,Mainland China,"67,800","3,153","59,882","4,765",3/23/20 6:00
Italy,Italy,"63,927","6,077","7,432","50,418",3/23/20 18:00
USA,USA,"46,451",588,333,"45,530",3/24/20 3:00
Spain,Spain,"35,136","2,311","3,355","29,470",3/24/20 2:00
Germany,Germany,"29,056",118,422,"28,516",2020-03-23 18:00:00 * States (not updated after 28185) Baden-Württemberg 5194; Bavaria 5353; Berlin 1071; Brandenburg 405; Bremen 173; Hamburg 887; Hesse 1398; Mecklenburg-Vorpommern 187; Lower Saxony 1830; North Rhine-Westphalia 8102; Rhineland-Palatinate 1318; Saarland 329; Saxony 869; Saxony-Anhalt 299; Schleswig-Holstein 457; Thuringia 313; Source: @iceweasel
New York,USA,"23,230",183,0,"23,047",2020-03-24 03:00:00 * CTY: New York 13119; Westchester 2894; Nassau 2442; unknown 1524; Suffolk 1458; Rockland 592; Orange 389; Albany 127; Dutchess 100; Erie 87; Monroe 81; Saratoga 53; Onondaga 53; Putnam 45; Schenectady 44; Ulster 35; Rensselaer 29; Sullivan 23; Columbia 17; Tompkins 15; Niagara 10; Oneida 7; Broome 7; Ontario 6; Clinton 6; Wayne 6; Steuben 5; Greene 4; Madison 4; Wyoming 4; Herkimer 4; Washington 3; Essex 3; Delaware 3; Livingston 3; Chenango 3; Montgomery 3; Cayuga 2; Hamilton 2; Oswego 2; Warren 2; Allegany 2; Chemung 2; Cortland 2; Jefferson 2; Otsego 1; Tioga 1; Schoharie 1; Fulton 1; Genesee 1; St. Lawrence 1
Iran,Iran,"23,049","1,812","8,376","12,861",3/23/20 12:00
France,France,"20,123",862,"2,207","17,054",3/23/20 23:00
South Korea,South Korea,"8,961",111,"3,166","5,684",3/23/20 12:00
Switzerland,Switzerland,"8,795",120,131,"8,544",3/24/20 2:00
United Kingdom,United Kingdom,"6,726",336,140,"6,250",3/24/20 2:00
Netherlands,Netherlands,"4,764",214,3,"4,547",3/24/20 2:00
Austria,Austria,"4,474",21,9,"4,444",3/24/20 2:00
Belgium,Belgium,"3,743",88,401,"3,254",3/23/20 15:00
New Jersey,USA,"2,844",27,0,"2,817",2020-03-24 03:00:00 * CTY: Bergen 609; unknown 419; Essex 273; Monmouth 238; Middlesex 210; Hudson 190; Union 189; Morris 177; Ocean 144; Passaic 141; Somerset 67; Mercer 50; Burlington 36; Camden 33; Hunterdon 18; Sussex 15; Gloucester 13; Warren 12; Atlantic 6; Cape May 2; Salem 1; Cumberland 1
Norway,Norway,"2,621",10,6,"2,605",3/24/20 2:00
Washington,USA,"2,221",111,0,"2,110",2020-03-24 03:00:00 * CTY: King 1170; Snohomish 519; Pierce 126; unknown 112; Whatcom 48; Skagit 45; Spokane 29; Yakima 25; Island 25; Grant 23; Kitsap 18; Clark 13; Thurston 11; Benton 9; Jefferson 8; Chelan 6; Franklin 5; Kittitas 5; Clallam 4; Klickitat 4; Cowlitz 3; Whitman 2; Lewis 2; San Juan 1; Stevens 1; Douglas 1; Mason 1; Columbia 1; Walla Walla  1; Adams 1; Lincoln 1; Grays Harbor 1
California,USA,"2,220",43,0,"2,177",2020-03-24 03:00:00 * CTY: Los Angeles 540; Santa Clara 321; San Diego 226; San Mateo 142; San Francisco 131; Orange 125; Alameda 122; Sacramento 88; Contra Costa 71; San Joaquin 51; Marin 47; Riverside 46; Ventura 35; San Luis Obispo 33; Sonoma 29; Santa Cruz 22; Solano 21; Placer 20; Monterey 20; Santa Barbara 18; San Bernardino 17; Tulare 16; Kern 12; Stanislaus 10; Yolo 8; San Benito 6; Madera 6; Imperial 6; Fresno 6; Nevada 3; Yuba 3; Shasta 2; Calaveras 2; Amador 2; Siskiyou 2; Humboldt 2; Napa 2; Butte 2; El Dorado 2; Mono 1; Mendocino 1; Merced 1
Portugal,Portugal,"2,060",23,14,"2,023",3/23/20 14:00
Sweden,Sweden,"2,046",25,16,"2,005",3/23/20 15:00
Canada,Canada,"2,045",24,18,"2,003",2020-03-23 18:00:00 * Completed Tests: 93624; Tests in Progress 10722; Provinces: Ontario 503; British Columbia 472; Alberta 259; Quebec 629; Manitoba 20; Saskatchewan 52; Nova Scotia 41; New Brunswick 17; PEI 3; Newfoundland 24; Yukon 2; Northwest Territories 1; Repatriated CDN 13
