Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"104,848","1,716",894,"102,238",3/28/20 3:00
Italy,Italy,"86,498","9,134","10,950","66,414",3/27/20 18:00
Mainland China,Mainland China,"81,345","3,287","74,112","3,946",3/27/20 11:00
Hubei,Mainland China,"67,801","3,169","61,201","3,431",3/26/20 2:00
Spain,Spain,"65,719","5,138","9,357","51,224",3/28/20 1:00
Germany,Germany,"53,153",387,"6,658","46,108",2020-03-28 02:00:00 * States Baden-Württemberg 10884; Bavaria 11609; Berlin 2152; Brandenburg 748; Bremen 264; Hamburg 1759; Hesse 2616; Mecklenburg-Vorpommern 310; Lower Saxony 3382; North Rhine-Westphalia 12679; Rhineland-Palatinate 2401; Saarland 614; Saxony 1614; Saxony-Anhalt 585; Schleswig-Holstein 866; Thuringia 670; Source: @iceweasel
New York,USA,"46,094",605,0,"45,489",2020-03-28 03:00:00 * CTY: New York 26697; Westchester 7187; Nassau 4657; Suffolk 3385; Rockland 1457; Orange 910; Erie 310; Dutchess 225; Albany 187; Monroe 166; Onondaga 123; Putnam 111; Ulster 98; Saratoga 93; Schenectady 66; Sullivan 64; Tompkins 48; Rensselaer 44; Columbia 27; Niagara 23; Broome 18; Madison 17; Ontario 14; Oneida 13; Steuben 12; Chemung 11; Clinton 11; Wayne 11; Herkimer 9; Delaware 8; Warren 8; Wyoming 7; Otsego 6; Greene 6; Washington 6; Genesee 6; Essex 5; Montgomery 5; Chenango 4; Jefferson 4; Cortland 4; Oswego 4; St. Lawrence 4; Schoharie 3; Livingston 3; Franklin 3; Orleans 3; Hamilton 2; Chautauqua 2; Tioga 2; Cayuga 2; Allegany 2; Fulton 1
France,France,"32,964","1,995","5,700","25,269",3/27/20 22:00
Iran,Iran,"32,332","2,378","11,133","18,821",3/27/20 12:00
United Kingdom,United Kingdom,"14,543",759,135,"13,649",3/27/20 17:00
Switzerland,Switzerland,"12,928",231,897,"11,800",3/27/20 18:00
South Korea,South Korea,"9,332",139,"4,528","4,665",3/27/20 12:00
New Jersey,USA,"8,825",108,0,"8,717",2020-03-28 03:00:00 * CTY: unknown 1984; Bergen 1505; Essex 826; Middlesex 640; Monmouth 634; Hudson 594; Union 519; Ocean 484; Passaic 484; Morris 391; Somerset 222; Mercer 131; Camden 95; Burlington 88; Sussex 65; Hunterdon 52; Gloucester 40; Warren 38; Atlantic 14; Cumberland 9; Cape May 7; Salem 3
Netherlands,Netherlands,"8,603",546,3,"8,054",3/27/20 15:00
Austria,Austria,"7,697",58,225,"7,414",3/28/20 1:00
Belgium,Belgium,"7,284",289,858,"6,137",3/27/20 12:00
Turkey,Turkey,"5,698",92,42,"5,564",3/27/20 18:00
California,USA,"4,885",102,0,"4,783",2020-03-28 03:00:00 * CTY: Los Angeles 1465; Santa Clara 574; San Diego 413; Orange 321; San Francisco 279; San Mateo 239; Alameda 220; Riverside 183; Sacramento 164; Contra Costa 151; San Joaquin 93; Ventura 83; Marin 68; San Bernardino 64; San Luis Obispo 59; Sonoma 50; Santa Barbara 47; Kern 41; Placer 41; Solano 34; Santa Cruz 34; Monterey 32; Fresno 31; Tulare 24; Stanislaus 23; Imperial 21; Yolo 16; Humboldt 14; San Benito 14; Nevada 12; El Dorado 12; Madera 11; Napa 9; Mono 8; Merced 7; Butte 5; Inyo 5; Siskiyou 3; Shasta 3; Yuba 3; Calaveras 3; Amador 2; Sutter 2; Mendocino 2
Canada,Canada,"4,757",55,346,"4,356",2020-03-28 01:00:00 * Completed Tests: 163076; Tests in Progress 17965; Provinces: Ontario 993; British Columbia 792; Alberta 542; Quebec 2021; Manitoba 39; Saskatchewan 104; Nova Scotia 90; New Brunswick 45; PEI 11; Newfoundland 102; Yukon 4; Northwest Territories 1; Repatriated CDN 13
Portugal,Portugal,"4,268",76,43,"4,149",3/27/20 15:00
Norway,Norway,"3,771",19,7,"3,745",3/28/20 1:00
Washington,USA,"3,726",175,0,"3,551",2020-03-28 03:00:00 * CTY: King 1828; Snohomish 913; Pierce 231; Whatcom 92; Skagit 91; Spokane 86; Island 80; Clark 76; Yakima 72; Kitsap 42; Benton 42; Grant 42; Thurston 27; Chelan 13; Franklin 12; Jefferson 11; Kittitas 8; Cowlitz 7; Klickitat 7; Lewis 7; Clallam 5; Whitman 5; Douglas 5; Adams 5; Walla Walla 4; San Juan 3; Stevens 3; Mason 2; Okanogan 2; Columbia 1; Lincoln 1; Grays Harbor 1; Skamania 1; Ferry 1
Michigan,USA,"3,657",92,0,"3,565",2020-03-28 03:00:00 * CTY: Wayne 1810; Oakland 824; Macomb 404; Washtenaw 150; Genesee 91; Kent 45; Livingston 31; Monroe 28; Ingham 26; Other 22; Ottawa 21; Berrien 18; Jackson 16; St. Clair 15; Saginaw 14; Kalamazoo 11; Calhoun 9; Eaton 8; Clinton 8; Lenawee 8; Midland 8; Out of State 8; Otsego 7; Muskegon 6; Hillsdale 6; Kalkaska 4; Bay 4; Lapeer 4; Charlevoix 4; Isabella 4; Grand Traverse 3; Emmet 3; Montcalm 3; Van Buren 3; Gladwin 2; Sanilac 2; Ionia 2; Tuscola 2; Shiawassee 2; Leelanau 1; Crawford 1; Clare 1; Chippewa 1; Barry 1; Wexford 1; Gratiot 1; Manistee 1; Newaygo 1; Gogebic 1; Roscommon 1; Oceana 1; Iosco 1; Dickinson 1; Ogemaw 1; Cass 1; Missaukee 1; Mecosta 1; Huron 1; Allegan 1; Marquette 1
Brazil,Brazil,"3,417",92,6,"3,319",2020-03-28 01:00:00 * States Acre 25 Amazonas 81 Amapá 2 Pará 13 Rondônia 6 Roraima 10 Tocantins 8 Alagoas 11 Bahia 1115 Ceara 282 Maranhão 13 Paraíba 9 Pernambuco 56 Piauí 9 Rio Grande do Norte 28 Sergipe 16 Espírito Santo 47 Minas Gerais 189 Rio de Janeiro 493 São Paulo 1223 Distrito Federal 230 Goiás 49 Mato Grosso do Sul 28 Mato Grosso 11 Paraná 119 Santa Catarina 149 Rio Grande do Sul 195. Source: @HeidyBello
Massachusetts,USA,"3,240",35,0,"3,205",2020-03-28 03:00:00 * CTY: Middlesex 685; Suffolk 631; Norfolk 393; Essex 350; unknown 303; Worcester 219; Plymouth 187; Bristol 129; Berkshire 105; Barnstable 100; Hampden 90; Franklin 24; Hampshire 20; Dukes and Nantucket 4
Florida,USA,"3,198",46,0,"3,152",2020-03-28 03:00:00 * CTY: Miami-Dade 869; Broward 631; Palm Beach 241; Orange 174; Hillsborough 174; Duval 99; Lee 95; Collier 85; Pinellas 82; Alachua 60; Osceola 56; Seminole 54; Volusia 43; Sarasota 43; St. Johns 42; Lake 32; Manatee 29; Sumter 29; Escambia 28; Polk 28; Okaloosa 25; Pasco 25; Clay 22; Brevard 20; Monroe 19; Martin 17; St. Lucie 17; Indian River 15; Leon 15; Walton 14; Santa Rosa 13; Flagler 12; Hernando 12; Putnam 12; Citrus 11; Marion 9; Charlotte 8; Baker 7; Desoto 6; Nassau 6; Highlands 6; Bay 4; Columbia 3; Jackson 1; Gadsden 1; Levy 1; Suwannee 1; Washington 1; Bradford 1
Australia,Australia,"3,143",13,194,"2,936",3/27/20 12:00
Sweden,Sweden,"3,069",92,16,"2,961",3/27/20 22:00
Israel,Israel,"3,035",10,79,"2,946",3/27/20 12:00
Illinois,USA,"3,029",34,0,"2,995",2020-03-28 03:00:00 * CTY: Cook 2239; Lake 230; DuPage 199; Will 104; Kane 75; McHenry 45; Kankakee 17; St. Clair 15; Champaign 10; McLean 10; Madison 8; Kendall 8; Winnebago 8; Sangamon 7; Peoria 6; Clinton 5; DeKalb 4; Rock Island 4; Monroe 3; Woodford 3; La Salle 3; Whiteside 2; Livingston 2; Henry 2; Tazewell 2; Stephenson 2; Grundy 2; Iroquois 2; Jo Daviess 1; Morgan 1; Williamson 1; Washington 1; Bureau 1; Douglas 1; Cumberland 1; Franklin 1; Adams 1; Christian 1; Marshall 1; Jackson 1
Louisiana,USA,"2,746",119,0,"2,627",2020-03-28 03:00:00 * CTY: Orleans 1170; Jefferson 548; Caddo 140; East Baton Rouge 124; St. Tammany 111; Ascension 90; Lafayette 44; St. John the Baptist 41; St. James 40; Bossier 37; St. Bernard 31; Lafourche 30; Rapides 26; Ouachita 25; St. Charles 23; Terrebonne 23; Calcasieu 22; Iberville 20; Plaquemines 16; unknown 16; De Soto 13; Livingston 11; West Baton Rouge 11; Avoyelles 10; St. Landry 10; St. Martin 10; Webster 9; Washington 8; Acadia 8; Assumption 8; Lincoln 7; Tangipahoa 7; St. Mary 6; East Feliciana 5; Allen 5; Evangeline 4; Iberia 4; Beauregard 4; Union 4; Jackson 3; Claiborne 3; Richland 2; Vernon 2; Vermilion 2; Natchitoches 2; Morehouse 2; West Feliciana 1; Winn 1; Jefferson Davis 1; Pointe Coupee 1; Bienville 1; Grant 1; Madison 1; Catahoula 1; La Salle 1
Pennsylvania,USA,"2,345",23,0,"2,322",2020-03-28 03:00:00 * CTY: Philadelphia 637; Montgomery 374; Delaware 185; Allegheny 158; Bucks 144; Chester 107; Monroe 98; Lehigh 93; Northampton 79; Berks 65; Luzerne 55; Lackawanna 35; Lancaster 33; York 30; Westmoreland 30; Butler 26; Pike 23; Dauphin 18; Cumberland 16; Washington 14; Beaver 14; Schuylkill 13; Lebanon 12; Centre 11; Fayette 9; Adams 8; Erie 7; Wayne 6; Franklin 5; Greene 4; Lawrence 4; Mercer 4; Montour 4; Columbia 3; ​Somerset 2; Indiana 2; Lycoming 2; Bradford 2; ​Clearfield 2; ​Carbon 2; ​Juniata 1; ​Armstrong 1; Blair 1; Cambria 1; Union 1; Crawford 1; Warren 1; Susquehanna 1; Potter 1
Czech Republic,Czech Republic,"2,279",9,11,"2,259",3/27/20 18:00
Georgia,USA,"2,198",65,0,"2,133",2020-03-28 03:00:00 * CTY: Fulton 347; DeKalb 219; unknown 207; Dougherty 203; Cobb 163; Gwinnett 121; Bartow 107; Carroll 61; Clayton 53; Cherokee 50; Henry 44; Lee 37; Clarke 34; Douglas 32; Hall 30; Floyd 26; Fayette 22; Forsyth 21; Lowndes 20; Coweta 19; Rockdale 16; Chatham 15; Newton 15; Mitchell 14; Tift 13; Early 13; Paulding 13; Gordon 12; Spalding 11; Bibb 11; Richmond 11; Sumter 10; Houston 10; Polk 10; Columbia 10; Oconee 10; Troup 9; Muscogee 7; Barrow 7; Laurens 7; Worth 7; Glynn 7; Peach 6; Terrell 6; Whitfield 6; Colquitt 5; Bryan 5; Lumpkin 4; Pickens 4; Upson 4; Effingham 4; Crisp 4; Monroe 3; Thomas 3; Miller 3; Fannin 3; Burke 3; Irwin 3; Madison 3; Decatur 3; Lincoln 3; Butts 3; Randolph 3; Meriwether 3; Coffee 3; Camden 2; Pulaski 2; Jones 2; Lamar 2; Jasper 2; Calhoun 2; Tattnall 2; Seminole 2; Washington 2; Stephens 2; Turner 2; Ben Hill 2; Jackson 2; Dawson 2; Twiggs 2; Baldwin 2; Ware 2; Pierce 1; Mcduffie 1; Clinch 1; Hart 1; Taylor 1; Chattahoochee 1; Greene 1; Heard 1; Harris 1; Chattooga 1; Catoosa 1; Charlton 1; Macon 1; Haralson 1; Long 1; Toombs 1; Liberty 1; White 1; Franklin 1; Morgan 1; Baker 1; Dodge 1; Wilkes 1
Malaysia,Malaysia,"2,161",26,259,"1,876",3/27/20 12:00
Ireland,Ireland,"2,121",22,5,"2,094",3/27/20 22:00
Denmark,Denmark,"2,046",52,1,"1,993",3/27/20 22:00
Texas,USA,"2,009",26,0,"1,983",2020-03-28 03:00:00 * CTY: Dallas 367; Harris 229; Travis 160; Denton 137; Collin 119; Tarrant 114; Bexar 113; Fort Bend 101; Brazoria 52; Galveston 49; Montgomery 47; Williamson 34; McLennan 33; Brazos 31; Lubbock 29; El Paso 28; Smith 27; Bell 25; Nueces 20; Webb 19; Hidalgo 18; Wichita 15; Hays 13; Cameron 13; Jefferson 12; Ellis 10; Matagorda 10; Comal 9; Guadalupe 8; Midland 7; Hockley 7; Castro 7; Johnson 6; Eastland 4; Val Verde 4; Gregg 4; Terry 4; Hardin 4; Kendall 4; Rockwall 3; Taylor 3; DeWitt 3; Victoria 3; Randall 3; Medina 3; Wharton 3; Brown 3; Washington 3; Dawson 3; Tom Green 3; Potter 3; Calhoun 3; Bastrop 2; Walker 2; Milam 2; Bowie 2; Oldham 2; Grayson 2; Starr 2; Hood 2; Rusk 2; Deaf Smith 2; Chambers 2; Parker 2; Kaufman 2; San Patricio 2; Grimes 2; Atascosa 2; Liberty 2; Llano 2; Austin 1; Ector 1; Cass 1; Cherokee 1; Burnet 1; Jackson 1; Martin 1; Shelby 1; Navarro 1; Coryell 1; Crane 1; Angelina 1; Gaines 1; Swisher 1; Blanco 1; Falls 1; Van Zandt 1; Lamb 1; Harrison 1; Limestone 1; Erath 1; Orange 1; Morris 1; Yoakum 1; Uvalde 1; Fannin 1; Hale 1; Maverick 1; Karnes 1; Robertson 1; Lamar 1; Willacy 1; Reeves 1; Fayette 1; Lavaca 1; Montague 1; Wilson 1; Nacogdoches 1; Hopkins 1; Young 1; Hunt 1
Colorado,USA,"1,740",31,0,"1,709",2020-03-28 03:00:00 * CTY: Denver 312; Eagle 170; El Paso 160; Jefferson 158; Arapahoe 155; unknown 136; Weld 129; Douglas 79; Boulder 76; Adams 71; Larimer 67; Gunnison 66; Pitkin 25; Garfield 16; La Plata 13; Broomfield 13; Summit 13; Routt 12; Mesa 9; Teller 7; Montrose 6; Pueblo 6; Chaffee 5; Morgan 4; Logan 3; Elbert 3; Clear Creek 3; Grand 2; Otero 2; Rio Grande 2; Yuma 2; Delta 2; Kit Carson 2; Fremont 1; Park 1; Hinsdale 1; Huerfano 1; Alamosa 1; Lincoln 1; Washington 1; Baca 1; Crowley 1; Costilla 1; San Miguel 1
Ecuador,Ecuador,"1,627",41,3,"1,583",3/28/20 1:00
Chile,Chile,"1,610",5,43,"1,562",2020-03-27 15:00:00 * Arica 3; Tarapaca 5; Antofagasta 21; Atacama 1; Coquimbo 14; Valparaiso 49; Metropolitana 938; O'Higgins 16; Maule 32; Ñuble 144; Biobio 135; Araucania 143; Los Rios 22; Los Lagos 63; Aysen 2; Magallanes 22. Source: @SouthernVOID
Luxembourg,Luxembourg,"1,605",15,40,"1,550",3/27/20 17:00
Japan,Japan,"1,499",49,372,"1,078",3/28/20 1:00
Guangdong,Mainland China,"1,456",8,"1,337",111,3/27/20 5:00
Poland,Poland,"1,389",16,7,"1,366",3/27/20 22:00
Pakistan,Pakistan,"1,373",11,23,"1,339",3/28/20 1:00
Tennessee,USA,"1,321",6,0,"1,315",2020-03-28 03:00:00 * CTY: Davidson 312; Shelby 223; unknown 172; Out-of-state 141; Williamson 91; Sumner 58; Rutherford 39; Knox 31; Hamilton 30; Robertson 22; Wilson 20; Putnam 13; Washington 10; Tipton 10; Dickson 9; Montgomery 9; Greene 8; Cheatham 7; Maury 7; Bradley 6; Loudon 6; Blount 6; Cumberland 6; Sullivan 6; Sevier 6; Jefferson 5; Campbell 4; Anderson 4; Carroll 4; Dyer 3; Franklin 3; McMinn 3; Madison 3; Fayette 3; Dekalb 3; Scott 2; Houston 2; Hamblen 2; Perry 2; Lewis 2; Monroe 2; Gibson 2; Cannon 2; Hawkins 2; Marion 2; Claiborne 2; Benton 2; Chester 2; Overton 1; Meigs 1; Bedford 1; Cocke 1; Hardin 1; Lincoln 1; White 1; Grundy 1; Unicoi 1; Smith 1; Roane 1; Macon 1
Romania,Romania,"1,292",24,115,"1,153",3/27/20 12:00
Connecticut,USA,"1,291",27,0,"1,264",2020-03-28 03:00:00 * CTY: Fairfield 752; New Haven 222; Hartford 189; Litchfield 52; Tolland 33; Middlesex 25; New London 15; Windham 3
Henan,Mainland China,"1,275",22,"1,250",3,3/26/20 3:00
Zhejiang,Mainland China,"1,247",1,"1,222",24,3/27/20 3:00
South Africa,South Africa,"1,170",2,12,"1,156",3/27/20 18:00
