Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"368,453","11,007","19,919","337,527",4/7/20 3:00
Spain,Spain,"136,675","13,341","40,437","82,897",4/7/20 1:00
Italy,Italy,"132,547","16,523","22,837","93,187",4/6/20 19:00
New York,USA,"131,830","4,758",0,"127,072",2020-04-07 03:00:00 * CTY: Albany 319; Allegany 17; Broome 76; Cattaraugus 12; Cayuga 11; Chautauqua 18; Chemung 47; Chenango 46; Clinton 36; Columbia 70; Cortland 14; Delaware 29; Dutchess 1189; Erie 1163; Essex 9; Franklin 10; Fulton 11; Genesee 23; Greene 24; Hamilton 2; Herkimer 25; Jefferson 33; Lewis 6; Livingston 24; Madison 92; Monroe 574; Montgomery 15; Nassau 15616; New York 72181; Niagara 120; Oneida 100; Onondaga 377; Ontario 32; Orange 3533; Orleans 13; Oswego 34; Otsego 29; Putnam 345; Rensselaer 74; Rockland 5703; Saratoga 153; Schenectady 138; Schoharie 11; Schuyler 4; Seneca 9; Steuben 75; St. Lawrence 61; Suffolk 14185; Sullivan 253; Tioga 8; Tompkins 102; Ulster 382; Warren 26; Washington 19; Wayne 34; Westchester 14294; Wyoming 23; Yates 1
Germany,Germany,"103,489","1,820","28,700","72,969",2020-04-07 01:00:00 * States Baden-Württemberg 21407; Bavaria 26578; Berlin 3862; Brandenburg 1512; Bremen 397; Hamburg 3088; Hesse 4816; Mecklenburg-Vorpommern 531; Lower Saxony 6520; North Rhine-Westphalia 21915; Rhineland-Palatinate 4153; Saarland 1611; Saxony 3159; Saxony-Anhalt 1002; Schleswig-Holstein 1711; Thuringia 1227; Source: @iceweasel
France,France,"98,010","8,911","17,250","71,849",4/6/20 19:00
Mainland China,Mainland China,"81,707","3,326","76,867","1,514",4/6/20 6:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"60,500","3,739","24,236","32,525",4/6/20 13:00
United Kingdom,United Kingdom,"51,608","5,373",135,"46,100",4/6/20 19:00
New Jersey,USA,"41,090","1,003",0,"40,087",2020-04-07 03:00:00 * CTY: Atlantic 132; Bergen 6862; Burlington 646; Camden 645; Cape May 85; Cumberland 64; Essex 4493; Gloucester 279; Hudson 4395; Hunterdon 211; Mercer 740; Middlesex 3263; Monmouth 2545; Morris 1956; Ocean 2374; Passaic 3756; Salem 29; Somerset 902; Sussex 292; Union 3685; unknown 3521; Warren 215
Turkey,Turkey,"30,217",649,"1,326","28,242",4/6/20 19:00
Switzerland,Switzerland,"21,657",765,"8,056","12,836",4/6/20 20:00
Belgium,Belgium,"20,814","1,632","3,986","15,196",4/6/20 13:00
Netherlands,Netherlands,"18,803","1,867",250,"16,686",4/6/20 13:00
Michigan,USA,"17,221",727,0,"16,494",2020-04-07 03:00:00 * CTY: Allegan 15; Antrim 5; Arenac 3; Barry 7; Bay 30; Berrien 60; Branch 15; Calhoun 41; Cass 7; Charlevoix 8; Cheboygan 8; Chippewa 1; Clare 3; Clinton 56; Crawford 2; Delta 7; Dickinson 2; Eaton 57; Emmet 13; Genesee 568; Gladwin 4; Gogebic 3; Grand Traverse 14; Gratiot 5; Hillsdale 46; Houghton 1; Huron 4; Ingham 178; Ionia 8; Iosco 3; Isabella 16; Jackson 103; Kalamazoo 58; Kalkaska 8; Kent 177; Lapeer 49; Leelanau 2; Lenawee 32; Livingston 143; Luce 1; Mackinac 2; Macomb 2159; Manistee 6; Marquette 15; Mecosta 6; Midland 22; Missaukee 1; Monroe 117; Montcalm 15; Muskegon 33; Newaygo 2; Oakland 3380; Oceana 3; Ogemaw 3; Ontonagon 1; Osceola 3; Oscoda 2; Other 241; Otsego 26; Ottawa 44; Out of State 91; Presque Isle 1; Roscommon 5; Saginaw 139; Sanilac 14; Shiawassee 24; St. Clair 110; St. Joseph 11; Tuscola 22; unknown 130; Van Buren 16; Washtenaw 539; Wayne 3247; Wayne--Detroit 5023; Wexford 5
Canada,Canada,"16,667",323,"3,616","12,728",2020-04-07 01:00:00 * Completed Tests: 345659; Tests in Progress 3954; Provinces: British Columbia 1266;Alberta 1348;Saskatchewan 253;Manitoba 204;Ontario 4347;Quebec 8580;Newfoundland and Labrador 226;New Brunswick 103;Nova Scotia 293;Prince Edward Island 22;Yukon 7;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
California,USA,"16,349",388,0,"15,961",2020-04-07 03:00:00 * CTY: Alameda 588; Alpine 1; Amador 3; Butte 12; Calaveras 5; Colusa 2; Contra Costa 417; Del Norte 2; El Dorado 22; Fresno 108; Glenn 2; Humboldt 49; Imperial 68; Inyo 11; Kern 252; Kings 5; Lake 1; Los Angeles 6377; Madera 28; Marin 143; Mendocino 4; Merced 29; Mono 19; Monterey 62; Napa 22; Nevada 32; Orange 882; Placer 106; Plumas 3; Riverside 946; Sacramento 462; San Benito 23; San Bernardino 530; San Diego 1404; San Francisco 583; San Joaquin 206; San Luis Obispo 95; San Mateo 579; Santa Barbara 192; Santa Clara 1224; Santa Cruz 71; Shasta 21; Siskiyou 4; Solano 88; Sonoma 111; Stanislaus 71; Sutter 16; Tehama 1; Tulare 135; Tuolumne 2; unknown 43; Ventura 226; Yolo 50; Yuba 11
Louisiana,USA,"14,867",512,0,"14,355",2020-04-07 03:00:00 * CTY: Acadia 79; Allen 52; Ascension 347; Assumption 77; Avoyelles 40; Beauregard 23; Bienville 14; Bossier 139; Caddo 711; Calcasieu 159; Caldwell 11; Catahoula 12; Claiborne 30; Concordia 9; De Soto 82; East Baton Rouge 816; East Carroll 1; East Feliciana 39; Evangeline 23; Franklin 28; Grant 10; Iberia 83; Iberville 136; Jackson 4; Jefferson 3530; Jefferson Davis 21; Lafayette 260; Lafourche 305; La Salle 6; Lincoln 19; Livingston 79; Madison 1; Morehouse 15; Natchitoches 22; Orleans 4565; Ouachita 230; Parish Under Investigation 48; Plaquemines 100; Pointe Coupee 24; Rapides 110; Red River 2; Richland 11; Sabine 7; St. Bernard 267; St. Charles 285; St. Helena 8; St. James 167; St. John the Baptist 366; St. Landry 52; St. Martin 90; St. Mary 73; St. Tammany 637; Tangipahoa 186; Terrebonne 182; Union 26; Vermilion 17; Vernon 10; Washington 92; Webster 51; West Baton Rouge 45; West Carroll 1; West Feliciana 30; Winn 2
Massachusetts,USA,"13,837",260,0,"13,577",2020-04-07 03:00:00 * CTY: Barnstable 383; Berkshire 268; Bristol 722; Dukes and Nantucket 17; Essex 1653; Franklin 107; Hampden 889; Hampshire 147; Middlesex 2950; Norfolk 1382; Plymouth 1067; Suffolk 2929; unknown 246; Worcester 1077
Florida,USA,"13,629",254,0,"13,375",2020-04-07 03:00:00 * CTY: Alachua 133; Baker 13; Bay 24; Bradford 9; Brevard 92; Broward 2075; Calhoun 3; Charlotte 55; Citrus 46; Clay 81; Collier 249; Columbia 15; DeSoto 14; Dixie 1; Duval 478; Escambia 141; Flagler 34; Franklin 2; Gadsden 5; Glades 4; Gulf 1; Hamilton 1; Hardee 2; Hendry 9; Hernando 48; Highlands 36; Hillsborough 575; Holmes 1; Indian River 60; Jackson 4; Jefferson 3; Lake 107; Lee 400; Leon 59; Levy 4; Madison 11; Manatee 145; Marion 55; Martin 85; Miami-Dade 4671; Monroe 46; Nassau 25; Okaloosa 65; Okeechobee 4; Orange 754; Osceola 241; Palm Beach 1082; Pasco 114; Pinellas 372; Polk 180; Putnam 19; Santa Rosa 64; Sarasota 159; Seminole 195; St. Johns 147; St. Lucie 107; Sumter 81; Suwannee 31; Union 2; unknown 5; Volusia 153; Wakulla 6; Walton 25; Washington 1
Pennsylvania,USA,"13,206",179,0,"13,027",2020-04-07 03:00:00 * CTY: Adams 25; Allegheny 642; ​Armstrong 13; Beaver 96; Bedford 4; Berks 326; Blair 5; Bradford 10; Bucks 713; Butler 91; Cambria 7; Cameron 1; ​Carbon 59; Centre 44; Chester 307; Clarion 6; ​Clearfield 7; Clinton 3; Columbia 26; Crawford 9; Cumberland 68; Dauphin 132; Delaware 822; Erie 27; Fayette 29; Forest 4; Franklin 32; Fulton 1; Greene 12; Huntingdon 4; Indiana 17; Juniata 11; Lackawanna 190; Lancaster 408; Lawrence 24; Lebanon 124; Lehigh 1006; Luzerne 849; Lycoming 10; Mckean 1; Mercer 18; Mifflin 9; Monroe 572; Montgomery 1230; Montour 37; Northampton 716; Northumberland 15; Perry 5; Philadelphia 3728; Pike 125; Potter 3; Schuylkill 103; Snyder 8; ​Somerset 6; Sullivan 1; Susquehanna 6; Tioga 8; Union 6; Venango 5; Warren 1; Washington 53; Wayne 35; Westmoreland 157; Wyoming 5; York 189
Austria,Austria,"12,297",220,"3,463","8,614",4/7/20 1:00
Illinois,USA,"12,264",308,0,"11,956",2020-04-07 03:00:00 * CTY: Adams 8; Bond 3; Boone 4; Bureau 3; Calhoun 1; Carroll 4; Champaign 62; Christian 22; Clark 2; Clinton 11; Cook 8728; Crawford 5; Cumberland 1; DeKalb 22; De Witt 3; Douglas 10; DuPage 715; Effingham 1; Fayette 3; Ford 1; Franklin 2; Gallatin 1; Grundy 9; Henry 10; Iroquois 6; Jackson 14; Jasper 4; Jefferson 1; Jersey 3; Jo Daviess 6; Kane 234; Kankakee 85; Kendall 55; Knox 1; Lake 815; La Salle 11; Lawrence 2; Lee 2; Livingston 9; Logan 1; Macon 9; Macoupin 7; Madison 52; Marion 3; Marshall 1; Mason 1; Massac 2; McHenry 144; McLean 46; Menard 2; Mercer 2; Monroe 11; Montgomery 3; Morgan 7; Moultrie 1; Ogle 7; Peoria 12; Piatt 3; Pike 1; Randolph 27; Rock Island 47; Saline 1; Sangamon 31; St. Clair 92; Stephenson 5; Tazewell 14; unknown 72; Vermilion 5; Wabash 1; Washington 2; Whiteside 18; Will 697; Williamson 3; Winnebago 49; Woodford 6
Brazil,Brazil,"12,056",553,127,"11,376",2020-04-07 02:00:00 * States Acre 50 Amazonas 532 Amapá 34 Pará 102 Rondônia 14 Roraima 42 Tocantins 17 Alagoas 31 Bahia 431 Ceara 1013 Maranhão 133 Paraíba 35 Pernambuco 223 Piauí 23 Rio Grande do Norte 246 Sergipe 32 Espírito Santo 194 Minas Gerais 525 Rio de Janeiro 1461 São Paulo 4866 Distrito Federal 473 Goiás 119 Mato Grosso do Sul 66 Mato Grosso 76 Paraná 458 Rio Grande do Sul 481 Santa Catarina 379 Source: @HeidyBello
Portugal,Portugal,"11,730",311,140,"11,279",4/6/20 13:00
South Korea,South Korea,"10,284",186,"6,598","3,500",4/6/20 13:00
Israel,Israel,"8,904",57,585,"8,262",4/6/20 20:00
Washington,USA,"8,384",383,0,"8,001",2020-04-07 03:00:00 * CTY: Adams 27; Asotin 4; Benton 175; Chelan 34; Clallam 8; Clark 168; Columbia 1; Cowlitz 18; Douglas 10; Ferry 1; Franklin 64; Grant 88; Grays Harbor 6; Island 142; Jefferson 27; King 3331; Kitsap 111; Kittitas 12; Klickitat 11; Lewis 16; Lincoln 1; Mason 15; Okanogan 9; Pend Oreille 1; Pierce 717; San Juan 10; Skagit 166; Skamania 2; Snohomish 1603; Spokane 222; Stevens 5; Thurston 67; unknown 677; Wahkiakum 2; Walla Walla 13; Whatcom 228; Whitman 12; Yakima 380
Texas,USA,"8,157",153,0,"8,004",2020-04-07 03:00:00 * CTY: Anderson 1; Andrews 6; Angelina 14; Aransas 2; Atascosa 4; Austin 5; Bastrop 11; Bell 68; Bexar 456; Blanco 4; Bowie 14; Brazoria 167; Brazos 94; Brown 6; Burleson 2; Burnet 4; Caldwell 4; Calhoun 12; Cameron 87; Camp 1; Cass 3; Castro 11; Chambers 11; Cherokee 6; Clay 1; Collin 306; Colorado 2; Comal 22; Comanche 2; Coryell 5; Crane 2; Crosby 1; Dallam 1; Dallas 1155; Dawson 7; Deaf Smith 7; Denton 337; DeWitt 7; Donley 7; Eastland 3; Ector 26; Ellis 29; El Paso 125; El Paso--Fort Bliss 7; Erath 11; Falls 1; Fannin 2; Fayette 9; Fort Bend 318; Franklin 1; Gaines 1; Galveston 256; Gillespie 3; Goliad 3; Gonzales 1; Gray 9; Grayson 13; Gregg 23; Grimes 3; Guadalupe 28; Hale 7; Hamilton 1; Hansford 1; Hardin 26; Harris--Houston 1145; Harris--Non Houston 664; Harrison 11; Hays 59; Hemphill 1; Henderson 6; Hidalgo 113; Hill 5; Hockley 10; Hood 9; Hopkins 4; Hunt 1; Hutchinson 2; Jackson 3; Jasper 3; Jefferson 59; Jim Wells 2; Johnson 21; Karnes 2; Kaufman 9; Kendall 9; Kerr 2; Kleberg 2; Lamar 6; Lamb 1; Lampasas 2; Lavaca 2; Lee 2; Leon 2; Liberty 6; Limestone 3; Live Oak 3; Llano 2; Lubbock 180; Lynn 3; Martin 2; Mason 1; Matagorda 42; Maverick 5; McLennan 53; Medina 4; Midland 24; Milam 3; Montague 1; Montgomery 161; Moore 8; Morris 1; Nacogdoches 21; Navarro 4; Newton 1; Nueces 59; Oldham 3; Orange 22; Palo Pinto 1; Panola 4; Parker 6; Pecos 1; Polk 8; Potter 41; Randall 36; Reeves 1; Robertson 2; Rockwall 10; Rusk 13; San Augustine 4; San Jacinto 1; San Patricio 2; Shelby 12; Smith 75; Starr 7; Swisher 2; Tarrant 452; Taylor 31; Terry 4; Titus 2; Tom Green 24; Travis 502; Trinity 2; Tyler 2; Upshur 5; Uvalde 5; Val Verde 6; Van Zandt 7; Victoria 35; Walker 10; Waller 9; Washington 19; Webb 122; Wharton 13; Wichita 48; Willacy 5; Williamson 81; Wilson 6; Wise 3; Wood 3; Young 3; Zapata 1
Georgia,USA,"7,558",294,0,"7,264",2020-04-07 03:00:00 * CTY: Appling 6; Atkinson 3; Bacon 10; Baker 5; Baldwin 20; Banks 2; Barrow 29; Bartow 182; Ben Hill 6; Berrien 4; Bibb 42; Bleckley 1; Brantley 3; Brooks 6; Bryan 24; Bulloch 9; Burke 10; Butts 17; Calhoun 20; Camden 15; Candler 2; Carroll 163; Catoosa 6; Charlton 3; Chatham 110; Chattahoochee 2; Chattooga 4; Cherokee 141; Clarke 72; Clay 7; Clayton 254; Clinch 3; Cobb 517; Coffee 30; Colquitt 61; Columbia 40; Cook 2; Coweta 76; Crawford 1; Crisp 46; Dade 1; Dawson 18; Decatur 13; DeKalb 600; Dodge 8; Dooly 27; Dougherty 722; Douglas 105; Early 81; Echols 1; Effingham 14; Elbert 2; Emanuel 2; Fannin 10; Fayette 74; Floyd 89; Forsyth 85; Franklin 3; Fulton 1053; Gilmer 2; Glynn 29; Gordon 25; Grady 4; Greene 15; Gwinnett 455; Habersham 2; Hall 138; Haralson 14; Harris 10; Hart 3; Heard 2; Henry 181; Houston 70; Irwin 7; Jackson 18; Jasper 4; Jeff Davis 1; Jefferson 3; Jenkins 4; Johnson 5; Jones 6; Lamar 15; Lanier 5; Laurens 17; Lee 148; Liberty 12; Lincoln 5; Long 1; Lowndes 42; Lumpkin 9; Macon 5; Madison 9; Marion 2; Mcduffie 8; Mcintosh 2; Meriwether 15; Miller 15; Mitchell 59; Monroe 10; Morgan 6; Murray 10; Muscogee 47; Newton 65; Oconee 24; Oglethorpe 1; Paulding 57; Peach 16; Pickens 9; Pierce 23; Pike 9; Polk 20; Pulaski 8; Putnam 3; Quitman 1; Rabun 3; Randolph 26; Richmond 56; Rockdale 82; Schley 7; Screven 2; Seminole 9; Spalding 44; Stephens 8; Stewart 3; Sumter 90; Talbot 5; Tattnall 3; Taylor 3; Telfair 4; Terrell 66; Thomas 28; Tift 42; Toombs 7; Towns 1; Treutlen 1; Troup 36; Turner 15; Twiggs 2; Union 1; unknown 309; Upson 25; Walker 3; Walton 23; Ware 28; Warren 5; Washington 6; Wayne 2; Webster 4; Wheeler 1; White 4; Whitfield 18; Wilcox 2; Wilkes 4; Wilkinson 3; Worth 39
Sweden,Sweden,"7,206",477,205,"6,524",4/6/20 16:00
Connecticut,USA,"6,906",206,0,"6,700",2020-04-07 03:00:00 * CTY: Fairfield 3719; Hartford 882; Litchfield 230; Middlesex 135; New Haven 1468; New London 65; Tolland 103; unknown 264; Windham 40
Russia,Russia,"6,343",47,406,"5,890",4/6/20 13:00
Norway,Norway,"5,865",76,32,"5,757",4/7/20 1:00
Australia,Australia,"5,797",40,"1,080","4,677",4/6/20 13:00
Ireland,Ireland,"5,364",174,25,"5,165",4/6/20 19:00
Colorado,USA,"5,183",150,0,"5,033",2020-04-07 03:00:00 * CTY: Adams 367; Alamosa 4; Arapahoe 652; Archuleta 6; Baca 9; Boulder 189; Broomfield 50; Chaffee 22; Clear Creek 6; Costilla 3; Crowley 1; Custer 2; Delta 5; Denver 847; Douglas 227; Eagle 355; Elbert 9; El Paso 441; Fremont 3; Garfield 47; Grand 4; Gunnison 95; Hinsdale 1; Huerfano 1; Jefferson 540; Kit Carson 5; Lake 3; La Plata 32; Larimer 158; Las Animas 1; Lincoln 1; Logan 11; Mesa 25; Mineral 2; Moffat 3; Montezuma 8; Montrose 34; Morgan 19; Otero 4; Ouray 2; Park 5; Phillips 3; Pitkin 39; Pueblo 42; Rio Blanco 1; Rio Grande 5; Routt 29; Saguache 3; San Miguel 10; Summit 58; Teller 11; unknown 276; Washington 1; Weld 504; Yuma 2
Indiana,USA,"4,956",143,0,"4,813",2020-04-07 03:00:00 * CTY: Adams 2; Allen 87; Bartholomew 54; Blackford 4; Boone 64; Brown 5; Carroll 3; Cass 4; Clark 71; Clay 4; Clinton 4; Crawford 5; Daviess 2; Dearborn 38; Decatur 90; De Kalb 4; Delaware 40; Dubois 7; Elkhart 36; Fayette 16; Floyd 50; Fountain 2; Franklin 55; Fulton 3; Gibson 4; Grant 20; Greene 10; Hamilton 335; Hancock 72; Harrison 33; Hendricks 196; Henry 13; Howard 32; Huntington 4; Jackson 37; Jasper 15; Jay 3; Jefferson 6; Jennings 37; Johnson 195; Knox 8; Kosciusko 14; LaGrange 6; Lake 369; La Porte 21; Lawrence 39; Madison 101; Marion 1956; Marshall 8;  Martin 2; Miami 7; Monroe 48; Montgomery 15; Morgan 76; Newton 4; Noble 11; Ohio 1; Orange 9; Owen 15; Parke 5; Porter 79; Posey 5; Putnam 21; Randolph 5; Ripley 70; Rush 12; Scott 8; Shelby 45; Spencer 1; Starke 4; Steuben 8; St. Joseph 112; Sullivan 3; Switzerland 11; Tippecanoe 34; Tipton 6; Union 3; unknown 20; Vanderburgh 40; Vermillion 2; Vigo 25; Wabash 3; Warren 2; Warrick 19; Washington 18; Wayne 10; Wells 2; White 3; Whitley 8
Czech Republic,Czech Republic,"4,822",78,121,"4,623",4/7/20 1:00
Chile,Chile,"4,815",37,728,"4,050",2020-04-06 17:00:00 * Arica 41; Tarapaca 21; Antofagasta 68; Atacama 5; Coquimbo 51; Valparaiso 198; Metropolitana 2244; O'Higgins 42; Maule 108; Ñuble 474; Biobio 383; Araucania 562; Los Rios 104; Los Lagos 286; Aysen 7; Magallanes 221. Source: @SouthernVOID
India,India,"4,778",133,382,"4,263",2020-04-07 01:00:00 * States: Maharashtra 868;Tamil Nadu 621;Delhi 525;Kerala 327;Telangana 364;Uttar Pradesh 305;Rajasthan 301;Andhra Pradesh 303;Madhya Pradesh 256;Karnataka 163;Gujarat 146;Jammu and Kashmir 109;Haryana 110;Punjab 79;West Bengal 80;Bihar 32;Assam 26;Uttarakhand 31;Odisha 40;Chandigarh 18;Ladakh 14;Andaman and Nicobar Islands 10;Chhattisgarh 10;Goa 7;Himachal Pradesh 18;Puducherry 5;Jharkhand 4;Manipur 2;Mizoram 1;Arunachal Pradesh 1;Dadra and Nagar Haveli 1;Daman and Diu 0;Lakshadweep 0;Meghalaya 0;Nagaland 0;Sikkim 0;Tripura 1
Denmark,Denmark,"4,681",187,"1,378","3,116",4/6/20 16:00
Ohio,USA,"4,453",142,0,"4,311",2020-04-07 03:00:00 * CTY: Adam 2; Allen 19; Ashland 3; Ashtabula 15; Athens 3; Auglaize 8; Belmont 22; Brown 3; Butler 75; Carroll 9; Champaign 5; Clark 10; Clermont 27; Clinton 8; Columbiana 53; Coshocton 10; Crawford 9; Cuyahoga 871; Darke 32; Defiance 8; Delaware 77; Erie 10; Fairfield 54; Fayette 2; Franklin 644; Fulton 5; Gallia 4; Geauga 40; Greene 15; Guernsey 1; Guesnsey 1; Hamilton 394; Hancock 14; Hardin 2; Highland 6; Holmes 2; Huron 9; Jefferson 15; Knox 7; Lake 87; Lawrence 10; Licking 57; Logan 5; Lorain 117; Lucas 321; Madison 17; Mahoning 272; Marion 25; Medina 83; Mercer 8; Miami 90; Monroe 2; Montgomery 109; Morgan 1; Morrow 5; Muskingum 5; Ottawa 5; Paulding 1; Perry 4; Pickaway 29; Pike 1; Portage 94; Preble 5; Putnam 1; Richland 19; Ross 6; Sandusky 5; Scioto 1; Seneca 6; Shelby 17; Stark 109; Summit 189; Trumbull 102; Tuscarawas 23; Union 8; Van Wert 2; Warren 37; Washington 15; Wayne 26; Williams 1; Wood 34; Wyandot 5
Poland,Poland,"4,413",107,162,"4,144",4/6/20 19:00
Romania,Romania,"4,057",157,406,"3,494",4/6/20 13:00
Maryland,USA,"4,045",91,0,"3,954",2020-04-07 03:00:00 * CTY: Allegany 6; Anne Arundel 343; Baltimore 648; Baltimore City 435; Calvert 40; Caroline 6; Carroll 150; Cecil 37; Charles 129; Dorchester 1; Frederick 138; Garrett 3; Harford 55; Howard 214; Kent 5; Montgomery 793; Prince George's 916; Queen Anne's 15; Somerset 4; St. Mary's 41; Talbot 8; Washington 37; Wicomico 11; Worcester 10
