Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"124,698","2,195","2,612","119,891",3/29/20 3:00
Italy,Italy,"92,472","10,023","12,384","70,065",3/28/20 20:00
Mainland China,Mainland China,"81,401","3,287","74,121","3,993",3/28/20 14:00
Spain,Spain,"73,235","5,982","12,285","54,968",3/29/20 1:00
Hubei,Mainland China,"67,801","3,169","61,201","3,431",3/26/20 2:00
Germany,Germany,"58,101",474,"6,658","50,969",2020-03-29 01:00:00 * States Baden-Württemberg 11972; Bavaria 13076; Berlin 2337; Brandenburg 816; Bremen 279; Hamburg 1935; Hesse 2902; Mecklenburg-Vorpommern 352; Lower Saxony 3713; North Rhine-Westphalia 13397; Rhineland-Palatinate 2607; Saarland 669; Saxony 1756; Saxony-Anhalt 622; Schleswig-Holstein 946; Thuringia 722; Source: @iceweasel
New York,USA,"53,520",834,0,"52,686",2020-03-29 03:00:00 * CTY: New York 30765; Westchester 7875; Nassau 5537; Suffolk 4138; Rockland 1896; Orange 1142; Erie 380; Dutchess 262; Monroe 202; Albany 195; Onondaga 146; Ulster 135; Putnam 131; Saratoga 96; Schenectady 72; Sullivan 72; Tompkins 56; Rensselaer 51; Niagara 33; Columbia 30; Madison 29; Broome 23; Oneida 23; Ontario 16; Warren 13; Steuben 13; Clinton 12; Chemung 12; Wayne 12; St. Lawrence 11; Oswego 10; Livingston 10; Washington 9; Herkimer 9; Delaware 8; Chenango 8; Cortland 8; Genesee 7; Chautauqua 7; Otsego 7; Wyoming 7; Greene 7; Jefferson 6; Montgomery 6; Tioga 6; Schoharie 5; Franklin 5; Essex 5; Orleans 3; Cayuga 2; Hamilton 2; Allegany 2; Fulton 1; Cattaraugus 1; Schuyler 1
France,France,"37,575","2,314","5,700","29,561",3/28/20 20:00
Iran,Iran,"35,408","2,517","11,679","21,212",3/28/20 12:00
United Kingdom,United Kingdom,"17,089","1,019",135,"15,935",3/28/20 17:00
Switzerland,Switzerland,"14,076",264,"1,530","12,282",3/28/20 20:00
New Jersey,USA,"11,124",140,0,"10,984",2020-03-29 03:00:00 * CTY: unknown 2478; Bergen 1838; Essex 1086; Middlesex 808; Monmouth 781; Hudson 771; Union 742; Ocean 624; Passaic 608; Morris 442; Somerset 258; Mercer 168; Camden 123; Burlington 115; Sussex 81; Hunterdon 61; Gloucester 51; Warren 51; Atlantic 17; Cumberland 11; Cape May 7; Salem 3
Netherlands,Netherlands,"9,762",639,3,"9,120",3/28/20 15:00
South Korea,South Korea,"9,478",144,"4,811","4,523",3/28/20 12:00
