Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"583,072","23,280","43,011","516,781",4/14/20 0:00
New York,USA,"195,749","10,058","26,183","159,508",4/14/20 0:00
Spain,Spain,"170,099","17,756","64,727","87,616",4/14/20 0:00
Italy,Italy,"159,516","20,465","35,435","103,616",4/13/20 18:00
France,France,"136,779","14,967","27,718","94,094",4/13/20 18:00
Germany,Germany,"130,129","3,213","64,300","62,616",2020-04-14 01:00:00 * States Baden-Württemberg 26408; Bavaria 34236; Berlin 4667; Brandenburg 2097; Bremen 491; Hamburg 3887; Hesse 6191; Mecklenburg-Vorpommern 618; Lower Saxony 8338; North Rhine-Westphalia 27114; Rhineland-Palatinate 5054; Saarland 2145; Saxony 3931; Saxony-Anhalt 1224; Schleswig-Holstein 2213; Thuringia 1515; Source: @engmann
United Kingdom,United Kingdom,"84,279","10,612",344,"73,323",4/12/20 17:00
Mainland China,Mainland China,"82,248","3,327","77,100","1,821",4/14/20 2:00
Iran,Iran,"73,303","4,585","45,983","22,735",4/13/20 13:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
New Jersey,USA,"64,584","2,443",355,"61,786",4/14/20 0:00
Turkey,Turkey,"61,049","1,296","3,957","55,796",4/13/20 18:00
Belgium,Belgium,"30,589","3,903","6,707","19,979",4/13/20 11:00
Massachusetts,USA,"26,793",756,729,"25,308",4/14/20 0:00
Netherlands,Netherlands,"26,551","2,823",250,"23,478",4/13/20 13:00
Switzerland,Switzerland,"25,688","1,138","12,700","11,850",4/13/20 18:00
Canada,Canada,"25,680",780,"7,758","17,142",2020-04-14 01:00:00 * Completed Tests: 444671; Tests in Progress 4530; Provinces: British Columbia 1490;Alberta 1732;Saskatchewan 300;Manitoba 246;Ontario 7470;Quebec 13557;Newfoundland and Labrador 244;New Brunswick 116;Nova Scotia 474;Prince Edward Island 25;Yukon 8;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
Michigan,USA,"24,638","1,487",433,"22,718",4/14/20 0:00
Pennsylvania,USA,"24,292",589,219,"23,484",4/14/20 0:00
California,USA,"23,585",689,978,"21,918",4/14/20 0:00
Brazil,Brazil,"23,430","1,328",127,"21,975",2020-04-14 01:00:00 * States Acre 90 Amazonas 1275 Amapá 242 Pará 270 Rondônia 42 Roraima 83 Tocantins 26 Alagoas 50 Bahia 723 Ceara 1800 Maranhão 445 Paraíba 101 Pernambuco 1154 Piauí 50 Rio Grande do Norte 339 Sergipe 44 Espírito Santo 430 Minas Gerais 815 Rio de Janeiro 3231 São Paulo 8895 Distrito Federal 638 Goiás 233 Mato Grosso do Sul 113 Mato Grosso 134 Paraná 756 Rio Grande do Sul 664 Santa Catarina 777. Source: @HeidyBello
Illinois,USA,"22,025",798,251,"20,976",4/14/20 0:00
Louisiana,USA,"21,016",884,0,"20,132",4/14/20 0:00
Florida,USA,"20,601",470,0,"20,131",4/14/20 0:00
Russia,Russia,"18,328",148,"1,470","16,710",4/13/20 11:00
Portugal,Portugal,"16,934",535,277,"16,122",4/13/20 13:00
Austria,Austria,"14,041",368,"7,343","6,330",4/13/20 21:00
Texas,USA,"14,041",300,"2,101","11,640",4/14/20 0:00
Connecticut,USA,"13,381",602,34,"12,745",4/14/20 0:00
Georgia,USA,"13,315",465,340,"12,510",4/14/20 0:00
Israel,Israel,"11,586",116,"1,855","9,615",4/13/20 21:00
Sweden,Sweden,"10,948",919,381,"9,648",4/13/20 13:00
Ireland,Ireland,"10,647",365,25,"10,257",4/13/20 18:00
Washington,USA,"10,635",513,"1,406","8,716",4/14/20 0:00
South Korea,South Korea,"10,564",222,"7,534","2,808",4/14/20 2:00
India,India,"10,453",358,"1,193","8,902",2020-04-13 18:00:00 * States: Maharashtra 2334;Delhi 1510;Tamil Nadu 1173;Rajasthan 897;Madhya Pradesh 614;Gujarat 572;Telangana 592;Uttar Pradesh 558;Andhra Pradesh 439;Kerala 378;Karnataka 247;Jammu and Kashmir 270;Haryana 196;Punjab 176;West Bengal 152;Bihar 66;Odisha 55;Uttarakhand 35;Himachal Pradesh 32;Chhattisgarh 31;Assam 30;Chandigarh 21;Jharkhand 24;Ladakh 17;Andaman and Nicobar Islands 11;Goa 7;Puducherry 7;Manipur 2;Tripura 2;Mizoram 1;Arunachal Pradesh 1;Dadra and Nagar Haveli 1;Nagaland 1;Daman and Diu 0;Lakshadweep 0;Meghalaya 1;Sikkim 0
Peru,Peru,"9,784",216,"2,642","6,926",2020-04-13 19:00:00 * Lima 7458; Callao 733; Lambayeque 392; Loreto 340; Piura 120; La Libertad 115; Ancash 110; Arequipa 98; Tumbes 72; Junin 68; Cusco 59; Ica 58; Amazonas 25; San Martin 23; Ucayali 17; Huanuco 15; Moquegua 12; Ayacucho 11; Pasco 11; Cajamarca 11; Huancavelica 10; Madre de Dios 10; Tacna 9; Apurimac 5; y Puno 2. @SouthernVOID
Maryland,USA,"8,936",262,594,"8,080",4/14/20 0:00
Indiana,USA,"8,359",350,105,"7,904",4/14/20 0:00
Japan,Japan,"7,618",143,799,"6,676",4/14/20 2:00
Ecuador,Ecuador,"7,529",355,597,"6,577",4/13/20 18:00
Chile,Chile,"7,525",82,"2,367","5,076",2020-04-13 17:00:00 * Arica 115; Tarapaca 52; Antofagasta 149; Atacama 13; Coquimbo 66; Valparaiso 273; Metropolitana 3803; O'Higgins 48; Maule 141; Ñuble 618; Biobio 512; Araucania 795; Los Rios 138; Los Lagos 380; Aysen 7; Magallanes 415. Source: @SouthernVOID
Colorado,USA,"7,307",290,112,"6,905",4/14/20 0:00
Ohio,USA,"6,975",274,12,"6,689",4/14/20 0:00
Poland,Poland,"6,934",245,487,"6,202",4/13/20 18:00
Romania,Romania,"6,633",318,914,"5,401",4/13/20 11:00
Norway,Norway,"6,603",134,32,"6,437",4/14/20 0:00
Pakistan,Pakistan,"6,495",66,727,"5,702",4/10/20 16:00
Australia,Australia,"6,351",61,"1,806","4,484",4/13/20 12:00
Denmark,Denmark,"6,318",285,"2,235","3,798",4/13/20 13:00
Czech Republic,Czech Republic,"6,059",143,519,"5,397",4/14/20 0:00
Virginia,USA,"5,747",149,2,"5,596",4/14/20 0:00
Tennessee,USA,"5,610",109,"1,671","3,830",4/14/20 0:00
Mexico,Mexico,"5,014",332,"1,964","2,718",4/14/20 2:00
Saudi Arabia,Saudi Arabia,"4,934",65,805,"4,064",4/13/20 13:00
Philippines,Philippines,"4,932",315,242,"4,375",4/13/20 11:00
North Carolina,USA,"4,886",94,325,"4,467",4/14/20 0:00
Malaysia,Malaysia,"4,817",77,"2,276","2,464",4/13/20 11:00
Indonesia,Indonesia,"4,557",399,380,"3,778",4/13/20 11:00
US Military,USA,"4,528",15,588,"3,925",4/14/20 0:00
United Arab Emirates,United Arab Emirates,"4,521",25,852,"3,644",4/13/20 21:00
Missouri,USA,"4,515",123,191,"4,201",4/14/20 0:00
Serbia,Serbia,"4,054",85,0,"3,969",4/13/20 18:00
Alabama,USA,"3,734",99,0,"3,635",4/14/20 0:00
Arizona,USA,"3,705",122,3,"3,580",4/14/20 0:00
Panama,Panama,"3,472",94,61,"3,317",4/14/20 2:00
Wisconsin,USA,"3,341",144,84,"3,113",4/14/20 0:00
South Carolina,USA,"3,320",82,0,"3,238",4/14/20 0:00
Luxembourg,Luxembourg,"3,292",69,500,"2,723",4/13/20 18:00
Qatar,Qatar,"3,231",7,334,"2,890",4/13/20 11:00
Dominican Republic,Dominican Republic,"3,167",177,152,"2,838",4/13/20 18:00
Ukraine,Ukraine,"3,102",93,97,"2,912",4/13/20 11:00
Finland,Finland,"3,064",56,300,"2,708",4/13/20 11:00
Nevada,USA,"2,979",114,996,"1,869",4/14/20 0:00
Mississippi,USA,"2,942",98,0,"2,844",4/14/20 0:00
Belarus,Belarus,"2,919",29,203,"2,687",4/13/20 13:00
Singapore,Singapore,"2,918",9,586,"2,323",4/13/20 18:00
Colombia,Colombia,"2,852",112,319,"2,421",2020-04-14 01:00:00 * States Bogotá D.C. 1205 Cundinamarca 115 Antioquia 272 Valle del Cauca 498 Bolívar 134 Atlántico 92 Magdalena 88 Cesar 32 Sucre 1 La Guajira 1 Córdoba 13 Norte de Santander 43 Santander 29 Cauca 19 Caldas 36 Risaralda 61 Quindío 49 Huila 55 Tolima 25 Meta 24 Casanare 7 San Andrés y Providencia 5 Nariño 38 Boyacá 31 Chocó 1. Source: @HeidyBello
Rhode Island,USA,"2,665",63,0,"2,602",4/14/20 0:00
Thailand,Thailand,"2,579",40,"1,288","1,251",4/13/20 11:00
