Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"312,253","8,515","15,021","288,717",4/5/20 3:00
Spain,Spain,"126,168","11,947","34,219","80,002",4/5/20 0:00
Italy,Italy,"124,632","15,362","20,996","88,274",4/4/20 17:00
New York,USA,"114,174","3,565",0,"110,609",2020-04-05 03:00:00 * CTY: Albany 293; Allegany 16; Broome 65; Cattaraugus 9; Cayuga 8; Chautauqua 14; Chemung 36; Chenango 39; Clinton 31; Columbia 61; Cortland 14; Delaware 25; Dutchess 938; Erie 945; Essex 9; Franklin 10; Fulton 9; Genesee 21; Greene 24; Hamilton 2; Herkimer 18; Jefferson 20; Lewis 2; Livingston 22; Madison 85; Monroe 512; Montgomery 13; Nassau 13346; New York 63306; Niagara 101; Oneida 86; Onondaga 349; Ontario 31; Orange 2863; Orleans 10; Oswego 30; Otsego 26; Putnam 283; Rensselaer 73; Rockland 4872; Saratoga 150; Schenectady 117; Schoharie 11; Schuyler 4; Seneca 6; Steuben 60; St. Lawrence 58; Suffolk 11370; Sullivan 193; Tioga 8; Tompkins 95; Ulster 318; unknown 0; Warren 20; Washington 17; Wayne 30; Westchester 13081; Wyoming 18; Yates 1
Germany,Germany,"96,092","1,444","26,400","68,248",2020-04-05 02:00:00 * States (not updated after 76360) Baden-Württemberg 16076; Bavaria 18571; Berlin 2993; Brandenburg 1107; Bremen 332; Hamburg 2437; Hesse 3758; Mecklenburg-Vorpommern 443; Lower Saxony 5008; North Rhine-Westphalia 17157; Rhineland-Palatinate 3331; Saarland 1073; Saxony 2304; Saxony-Anhalt 820; Schleswig-Holstein 1299; Thuringia 927; Source: tencent.com
France,France,"89,953","7,560","15,438","66,955",4/4/20 21:00
Mainland China,Mainland China,"81,638","3,326","76,799","1,513",4/4/20 9:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"55,743","3,452","19,736","32,555",4/4/20 11:00
United Kingdom,United Kingdom,"41,903","4,313",135,"37,455",4/4/20 14:00
New Jersey,USA,"34,124",846,0,"33,278",2020-04-05 03:00:00 * CTY: Atlantic 98; Bergen 5760; Burlington 469; Camden 481; Cape May 50; Cumberland 40; Essex 3584; Gloucester 215; Hudson 3491; Hunterdon 171; Mercer 586; Middlesex 2578; Monmouth 2065; Morris 1618; Ocean 2003; Passaic 2856; Salem 25; Somerset 765; Sussex 236; Union 2916; unknown 3935; Warren 182
Turkey,Turkey,"23,934",501,786,"22,647",4/4/20 21:00
Switzerland,Switzerland,"20,505",666,"6,415","13,424",4/4/20 21:00
Belgium,Belgium,"18,431","1,283","3,247","13,901",4/4/20 11:00
Netherlands,Netherlands,"16,627","1,651",250,"14,726",4/4/20 14:00
Michigan,USA,"14,225",540,0,"13,685",2020-04-05 03:00:00 * CTY: Allegan 10; Antrim 4; Arenac 3; Barry 5; Bay 24; Berrien 56; Branch 10; Calhoun 34; Cass 6; Charlevoix 7; Cheboygan 7; Chippewa 1; Clare 1; Clinton 54; Crawford 1; Delta 5; Dickinson 1; Eaton 53; Emmet 7; Genesee 464; Gladwin 3; Gogebic 3; Grand Traverse 12; Gratiot 4; Hillsdale 37; Houghton 2; Huron 4; Ingham 168; Ionia 6; Iosco 2; Isabella 10; Jackson 81; Kalamazoo 45; Kalkaska 8; Kent 153; Lapeer 27; Leelanau 1; Lenawee 27; Livingston 129; Luce 1; Mackinac 2; Macomb 1838; Manistee 4; Marquette 11; Mecosta 4; Midland 17; Missaukee 1; Monroe 101; Montcalm 13; Muskegon 31; Newaygo 2; Oakland 2785; Oceana 3; Ogemaw 2; Osceola 4; Oscoda 2; Other 188; Otsego 22; Ottawa 39; Out of State 83; Presque Isle 0; Roscommon 2; Saginaw 103; Sanilac 13; Schoolcraft 0; Shiawassee 22; St. Clair 85; St. Joseph 9; Tuscola 20; unknown 64; Van Buren 12; Washtenaw 501; Wayne 2804; Wayne--Detroit 3958; Wexford 4
Canada,Canada,"14,018",233,"2,772","11,013",2020-04-05 02:00:00 * Completed Tests: 320305807. Quebec 6997; Ontario 3630; British Columbia 1203; Alberta 1181; Nova Scotia 236; Saskatchewan 231; Newfoundland 203; Manitoba 194; New Brunswick 98; Prince Edward Island 22; Yukon 6; Northwest Territories 4; Yukon 6; CDN 13
California,USA,"13,904",324,0,"13,580",2020-04-05 03:00:00 * CTY: Alameda 537; Alpine 1; Amador 3; Butte 11; Calaveras 4; Colusa 2; Contra Costa 353; Del Norte 2; El Dorado 22; Fresno 103; Glenn 2; Humboldt 44; Imperial 55; Inyo 10; Kern 210; Kings 5; Los Angeles 5304; Madera 30; Marin 137; Mendocino 4; Merced 19; Mono 19; Monterey 62; Napa 20; Nevada 31; Orange 786; Placer 101; Plumas 3; Riverside 665; Sacramento 390; San Benito 23; San Bernardino 372; San Diego 1209; San Francisco 529; San Joaquin 189; San Luis Obispo 93; San Mateo 538; Santa Barbara 168; Santa Clara 1148; Santa Cruz 62; Shasta 17; Siskiyou 3; Solano 73; Sonoma 105; Stanislaus 65; Sutter 16; Tehama 1; Tulare 107; Tuolumne 2; unknown 0; Ventura 203; Yolo 37; Yuba 9
Louisiana,USA,"12,496",409,0,"12,087",2020-04-05 03:00:00 * CTY: Acadia 65; Allen 39; Ascension 284; Assumption 56; Avoyelles 36; Beauregard 15; Bienville 10; Bossier 126; Caddo 598; Calcasieu 135; Caldwell 3; Catahoula 9; Claiborne 20; Concordia 5; De Soto 71; East Baton Rouge 621; East Carroll 1; East Feliciana 22; Evangeline 19; Franklin 19; Grant 9; Iberia 68; Iberville 119; Jackson 1; Jefferson 3008; Jefferson Davis 9; Lafayette 229; Lafourche 217; La Salle 4; Lincoln 17; Livingston 64; Madison 1; Morehouse 9; Natchitoches 15; Orleans 3966; Ouachita 176; Parish Under Investigation 31; Plaquemines 86; Pointe Coupee 16; Rapides 97; Red River 2; Richland 9; Sabine 4; St. Bernard 239; St. Charles 252; St. Helena 4; St. James 150; St. John the Baptist 338; St. Landry 45; St. Martin 64; St. Mary 65; St. Tammany 532; Tangipahoa 131; Terrebonne 143; Union 19; Vermilion 15; Vernon 11; Washington 75; Webster 42; West Baton Rouge 40; West Feliciana 18; Winn 2
Austria,Austria,"11,781",186,"2,507","9,088",4/4/20 11:00
