Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"189,800","4,087","7,136","178,577",4/1/20 3:00
Italy,Italy,"105,792","12,428","15,729","77,635",3/31/20 18:00
Spain,Spain,"95,923","8,464","19,259","68,200",3/31/20 22:00
Mainland China,Mainland China,"81,535","3,301","75,527","2,707",4/1/20 1:00
New York,USA,"76,049","1,714",0,"74,335",2020-04-01 03:00:00 * CTY: New York 43119; Westchester 9967; Nassau 8544; Suffolk 6713; Rockland 2863; Orange 1560; Erie 553; Dutchess 484; Monroe 300; Onondaga 249; Albany 226; Ulster 217; Putnam 186; Sullivan 118; Saratoga 108; Schenectady 85; Tompkins 76; Madison 62; Rensselaer 55; Niagara 42; Columbia 41; Oneida 40; Broome 38; St. Lawrence 30; Steuben 24; Ontario 22; Clinton 21; Wayne 20; Oswego 20; Chemung 20; Chenango 19; Warren 18; Otsego 18; Livingston 18; Greene 16; Delaware 16; Herkimer 12; Jefferson 12; Genesee 11; Washington 11; Allegany 10; Cortland 10; Wyoming 9; Franklin 9; Chautauqua 8; Tioga 8; Montgomery 7; Orleans 6; Schoharie 6; Cattaraugus 6; Essex 5; Cayuga 4; Lewis 2; Schuyler 2; Hamilton 2; Fulton 1
Germany,Germany,"71,699",799,"16,100","54,800",2020-04-01 02:00:00 * States Baden-Württemberg 14822; Bavaria 16925; Berlin 2777; Brandenburg 1000; Bremen 316; Hamburg 2290; Hesse 3449; Mecklenburg-Vorpommern 417; Lower Saxony 4659; North Rhine-Westphalia 15969; Rhineland-Palatinate 3141; Saarland 971; Saxony 2163; Saxony-Anhalt 779; Schleswig-Holstein 1175; Thuringia 846; Source: @iceweasel
Hubei,Mainland China,"67,801","3,182","62,570","2,049",3/29/20 2:00
France,France,"52,128","3,523","9,444","39,161",3/31/20 19:00
Iran,Iran,"44,605","2,898","14,656","27,051",3/31/20 11:00
United Kingdom,United Kingdom,"25,150","1,789",135,"23,226",3/31/20 18:00
New Jersey,USA,"18,997",267,0,"18,730",2020-04-01 03:00:00 * CTY: unknown 3686; Bergen 3202; Essex 1900; Hudson 1606; Union 1418; Passaic 1294; Middlesex 1277; Monmouth 1140; Ocean 1022; Morris 841; Somerset 413; Mercer 268; Camden 228; Burlington 202; Sussex 137; Gloucester 114; Hunterdon 97; Warren 76; Atlantic 31; Cumberland 18; Cape May 15; Salem 12
Switzerland,Switzerland,"16,605",433,"1,823","14,349",3/31/20 22:00
Turkey,Turkey,"13,531",214,243,"13,074",3/31/20 18:00
Belgium,Belgium,"12,775",705,"1,698","10,372",3/31/20 11:00
Netherlands,Netherlands,"12,595","1,039",250,"11,306",3/31/20 14:00
Austria,Austria,"10,180",128,"1,095","8,957",3/31/20 22:00
South Korea,South Korea,"9,786",162,"5,408","4,216",3/31/20 11:00
Canada,Canada,"8,591",101,"1,297","7,193",2020-04-01 02:00:00 * Completed Tests: 244421; Tests in Progress 10683; Provinces: Quebec 4162; Ontario 1966; British Columbia 1013; Alberta 754; Newfoundland 152; Saskatchewan 184; Nova Scotia 147; Manitoba 103; New Brunswick 70; PEI 21; Yukon 5; Northwest Territories 1; Repatriated CDN 13
California,USA,"8,558",182,0,"8,376",2020-04-01 03:00:00 * CTY: Los Angeles 3019; Santa Clara 890; San Diego 730; Orange 502; San Francisco 397; Riverside 371; Alameda 313; San Mateo 309; Sacramento 224; Contra Costa 222; San Bernardino 183; San Joaquin 151; Ventura 149; Marin 107; Kern 101; Santa Barbara 99; San Luis Obispo 80; Sonoma 78; Fresno 68; Placer 67; Santa Cruz 49; Solano 49; Tulare 45; Monterey 42; Stanislaus 39; Imperial 38; Humboldt 27; Yolo 25; Madera 23; San Benito 21; Nevada 21; El Dorado 18; Napa 15; Mono 13; Merced 10; Sutter 10; Inyo 8; Butte 8; Yuba 7; Shasta 7; Kings 4; Mendocino 4; Calaveras 3; Siskiyou 3; Amador 2; Glenn 2; Tuolumne 2; Alpine 1; Colusa 1; Plumas 1
Michigan,USA,"7,615",259,0,"7,356",2020-04-01 03:00:00 * CTY: Wayne--Detroit 2080; Wayne 1655; Oakland 1591; Macomb 853; Washtenaw 305; Genesee 185; Kent 108; Other 93; Ingham 91; Livingston 80; Saginaw 51; Monroe 49; Jackson 47; Berrien 35; St. Clair 32; Ottawa 31; Kalamazoo 24; Clinton 24; Eaton 21; Out of State 20; Otsego 19; Lenawee 18; Muskegon 18; Calhoun 17; Hillsdale 14; Midland 10; Bay 9; Tuscola 9; Lapeer 8; Shiawassee 8; Grand Traverse 7; Kalkaska 7; Sanilac 7; Van Buren 7; Isabella 6; Emmet 5; Montcalm 5; St. Joseph 4; Marquette 4; Ionia 4; Cass 4; Charlevoix 4; Allegan 3; Gratiot 3; Mecosta 3; Huron 3; Antrim 3; Barry 2; Osceola 2; Gladwin 2; Branch 2; Wexford 2; Gogebic 2; Oceana 2; Oscoda 2; Newaygo 1; Delta 1; Leelanau 1; Schoolcraft 1; Missaukee 1; Manistee 1; Crawford 1; Clare 1; Chippewa 1; Arenac 1; Iosco 1; Ogemaw 1; Roscommon 1; Houghton 1; Cheboygan 1; Dickinson 0
Portugal,Portugal,"7,443",160,43,"7,240",3/31/20 14:00
