Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"505,931","18,817","29,191","457,923",4/11/20 3:00
New York,USA,"174,489","7,887","16,517","150,085",4/11/20 3:00
Spain,Spain,"158,273","16,081","55,668","86,524",4/11/20 2:00
Italy,Italy,"147,577","18,849","30,455","98,273",4/10/20 21:00
France,France,"124,869","13,197","24,932","86,740",4/10/20 21:00
Germany,Germany,"122,336","2,740","53,913","65,683",2020-04-11 02:00:00 * States Baden-Württemberg 24722; Bavaria 32163; Berlin 4446; Brandenburg 1936; Bremen 453; Hamburg 3642; Hesse 5805; Mecklenburg-Vorpommern 600; Lower Saxony 7777; North Rhine-Westphalia 25562; Rhineland-Palatinate 4808; Saarland 2072; Saxony 3689; Saxony-Anhalt 1155; Schleswig-Holstein 2065; Thuringia 1441; Source: @iceweasel
Mainland China,Mainland China,"81,937","3,327","77,028","1,582",4/11/20 1:00
United Kingdom,United Kingdom,"73,758","8,958",135,"64,665",4/10/20 21:00
Iran,Iran,"68,192","4,232","35,465","28,495",4/10/20 14:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
New Jersey,USA,"54,588","1,932",51,"52,605",4/11/20 3:00
Turkey,Turkey,"47,029","1,006","2,423","43,600",4/10/20 21:00
Belgium,Belgium,"26,667","3,019","5,568","18,080",4/10/20 14:00
Switzerland,Switzerland,"24,551","1,002","11,100","12,449",4/10/20 21:00
Netherlands,Netherlands,"23,097","2,511",250,"20,336",4/10/20 14:00
Michigan,USA,"22,783","1,281",94,"21,408",4/11/20 3:00
Canada,Canada,"22,148",569,"6,013","15,566",2020-04-11 02:00:00 * Completed Tests: 397730; Tests in Progress 5318; Provinces: British Columbia 1410;Alberta 1500;Saskatchewan 285;Manitoba 230;Ontario 6237;Quebec 11677;Newfoundland and Labrador 239;New Brunswick 112;Nova Scotia 407;Prince Edward Island 25;Yukon 8;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
California,USA,"21,408",599,779,"20,030",4/11/20 3:00
Massachusetts,USA,"20,974",599,729,"19,646",4/11/20 3:00
Pennsylvania,USA,"20,408",449,170,"19,789",4/11/20 3:00
Brazil,Brazil,"19,638","1,056",127,"18,455",2020-04-11 02:00:00 * States Acre 70 Amazonas 981 Amapá 166 Pará 170 Rondônia 32 Roraima 63 Tocantins 23 Alagoas 45 Bahia 604 Ceara 1478 Maranhão 293 Paraíba 79 Pernambuco 684 Piauí 40 Rio Grande do Norte 263 Sergipe 42 Espírito Santo 300 Minas Gerais 698 Rio de Janeiro 2464 São Paulo 8216 Distrito Federal 555 Goiás 191 Mato Grosso do Sul 97 Mato Grosso 112 Paraná 643 Rio Grande do Sul 636 Santa Catarina 693. Source: @HeidyBello
Louisiana,USA,"19,253",755,0,"18,498",4/11/20 3:00
Florida,USA,"17,968",419,0,"17,549",4/11/20 3:00
Illinois,USA,"17,903",597,213,"17,093",4/11/20 3:00
Portugal,Portugal,"15,472",435,233,"14,804",4/10/20 14:00
Austria,Austria,"13,560",319,"6,064","7,177",4/11/20 2:00
Texas,USA,"12,397",248,"1,709","10,440",4/11/20 3:00
Russia,Russia,"11,917",94,795,"11,028",4/10/20 14:00
Georgia,USA,"11,859",425,0,"11,434",4/11/20 3:00
Connecticut,USA,"10,538",448,0,"10,090",4/11/20 3:00
South Korea,South Korea,"10,450",208,"7,117","3,125",4/10/20 14:00
Israel,Israel,"10,408",95,"1,183","9,130",4/10/20 21:00
Washington,USA,"10,221",484,"1,146","8,591",4/11/20 3:00
Sweden,Sweden,"9,685",870,205,"8,610",4/10/20 14:00
Ireland,Ireland,"8,089",287,25,"7,777",4/10/20 21:00
India,India,"7,600",249,774,"6,577",2020-04-10 21:00:00 * States: Maharashtra 1574;Tamil Nadu 911;Delhi 903;Telangana 487;Rajasthan 561;Kerala 364;Uttar Pradesh 433;Andhra Pradesh 381;Madhya Pradesh 451;Karnataka 207;Gujarat 378;Haryana 176;Jammu and Kashmir 207;Punjab 151;West Bengal 116;Odisha 50;Bihar 60;Uttarakhand 35;Assam 29;Chandigarh 19;Himachal Pradesh 28;Ladakh 15;Andaman and Nicobar Islands 11;Chhattisgarh 18;Goa 7;Puducherry 7;Jharkhand 14;Manipur 2;Mizoram 1;Arunachal Pradesh 1;Dadra and Nagar Haveli 1;Tripura 2;Daman and Diu 0;Lakshadweep 0;Meghalaya 0;Nagaland 0;Sikkim 0
Ecuador,Ecuador,"7,161",297,368,"6,496",4/10/20 21:00
Maryland,USA,"6,968",171,288,"6,509",4/11/20 3:00
Indiana,USA,"6,907",300,58,"6,549",4/11/20 3:00
Colorado,USA,"6,513",250,0,"6,263",4/11/20 3:00
Chile,Chile,"6,501",65,"1,571","4,865",2020-04-10 17:00:00 * Arica 87; Tarapaca 35; Antofagasta 110; Atacama 13; Coquimbo 61; Valparaiso 241; Metropolitana 3193; O'Higgins 44; Maule 131; Ñuble 589; Biobio 474; Araucania 712; Los Rios 124; Los Lagos 349; Aysen 7; Magallanes 331. Source: @SouthernVOID
Pakistan,Pakistan,"6,495",66,727,"5,702",4/10/20 16:00
Norway,Norway,"6,314",113,32,"6,169",4/10/20 21:00
Australia,Australia,"6,215",54,"1,793","4,368",4/10/20 21:00
Poland,Poland,"5,955",181,318,"5,456",4/10/20 16:00
Peru,Peru,"5,897",169,"1,569","4,159",2020-04-10 20:00:00 * Lima 4210; Callao 465; Loreto 315; Lambayeque 302; La Libertad 101; Arequipa 83; Piura 68; Ancash 67; Cusco 57; Junin 56; Ica 37; Tumbes 27; San Martin 18; Amazonas 16; Ucayali 12; Cajamarca 11; Tacna 9; Huanuco 9; Ayacucho 9; Pasco 8; Huancavelica 7; Madre de Dios 3; Moquegua 3; Apurímac 3; Puno 1. @SouthernVOID
Ohio,USA,"5,878",231,12,"5,635",4/11/20 3:00
Denmark,Denmark,"5,819",247,"1,773","3,799",4/10/20 14:00
Czech Republic,Czech Republic,"5,732",119,346,"5,267",4/11/20 2:00
Japan,Japan,"5,530",99,685,"4,746",4/10/20 14:00
Romania,Romania,"5,467",265,729,"4,473",4/10/20 14:00
Tennessee,USA,"4,891",98,"1,145","3,648",4/11/20 3:00
Virginia,USA,"4,509",121,2,"4,386",4/11/20 3:00
Malaysia,Malaysia,"4,346",70,"1,830","2,446",4/10/20 14:00
Philippines,Philippines,"4,195",221,140,"3,834",4/10/20 14:00
North Carolina,USA,"4,090",87,284,"3,719",4/11/20 3:00
Missouri,USA,"3,957",105,167,"3,685",4/11/20 3:00
Saudi Arabia,Saudi Arabia,"3,651",47,685,"2,919",4/10/20 14:00
Indonesia,Indonesia,"3,512",306,282,"2,924",4/10/20 14:00
Mexico,Mexico,"3,441",194,633,"2,614",4/10/20 14:00
