Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"80,974","3,248","71,146","6,580",3/20/20 11:00
Hubei,Mainland China,"67,800","3,132","58,381","6,287",3/20/20 11:00
Italy,Italy,"47,021","4,032","4,440","38,549",3/21/20 2:00
Spain,Spain,"21,571","1,093","1,588","18,890",3/21/20 2:00
Germany,Germany,"19,711",53,180,"19,478",2020-03-20 19:00:00 * States (not updated after 14269) Baden-Württemberg 2824; Bavaria 2303; Berlin 519; Brandenburg 171; Bremen 75; Hamburg 414; Hesse 666; Mecklenburg-Vorpommern 100; Lower Saxony 925; North Rhine-Westphalia 4628; Rhineland-Palatinate 664; Saarland 172; Saxony 315; Saxony-Anhalt 150; Schleswig-Holstein 224; Thuringia 119; Source: @iceweasel
Iran,Iran,"19,644","1,433","6,745","11,466",3/21/20 2:00
USA,USA,"19,622",261,17,"19,344",3/21/20 2:00
France,France,"12,632",450,12,"12,170",3/21/20 2:00
South Korea,South Korea,"8,652",100,"1,540","7,012",3/21/20 2:00
New York,USA,"8,403",46,0,"8,357",2020-03-21 02:00:00 * CTY: New York 5151; Westchester 1091; Nassau 754; unknown 465; Suffolk 459; Rockland 101; Orange 84; Albany 70; Monroe 36; Dutchess 36; Erie 31; Saratoga 21; Schenectady 14; Onondaga 13; Putnam 12; Tompkins 11; Ulster 9; Rensselaer 8; Niagara 4; Clinton 3; Columbia 3; Oneida 2; Wyoming 2; Allegany 2; Greene 2; Montgomery 2; Steuben 2; Schoharie 2; Chenango 1; Warren 1; Broome 1; Delaware 1; Ontario 1; Tioga 1; Herkimer 1; Genesee  1; Washington 1; Sullivan 1; Essex  1; Hamilton 1; Wayne 1
Switzerland,Switzerland,"5,544",56,15,"5,473",3/21/20 2:00
United Kingdom,United Kingdom,"4,014",178,67,"3,769",3/21/20 2:00
Netherlands,Netherlands,"3,003",107,2,"2,894",3/21/20 2:00
Austria,Austria,"2,388",6,9,"2,373",3/21/20 2:00
Belgium,Belgium,"2,257",37,1,"2,219",3/21/20 2:00
Norway,Norway,"1,914",7,1,"1,906",3/21/20 2:00
Sweden,Sweden,"1,639",16,16,"1,607",3/21/20 2:00
Washington,USA,"1,524",83,1,"1,440",2020-03-21 02:00:00 * CTY: King 793; Snohomish 385; unknown 130; Pierce 83; Skagit 25; Island 19; Kitsap 12; Spokane 11; Yakima 10; Whatcom 10; Grant 8; Thurston 8; Clark 6; Jefferson 4; Kittitas 4; Benton 3; Chelan 2; Franklin 2; Klickitat 2; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Clallam 1; Mason 1; Grays Harbor 1
Guangdong,Mainland China,"1,395",8,"1,322",65,3/20/20 11:00
Denmark,Denmark,"1,337",9,1,"1,327",3/21/20 2:00
Henan,Mainland China,"1,273",22,"1,250",1,3/17/20 2:00
California,USA,"1,247",24,6,"1,217",2020-03-21 02:00:00 * CTY: Los Angeles 292; Santa Clara 196; San Diego 131; San Mateo 100; San Francisco 76; Orange 65; Sacramento 53; Alameda 48; Contra Costa 46; Marin 38; Riverside 28; San Joaquin 25; Ventura 19; San Luis Obispo 16; Santa Cruz 15; Solano 13; San Bernardino 9; Sonoma 9; Santa Barbara 9; Placer 9; Tulare 7; Fresno 6; Stanislaus 5; Yolo 5; San Benito 5; Monterey 5; Imperial 4; Kern 4; Madera 3; Calaveras 2; Humboldt 1; Nevada 1; Shasta 1; Mendocino 1
Zhejiang,Mainland China,"1,234",1,"1,219",14,3/20/20 11:00
Malaysia,Malaysia,"1,030",3,87,940,3/21/20 2:00
Portugal,Portugal,"1,020",6,5,"1,009",3/21/20 2:00
Hunan,Mainland China,"1,018",4,"1,004",10,3/13/20 2:00
Anhui,Mainland China,990,6,984,0,3/9/20 1:00
Japan,Japan,963,33,191,739,3/21/20 2:00
Jiangxi,Mainland China,935,1,934,0,3/13/20 2:00
New Jersey,USA,890,11,1,878,2020-03-21 02:00:00 * CTY: Bergen 249; unknown 92; Middlesex 76; Essex 73; Hudson 66; Monmouth 53; Ocean 49; Passaic 49; Union 43; Morris 35; Somerset 28; Mercer 22; Burlington 17; Hunterdon 11; Camden 11; Gloucester 5; Atlantic 3; Warren 3; Sussex 3; Cape May 1; Cumberland 1
Canada,Canada,873,12,11,850,2020-03-20 12:00:00 * Ontario 258; British Columbia 271; Alberta 146; Quebec 121; Manitoba 17; Saskatchewan 20; Nova Scotia 14; New Brunswick 11; PEI 2; Newfounland 3; Repatriated CDN 10
Australia,Australia,791,7,26,758,3/21/20 2:00
Czech Republic,Czech Republic,774,0,3,771,3/20/20 19:00
Shandong,Mainland China,762,7,748,7,3/20/20 11:00
Others,Japan (Diamond Princess),706,6,10,690,3/3/20 3:00
Israel,Israel,705,1,14,690,3/21/20 2:00
Ireland,Ireland,683,3,5,675,3/21/20 2:00
Turkey,Turkey,670,9,0,661,3/21/20 2:00
Brazil,Brazil,635,7,2,626,2020-03-20 02:00:00 * States Amazonas 3; Pará 1; Ceara 24; Paraíba 1; Pernambuco 28; Rio Grande do Norte 1; Alagoas 4; Sergipe 6; Bahia 30; Espírito Santo 13; Minas Gerais 29; Rio de Janeiro 66; São Paulo 286; Distrito Federal 42; Goiás 12; Mato Grosso do Sul 9; Paraná 23; Santa Catarina 20; Rio Grande do Sul 30 Source: @HeidyBello
Jiangsu,Mainland China,631,0,631,0,3/15/20 2:00
Illinois,USA,585,5,2,578,2020-03-21 02:00:00 * CTY: Cook 278; unknown 167; DuPage 54; Lake 37; Will 9; McHenry 6; Kane 6; Sangamon 4; Clinton 3; Peoria 3; St. Clair  3; Woodford 2; Kendall 1; Champaign 1; Jackson 1; Williamson 1; Madison 1; LaSalle 1; Adams 1; Washington 1; McLean 1; Whiteside 1; Cumberland 1; Winnebago 1; Kankakee 1
