Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"81,180","3,277","73,214","4,689",3/24/20 15:00
Italy,Italy,"69,176","6,820","8,326","54,030",3/24/20 18:00
Hubei,Mainland China,"67,801","3,160","60,324","4,317",3/24/20 14:00
USA,USA,"55,236",802,354,"54,080",3/25/20 3:00
Spain,Spain,"39,885","2,808","3,794","33,283",3/24/20 22:00
Germany,Germany,"32,986",157,"3,243","29,586",2020-03-25 01:00:00 * States (not updated after 31569) Baden-Württemberg 5996; Bavaria 6194; Berlin 1219; Brandenburg 436; Bremen 176; Hamburg 989; Hesse 1574; Mecklenburg-Vorpommern 202; Lower Saxony 1997; North Rhine-Westphalia 8749; Rhineland-Palatinate 1521; Saarland 402; Saxony 937; Saxony-Anhalt 336; Schleswig-Holstein 502; Thuringia 338; Source: @iceweasel
New York,USA,"26,376",271,0,"26,105",2020-03-25 03:00:00 * CTY: New York 15597; Westchester 3891; Nassau 2869; Suffolk 1880; Rockland 671; Orange 498; Albany 146; Dutchess 124; Erie 114; Monroe 106; Putnam 82; Onondaga 60; Saratoga 53; Schenectady 44; Ulster 35; Rensselaer 33; Sullivan 23; Columbia 18; Tompkins 18; Oneida 10; Niagara 10; Broome 9; Steuben 8; Wayne 6; Clinton 6; Ontario 6; Madison 4; Greene 4; Wyoming 4; Herkimer 4; Delaware 3; Chenango 3; Essex 3; Montgomery 3; Chemung 3; Washington 3; Livingston 3; Hamilton 2; Warren 2; Chautauqua 2; Cayuga 2; Cortland 2; Oswego 2; Allegany 2; Jefferson 2; Schoharie 1; Otsego 1; St. Lawrence 1; Fulton 1; Genesee 1; Tioga 1
Iran,Iran,"24,811","1,934","8,913","13,964",3/24/20 14:00
France,France,"22,622","1,102","3,288","18,232",3/24/20 22:00
Switzerland,Switzerland,"9,877",122,131,"9,624",3/24/20 20:00
South Korea,South Korea,"9,037",120,"3,507","5,410",3/24/20 11:00
United Kingdom,United Kingdom,"8,164",423,140,"7,601",3/24/20 20:00
Netherlands,Netherlands,"5,580",277,3,"5,300",3/24/20 22:00
Austria,Austria,"5,283",28,9,"5,246",3/24/20 22:00
Belgium,Belgium,"4,269",122,461,"3,686",3/24/20 11:00
New Jersey,USA,"3,675",44,0,"3,631",2020-03-25 03:00:00 * CTY: Bergen 701; unknown 645; Essex 342; Monmouth 288; Middlesex 277; Union 246; Hudson 234; Passaic 216; Morris 204; Ocean 180; Somerset 102; Mercer 58; Camden 51; Burlington 42; Hunterdon 25; Gloucester 19; Sussex 18; Warren 15; Atlantic 6; Cape May 3; Cumberland 2; Salem 1
Norway,Norway,"2,863",12,6,"2,845",3/25/20 0:00
