Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"216,762","5,148","8,672","202,942",4/2/20 3:00
Italy,Italy,"110,574","13,155","16,847","80,572",4/1/20 19:00
Spain,Spain,"104,118","9,387","22,647","72,084",4/2/20 2:00
New York,USA,"84,046","2,220",0,"81,826",2020-04-02 03:00:00 * CTY: New York 47439; Westchester 10683; Nassau 9554; Suffolk 7605; Rockland 3321; Orange 1756; Erie 582; Dutchess 547; Monroe 359; Onondaga 277; Albany 240; Ulster 222; Putnam 213; Saratoga 122; Sullivan 121; Schenectady 93; Tompkins 76; Madison 68; Rensselaer 55; Oneida 50; Niagara 46; Columbia 45; Broome 42; Steuben 38; St. Lawrence 34; Chenango 26; Clinton 25; Ontario 24; Wayne 24; Oswego 23; Chemung 22; Delaware 20; Otsego 19; Livingston 18; Greene 18; Warren 18; Genesee 16; Herkimer 12; Jefferson 12; Washington 11; Cortland 11; Wyoming 10; Allegany 10; Schoharie 9; Franklin 9; Chautauqua 8; Tioga 8; Cattaraugus 7; Essex 7; Montgomery 7; Orleans 6; Cayuga 4; Lewis 2; Schuyler 2; Hamilton 2; Seneca 2; Fulton 2; unknown 0
Mainland China,Mainland China,"81,575","3,312","76,290","1,973",4/2/20 1:00
Germany,Germany,"77,636",938,"18,700","57,998",2020-04-02 02:00:00 * States Baden-Württemberg 16076; Bavaria 18571; Berlin 2993; Brandenburg 1107; Bremen 332; Hamburg 2437; Hesse 3758; Mecklenburg-Vorpommern 443; Lower Saxony 5008; North Rhine-Westphalia 17157; Rhineland-Palatinate 3331; Saarland 1073; Saxony 2304; Saxony-Anhalt 820; Schleswig-Holstein 1299; Thuringia 927; Source: @iceweasel
Hubei,Mainland China,"67,802","3,193","63,326","1,283",4/1/20 7:00
France,France,"56,989","4,032","10,935","42,022",4/2/20 2:00
Iran,Iran,"47,593","3,036","15,473","29,084",4/1/20 11:00
United Kingdom,United Kingdom,"29,474","2,352",135,"26,987",4/1/20 14:00
New Jersey,USA,"22,255",355,0,"21,900",2020-04-02 03:00:00 * CTY: unknown 4512; Bergen 3494; Essex 2262; Hudson 1910; Union 1661; Passaic 1494; Middlesex 1493; Monmouth 1301; Ocean 1209; Morris 942; Somerset 472; Mercer 333; Camden 289; Burlington 255; Sussex 158; Gloucester 149; Hunterdon 117; Warren 96; Atlantic 40; Cumberland 27; Cape May 22; Salem 19
Switzerland,Switzerland,"17,768",488,"2,967","14,313",4/2/20 2:00
Turkey,Turkey,"15,679",277,333,"15,069",4/1/20 19:00
Belgium,Belgium,"13,964",828,"2,132","11,004",4/1/20 11:00
Netherlands,Netherlands,"13,614","1,173",250,"12,191",4/1/20 14:00
Austria,Austria,"10,711",146,"1,436","9,129",4/2/20 2:00
South Korea,South Korea,"9,976",169,"5,828","3,979",4/2/20 2:00
California,USA,"9,907",216,0,"9,691",2020-04-02 03:00:00 * CTY: Los Angeles 3518; Santa Clara 956; San Diego 849; Orange 606; San Francisco 434; Riverside 429; San Mateo 388; Alameda 359; Sacramento 314; San Bernardino 254; Contra Costa 249; San Joaquin 154; Ventura 149; Kern 126; Santa Barbara 111; Marin 107; Sonoma 91; San Luis Obispo 83; Placer 78; Fresno 68; Tulare 59; Santa Cruz 54; Solano 49; Monterey 42; Stanislaus 40; Imperial 38; Humboldt 28; Yolo 28; Nevada 26; Madera 23; San Benito 21; Napa 18; El Dorado 18; Mono 13; Sutter 11; Merced 10; Inyo 9; Butte 8; Shasta 7; Yuba 7; Kings 4; Mendocino 4; Siskiyou 3; Calaveras 3; Amador 2; Glenn 2; Tuolumne 2; Alpine 1; Colusa 1; Plumas 1; unknown 0
Canada,Canada,"9,730",111,"1,593","8,026",2020-04-02 02:00:00 * Completed Tests: 261877; Tests in Progress 9710; British Columbia 1066; Alberta 754; Saskatchewan 193; Manitoba 127; Ontario 2392; Quebec 4611; Newfoundland and Labrador 175; New Brunswick 81; Nova Scotia 173; Prince Edward Island 21; Northwest Territories 2; Nunavut 0; Yukon 5
