Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"468,919","16,697","25,690","426,532",4/10/20 2:00
New York,USA,"161,799","7,067","16,234","138,498",2020-04-10 02:00:00 * CTY: Albany 379; Allegany 22; Broome 105; Cattaraugus 17; Cayuga 16; Chautauqua 22; Chemung 59; Chenango 55; Clinton 40; Columbia 83; Cortland 16; Delaware 37; Dutchess 1493; Erie 1432; Essex 8; Franklin 11; Fulton 15; Genesee 56; Greene 31; Hamilton 3; Herkimer 32; Jefferson 42; Lewis 6; Livingston 29; Madison 102; Monroe 698; Montgomery 28; Nassau 20140; New York 87028; Niagara 155; Oneida 158; Onondaga 442; Ontario 43; Orange 4309; Orleans 22; Oswego 36; Otsego 39; Putnam 456; Rensselaer 102; Rockland 6665; Saratoga 172; Schenectady 167; Schoharie 12; Schuyler 4; Seneca 15; Steuben 92; St. Lawrence 82; Suffolk 18803; Sullivan 296; Tioga 17; Tompkins 107; Ulster 462; Warren 40; Washington 25; Wayne 39; Westchester 17004; Wyoming 29; Yates 1
Spain,Spain,"153,222","15,447","52,165","85,610",4/10/20 0:00
Italy,Italy,"143,626","18,279","28,470","96,877",4/9/20 18:00
Germany,Germany,"118,266","2,566","46,300","69,400",2020-04-10 02:00:00 * States Baden-Württemberg 23969; Bavaria 30955; Berlin 4357; Brandenburg 1864; Bremen 453; Hamburg 3518; Hesse 5541; Mecklenburg-Vorpommern 586; Lower Saxony 7541; North Rhine-Westphalia 24898; Rhineland-Palatinate 4641; Saarland 1903; Saxony 3528; Saxony-Anhalt 1139; Schleswig-Holstein 1972; Thuringia 1399; Source: @iceweasel
France,France,"117,749","12,210","23,206","82,333",4/9/20 21:00
Mainland China,Mainland China,"81,865","3,327","76,973","1,565",4/9/20 8:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"66,220","4,110","32,309","29,801",4/9/20 14:00
United Kingdom,United Kingdom,"65,077","7,978",135,"56,964",4/9/20 21:00
New Jersey,USA,"51,027","1,709",51,"49,267",2020-04-10 02:00:00 * CTY: Atlantic 191; Bergen 8343; Burlington 883; Camden 990; Cape May 109; Cumberland 111; Essex 6069; Gloucester 413; Hudson 5879; Hunterdon 286; Mercer 1161; Middlesex 4628; Monmouth 3248; Morris 2645; Ocean 3093; Passaic 4690; Salem 43; Somerset 1335; Sussex 392; Union 5203; unknown 996; Warren 319
Turkey,Turkey,"42,282",908,"2,142","39,232",4/9/20 18:00
