"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","78,824","2,788","36,141","2020-02-28 02:00:00"
"Hubei","Mainland China","65,914","2,682","26,403","2020-02-28 02:00:00"
"South Korea","South Korea","2,022","13","24","2020-02-28 02:30:00"
"Guangdong","Mainland China","1,348","7","919","2020-02-28 02:00:00"
"Henan","Mainland China","1,272","20","1,103","2020-02-28 02:00:00"
"Zhejiang","Mainland China","1,205","1","943","2020-02-28 02:00:00"
"Hunan","Mainland China","1,017","4","820","2020-02-28 02:00:00"
"Anhui","Mainland China","990","6","842","2020-02-28 02:00:00"
"Jiangxi","Mainland China","935","1","790","2020-02-28 02:00:00"
"Shandong","Mainland China","756","6","390","2020-02-28 02:00:00"
"Others","Japan (Diamond Princess)","705","4","0","2020-02-26 14:00:00"
"Italy","Italy","655","17","45","2020-02-27 19:30:00"
"Jiangsu","Mainland China","631","0","506","2020-02-28 02:00:00"
"Chongqing","Mainland China","576","6","401","2020-02-28 02:00:00"
"Sichuan","Mainland China","538","3","326","2020-02-28 02:00:00"
"Heilongjiang","Mainland China","480","13","280","2020-02-28 02:00:00"
"Beijing","Mainland China","410","7","257","2020-02-28 02:00:00"
"Shanghai","Mainland China","337","3","276","2020-02-27 14:00:00"
"Hebei","Mainland China","318","6","274","2020-02-28 02:00:00"
"Fujian","Mainland China","296","1","232","2020-02-28 02:00:00"
"Iran","Iran","270","26","49","2020-02-28 02:00:00"
"Guangxi","Mainland China","252","2","166","2020-02-28 02:00:00"
"Shaanxi","Mainland China","245","1","197","2020-02-28 02:00:00"
"Japan","Japan","214","4","22","2020-02-28 02:00:00"
"Yunnan","Mainland China","174","2","150","2020-02-27 14:30:00"
"Hainan","Mainland China","168","5","132","2020-02-28 02:00:00"
"Guizhou","Mainland China","146","2","112","2020-02-27 03:00:00"
"Tianjin","Mainland China","136","3","102","2020-02-27 19:00:00"
"Shanxi","Mainland China","133","0","104","2020-02-26 21:00:00"
"Liaoning","Mainland China","121","1","93","2020-02-28 02:00:00"
"Singapore","Singapore","96","0","66","2020-02-28 02:00:00"
"Jilin","Mainland China","93","1","68","2020-02-28 02:00:00"
"Hong Kong","Hong Kong","93","2","26","2020-02-28 02:00:00"
"Gansu","Mainland China","91","2","82","2020-02-27 14:30:00"
"Xinjiang Uygur","Mainland China","76","3","43","2020-02-28 02:00:00"
"Nei Mongol","Mainland China","75","0","43","2020-02-28 02:00:00"
"Ningxia","Mainland China","72","0","68","2020-02-28 02:00:00"
"USA","USA","59","0","6","2020-02-26 20:00:00"
"Germany","Germany","48","0","14","2020-02-28 02:00:00"
"Kuwait","Kuwait","43","0","0","2020-02-27 14:30:00"
"Unknown location US","USA (all are repatriated cases)","42","0","0","2020-02-26 20:00:00"
"Thailand","Thailand","40","0","22","2020-02-26 14:00:00"
"France","France","38","2","11","2020-02-28 02:00:00"
"Bahrain","Bahrain","33","0","0","2020-02-26 21:00:00"
"Taiwan","Taiwan","32","1","6","2020-02-28 02:00:00"
"Spain","Spain","25","0","2","2020-02-28 02:00:00"
"Australia","Australia","23","0","15","2020-02-26 01:00:00"
"Malaysia","Malaysia","23","0","15","2020-02-27 14:30:00"
"United Arab Emirates","United Arab Emirates","19","0","5","2020-02-27 19:30:00"
"Qinghai","Mainland China","18","0","18","2020-02-21 03:00:00"
"Vietnam","Vietnam","16","0","16","2020-02-25 14:00:00"
"United Kingdom","United Kingdom","16","0","8","2020-02-28 02:00:00"
"Canada","Canada","13","0","4","2020-02-27 19:30:00"
"California","USA","11","0","2","2020-02-26 20:00:00"
"Macau","Macau","10","0","8","2020-02-28 02:00:00"
"Switzerland","Switzerland","8","0","0","2020-02-28 02:30:00"
"Iraq","Iraq","7","0","0","2020-02-28 02:30:00"
"Sweden","Sweden","7","0","0","2020-02-27 21:00:00"
"Israel","Esrael","7","0","1","2020-02-28 02:30:00"
"Oman","Oman","6","0","0","2020-02-27 19:30:00"
"Philippines","Philippines","3","1","1","2020-02-12 07:43:02"
"Austria","Austria","3","0","0","2020-02-27 14:30:00"
"Croatia","Croatia","3","0","0","2020-02-26 21:00:00"
"Greece","Greece","3","0","0","2020-02-27 14:30:00"
"Lebanon","Lebanon","3","0","0","2020-02-27 19:30:00"
"India","India","3","0","3","2020-02-18 15:00:00"
"Russia","Russia","2","0","2","2020-02-12 14:43:03"
"Finland","Finland","2","0","1","2020-02-26 21:00:00"
"Pakistan","Pakistan","2","0","0","2020-02-26 21:00:00"
"Illinois","USA","2","0","2","2020-02-09 19:03:03"
"Xizang","Mainland China","1","0","1","2020-02-12 06:43:02"
"Belgium","Belgium","1","0","1","2020-02-18 15:00:00"
"Cambodia","Cambodia","1","0","1","2020-02-12 07:43:02"
"Nepal","Nepal","1","0","1","2020-02-12 14:43:03"
"Sri Lanka","Sri Lanka","1","0","1","2020-02-08 03:43:03"
"Egypt","Egypt","1","0","0","2020-02-14 21:00:00"
"Afghanistan","Afghanistan","1","0","0","2020-02-24 12:00:00"
"Algeria","Algeria","1","0","0","2020-02-26 00:00:00"
