Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"80,974","3,248","71,146","6,580",3/20/20 11:00
Hubei,Mainland China,"67,800","3,132","58,381","6,287",3/20/20 11:00
Italy,Italy,"53,578","4,825","6,072","42,681",3/21/20 20:00
USA,USA,"26,895",346,0,"26,549",3/22/20 3:00
Spain,Spain,"25,374","1,375","2,125","21,874",3/21/20 20:00
Germany,Germany,"22,333",73,240,"22,020",2020-03-21 14:00:00 * States Baden-Württemberg 4119; Bavaria 3878; Berlin 868; Brandenburg 323; Bremen 127; Hamburg 664; Hesse 1142; Mecklenburg-Vorpommern 167; Lower Saxony 1495; North Rhine-Westphalia 6820; Rhineland-Palatinate 1037; Saarland 250; Saxony 612; Saxony-Anhalt 244; Schleswig-Holstein 358; Thuringia 229; Source: @iceweasel
Iran,Iran,"20,610","1,556","7,635","11,419",3/21/20 20:00
France,France,"14,038",562,12,"13,464",3/21/20 23:00
New York,USA,"12,322",76,0,"12,246",2020-03-22 03:00:00 * CTY: New York 8115; Westchester 1387; Nassau 1234; Suffolk 662; Rockland 262; Orange 163; Albany 88; Erie 56; Dutchess 49; Monroe 46; Saratoga 35; Onondaga 34; Schenectady 32; Putnam 31; Rensselaer 20; Ulster 18; Tompkins 12; Sullivan 12; Niagara 9; Columbia 7; Clinton 4; Oneida 4; Ontario 4; Herkimer 3; Broome 3; Montgomery 3; Wayne 3; Greene 2; Wyoming 2; Livingston 2; Cortland 2; Allegany 2; Essex  2; Hamilton 2; Chenango 2; Steuben 2; Fulton 1; Warren 1; Schoharie 1; Jefferson 1; Genesee  1; Washington 1; Delaware 1; Tioga 1
South Korea,South Korea,"8,799",102,"1,540","7,157",3/21/20 20:00
Switzerland,Switzerland,"6,575",75,15,"6,485",3/21/20 23:00
United Kingdom,United Kingdom,"5,018",233,65,"4,720",3/21/20 23:00
Netherlands,Netherlands,"3,631",136,2,"3,493",3/21/20 23:00
Belgium,Belgium,"2,815",67,263,"2,485",3/21/20 20:00
Austria,Austria,"2,814",8,9,"2,797",3/21/20 20:00
Norway,Norway,"2,118",7,1,"2,110",3/21/20 20:00
Washington,USA,"1,793",94,0,"1,699",2020-03-22 03:00:00 * CTY: King 934; Snohomish 447; unknown 146; Pierce 95; Skagit 28; Island 19; Spokane 16; Kitsap 15; Whatcom 14; Yakima 13; Grant 11; Clark 9; Thurston 9; Benton 7; Jefferson 4; Klickitat 4; Kittitas 4; Chelan 3; Lewis 2; Franklin 2; Cowlitz 2; Clallam 2; Lincoln 1; Columbia 1; Stevens 1; Mason 1; Grays Harbor 1; San Juan 1; Walla Walla  1
Sweden,Sweden,"1,763",20,16,"1,727",3/21/20 20:00
California,USA,"1,518",28,0,"1,490",2020-03-22 03:00:00 * CTY: Los Angeles 351; Santa Clara 263; San Diego 155; San Mateo 110; San Francisco 84; Orange 78; Alameda 71; Sacramento 53; Contra Costa 51; Marin 38; San Joaquin 31; Riverside 30; Ventura 25; Sonoma 22; San Luis Obispo 21; Santa Cruz 15; Solano 13; Santa Barbara 13; Placer 12; Tulare 12; Monterey 11; San Bernardino 10; Fresno 6; Yolo 6; Imperial 6; Stanislaus 5; San Benito 5; Kern 5; Madera 3; Siskiyou 2; Humboldt 2; Calaveras 2; Yuba 2; Nevada 1; Shasta 1; Amador 1; Mono 1; Mendocino 1
Denmark,Denmark,"1,420",13,1,"1,406",3/21/20 23:00
Guangdong,Mainland China,"1,395",8,"1,322",65,3/20/20 11:00
Canada,Canada,"1,330",19,16,"1,295",2020-03-22 00:00:00 * Provinces: Ontario 377; British Columbia 424; Alberta 226; Quebec 181; Manitoba 19; Saskatchewan 44; Nova Scotia 21; New Brunswick 17; PEI 2; Newfoundland 6; Northwest Territories 1; Repatriated CDN 13
New Jersey,USA,"1,327",16,0,"1,311",2020-03-22 03:00:00 * CTY: Bergen 363; unknown 140; Middlesex 116; Essex 107; Hudson 97; Monmouth 92; Union 81; Passaic 67; Morris 64; Ocean 62; Somerset 34; Mercer 30; Burlington 21; Camden 15; Hunterdon 14; Gloucester 6; Sussex 6; Warren 5; Atlantic 4; Cape May 2; Cumberland 1
Portugal,Portugal,"1,280",12,5,"1,263",3/21/20 20:00
Henan,Mainland China,"1,273",22,"1,250",1,3/17/20 2:00
Zhejiang,Mainland China,"1,234",1,"1,219",14,3/20/20 11:00
Malaysia,Malaysia,"1,183",4,114,"1,065",3/21/20 20:00
Brazil,Brazil,"1,128",18,2,"1,108",2020-03-22 02:00:00 * States: Amazonas 11 Pará 2 Acre 9 Amapá 1 Rondônia 1 Tocantins 2 Ceara 68 Paraíba 1 Pernambuco 30 Rio Grande do Norte 6 Alagoas 7 Sergipe 10 Bahia 41 Piauí 4 Maranhão 1 Espírito Santo 26 Minas Gerais 38 Rio de Janeiro 119 São Paulo 459 Distrito Federal 100 Goiás 20 Mato Grosso do Sul 16 Mato Grosso 2 Paraná 43 Santa Catarina 51 Rio Grande do Sul 60 Source: @HeidyBello
Australia,Australia,"1,071",7,26,"1,038",3/21/20 23:00
Japan,Japan,"1,053",35,232,786,3/21/20 20:00
Hunan,Mainland China,"1,018",4,"1,004",10,3/13/20 2:00
Czech Republic,Czech Republic,995,0,6,989,3/21/20 23:00
Anhui,Mainland China,990,6,984,0,3/9/20 1:00
Jiangxi,Mainland China,935,1,934,0,3/13/20 2:00
Israel,Israel,883,1,36,846,3/21/20 20:00
