Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"245,636","6,066","9,228","230,342",4/3/20 3:00
Italy,Italy,"115,242","13,915","18,278","83,049",4/2/20 17:00
Spain,Spain,"112,065","10,348","26,743","74,974",4/3/20 1:00
New York,USA,"92,743","2,468",0,"90,275",2020-04-03 03:00:00 * CTY: Oswego 28; Orange 2048; Ontario 26; Onondaga 301; Oneida 61; Niagara 91; New York 51809; Nassau 10587; Montgomery 9; Monroe 420; Madison 77; Livingston 18; Lewis 2; Jefferson 15; Herkimer 14; Hamilton 2; Greene 21; Genesee 17; Fulton 6; Franklin 9; Essex 7; Erie 734; Dutchess 667; Delaware 23; Cortland 14; Columbia 51; Clinton 26; Chenango 28; Chemung 22; Chautauqua 8; Cayuga 6; Cattaraugus 8; Broome 46; Allegany 13; Albany 253; Yates 1; Wyoming 15; Westchester 11567; Wayne 27; Washington 13; Warren 18; Ulster 243; Tompkins 87; Tioga 8; Sullivan 156; Suffolk 8746; Steuben 43; St. Lawrence 42; Seneca 4; Schuyler 3; Schoharie 9; Schenectady 101; Saratoga 132; Rockland 3751; Rensselaer 67; Putnam 216; Otsego 21; Orleans 6
Germany,Germany,"84,794","1,107","22,440","61,247",2020-04-03 02:00:00 * States (not updated after 776360) Baden-Württemberg 16076; Bavaria 18571; Berlin 2993; Brandenburg 1107; Bremen 332; Hamburg 2437; Hesse 3758; Mecklenburg-Vorpommern 443; Lower Saxony 5008; North Rhine-Westphalia 17157; Rhineland-Palatinate 3331; Saarland 1073; Saxony 2304; Saxony-Anhalt 820; Schleswig-Holstein 1299; Thuringia 927; Source: @iceweasel
Mainland China,Mainland China,"81,590","3,312","76,307","1,971",4/3/20 0:00
Hubei,Mainland China,"67,802","3,193","63,326","1,283",4/1/20 7:00
France,France,"59,105","4,503","12,428","42,174",4/2/20 19:00
Iran,Iran,"50,468","3,160","16,711","30,597",4/2/20 12:00
United Kingdom,United Kingdom,"33,718","2,921",135,"30,662",4/2/20 14:00
New Jersey,USA,"25,590",537,0,"25,053",2020-04-03 03:00:00 * CTY: Warren 116; Union 2010; Atlantic 50; Bergen 4099; Burlington 294; Camden 343; Cape May 34; Cumberland 31; Essex 2617; Gloucester 169; Hudson 2270; Hunterdon 130; Mercer 386; Middlesex 1766; Monmouth 1458; Morris 1082; Ocean 1371; Passaic 1750; Salem 20; Somerset 549; Sussex 179; unknown 4866
Switzerland,Switzerland,"18,827",536,"4,013","14,278",4/2/20 19:00
Turkey,Turkey,"18,135",356,415,"17,364",4/2/20 19:00
Belgium,Belgium,"15,348","1,011","2,495","11,842",4/2/20 12:00
Netherlands,Netherlands,"14,697","1,339",250,"13,108",4/2/20 14:00
Austria,Austria,"11,129",158,"1,749","9,222",4/3/20 1:00
California,USA,"11,126",244,0,"10,882",2020-04-03 03:00:00 * CTY: Calaveras 3; Colusa 1; Contra Costa 276; El Dorado 18; Fresno 94; Glenn 2; Humboldt 37; Imperial 43; Inyo 10; Kern 158; Kings 5; Los Angeles 4045; Madera 25; Marin 118; Mendocino 4; Merced 12; Mono 18; Monterey 48; Napa 18; Nevada 26; Orange 656; Placer 90; Plumas 1; Riverside 493; Sacramento 341; San Benito 23; San Bernardino 304; San Diego 966; San Francisco 450; San Joaquin 173; San Luis Obispo 89; San Mateo 453; Santa Barbara 139; Santa Clara 1019; Santa Cruz 57; Shasta 11; Siskiyou 3; Solano 61; Sonoma 91; Stanislaus 50; Sutter 14; Tulare 74; Tuolumne 2; Ventura 177; Yolo 33; Yuba 8; Butte 9; Amador 3; Alpine 1; Alameda 373; Del Norte 1
