"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","78,064","2,715","29,783","2020-02-26 03:00:00"
"Hubei","Mainland China","65,187","2,615","20,912","2020-02-26 03:00:00"
"Guangdong","Mainland China","1,347","7","841","2020-02-26 03:00:00"
"Henan","Mainland China","1,271","19","1,023","2020-02-26 01:00:00"
"Zhejiang","Mainland China","1,205","1","814","2020-02-26 03:00:00"
"South Korea","South Korea","1,146","12","22","2020-02-26 01:30:00"
"Hunan","Mainland China","1,016","4","779","2020-02-26 01:00:00"
"Anhui","Mainland China","989","6","764","2020-02-26 01:00:00"
"Jiangxi","Mainland China","934","1","719","2020-02-26 03:00:00"
"Shandong","Mainland China","756","6","357","2020-02-26 01:00:00"
"Others","Japan (Diamond Princess)","691","3","0","2020-02-26 01:00:00"
"Jiangsu","Mainland China","631","0","463","2020-02-26 01:00:00"
"Chongqing","Mainland China","576","6","372","2020-02-26 01:00:00"
"Sichuan","Mainland China","531","3","292","2020-02-26 01:00:00"
"Heilongjiang","Mainland China","480","12","245","2020-02-26 01:00:00"
"Beijing","Mainland China","400","4","235","2020-02-26 01:00:00"
"Shanghai","Mainland China","336","3","268","2020-02-25 14:00:00"
"Italy","Italy","323","11","1","2020-02-26 01:00:00"
"Hebei","Mainland China","312","6","248","2020-02-26 01:00:00"
"Fujian","Mainland China","294","1","205","2020-02-26 01:00:00"
"Guangxi","Mainland China","252","2","138","2020-02-26 01:00:00"
"Shaanxi","Mainland China","245","1","186","2020-02-26 01:00:00"
"Yunnan","Mainland China","174","2","129","2020-02-25 14:00:00"
"Japan","Japan","171","1","22","2020-02-26 03:00:00"
"Hainan","Mainland China","168","5","124","2020-02-26 01:00:00"
"Guizhou","Mainland China","146","2","104","2020-02-26 03:00:00"
"Tianjin","Mainland China","135","3","91","2020-02-25 14:00:00"
"Shanxi","Mainland China","133","0","98","2020-02-25 19:30:00"
"Liaoning","Mainland China","121","1","88","2020-02-26 01:00:00"
"Iran","Iran","95","16","0","2020-02-25 14:00:00"
"Jilin","Mainland China","93","1","63","2020-02-26 01:00:00"
"Gansu","Mainland China","91","2","80","2020-02-24 14:00:00"
"Singapore","Singapore","90","0","53","2020-02-24 14:00:00"
"Hong Kong","Hong Kong","85","2","18","2020-02-26 03:00:00"
"Xinjiang Uygur","Mainland China","76","2","30","2020-02-25 03:00:00"
"Nei Mongol","Mainland China","75","0","35","2020-02-26 01:00:00"
"Ningxia","Mainland China","71","0","61","2020-02-26 03:00:00"
"USA","USA","52","0","6","2020-02-25 21:00:00"
"Thailand","Thailand","37","0","17","2020-02-25 14:00:00"
"Unknown location US","USA (all are repatriated cases)","36","0","0","2020-02-25 20:00:00"
"Taiwan","Taiwan","31","1","5","2020-02-25 14:00:00"
"Bahrain","Bahrain","23","0","0","2020-02-25 19:30:00"
"Australia","Australia","23","0","15","2020-02-26 01:00:00"
"Malaysia","Malaysia","22","0","15","2020-02-19 15:00:00"
"Qinghai","Mainland China","18","0","18","2020-02-21 03:00:00"
"Germany","Germany","18","0","14","2020-02-26 01:00:00"
"Vietnam","Vietnam","16","0","16","2020-02-25 14:00:00"
"France","France","14","1","11","2020-02-26 01:00:00"
"United Kingdom","United Kingdom","13","0","8","2020-02-24 02:00:00"
"United Arab Emirates","United Arab Emirates","13","0","4","2020-02-22 16:00:00"
"Canada","Canada","11","0","4","2020-02-24 19:30:00"
"Kuwait","Kuwait","11","0","0","2020-02-26 03:00:00"
"Macau","Macau","10","0","7","2020-02-26 03:00:00"
"California","USA","10","0","2","2020-02-22 03:00:00"
"Spain","Spain","7","0","2","2020-02-26 01:00:00"
"Israel","Esrael","6","0","0","2020-02-25 14:00:00"
"Iraq","Iraq","5","0","0","2020-02-25 14:00:00"
"Oman","Oman","4","0","0","2020-02-25 15:00:00"
"India","India","3","0","3","2020-02-18 15:00:00"
"Philippines","Philippines","3","1","1","2020-02-12 07:43:02"
"Russia","Russia","2","0","2","2020-02-12 14:43:03"
"Austria","Austria","2","0","0","2020-02-25 14:30"
"Illinois","USA","2","0","2","2020-02-09 19:03:03"
"Xizang","Mainland China","1","0","1","2020-02-12 06:43:02"
"Belgium","Belgium","1","0","1","2020-02-18 15:00:00"
"Cambodia","Cambodia","1","0","1","2020-02-12 07:43:02"
"Finland","Finland","1","0","1","2020-02-12 00:03:12"
"Nepal","Nepal","1","0","1","2020-02-12 14:43:03"
"Sri Lanka","Sri Lanka","1","0","1","2020-02-08 03:43:03"
"Croatia","Croatia","1","0","0","2020-02-25 14:00:00"
"Sweden","Sweden","1","0","0","2020-02-01 02:13:26"
"Egypt","Egypt","1","0","0","2020-02-14 21:00:00"
"Lebanon","Lebanon","1","0","0","2020-02-21 15:00:00"
"Afghanistan","Afghanistan","1","0","0","2020-02-24 12:00:00"
"Switzerland","Switzerland","1","0","0","2020-02-25 15:00:00"
"Algeria","Algeria","1","0","0","2020-02-26 00:00:00"
"Arizona","USA","1","0","1","2020-02-25 21:00:00"
"Massachusetts","USA","1","0","0","2020-02-01 19:43:00"
"Washington","USA","1","0","1","2020-02-09 07:03:00"
"Wisconsin","USA","1","0","0","2020-02-05 21:53:00"
