Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Mainland China,Mainland China,"80,928","3,244","70,410","7,274",3/19/20 3:00
Hubei,Mainland China,"67,800","3,130","57,678","6,992",3/19/20 3:00
Italy,Italy,"41,035","3,405","4,440","33,190",3/19/20 18:30
Iran,Iran,"18,407","1,284","5,710","11,413",3/19/20 13:00
Spain,Spain,"18,077",833,"1,107","16,137",3/20/20 2:00
Germany,Germany,"15,320",44,113,"15,163",2020-03-19 13:00:00 * States (not updated after 14269) Baden-Württemberg 2824; Bavaria 2303; Berlin 519; Brandenburg 171; Bremen 75; Hamburg 414; Hesse 666; Mecklenburg-Vorpommern 100; Lower Saxony 925; North Rhine-Westphalia 4628; Rhineland-Palatinate 664; Saarland 172; Saxony 315; Saxony-Anhalt 150; Schleswig-Holstein 224; Thuringia 119; Source: @iceweasel
USA,USA,"14,332",212,17,"14,103",3/20/20 3:00
France,France,"10,886",243,12,"10,631",3/19/20 21:00
South Korea,South Korea,"8,652",94,"1,540","7,018",3/20/20 2:00
New York,United States,"5,712",38,0,"5,674",2020-03-20 03:00:00 * CTY: New York 3954; Westchester 798; Nassau 372; Suffolk 239; Rockland 53; Orange 51; Albany 43; Dutchess 31; Monroe 30; Erie 28; Saratoga 21; unknown 18; Schenectady 14; Ulster 9; Onondaga 7; Tompkins 6; Putnam 5; Niagara 4; Rensselaer 4; Oneida 2; Wyoming 2; Allegany 2; Schoharie 2; Greene 2; Montgomery 2; Essex  1; Broome 1; Clinton 1; Sullivan 1; Delaware 1; Washington 1; Genesee  1; Tioga 1; Ontario 1; Chenango 1; Hamilton 1; Herkimer 1; Warren 1
Switzerland,Switzerland,"4,164",43,15,"4,106",3/20/20 2:00
United Kingdom,United Kingdom,"2,716",138,67,"2,511",3/20/20 2:00
Netherlands,Netherlands,"2,467",77,2,"2,388",3/20/20 2:00
Austria,Austria,"2,013",6,9,"1,998",3/19/20 15:00
Belgium,Belgium,"1,795",21,31,"1,743",3/19/20 12:00
Norway,Norway,"1,781",7,1,"1,773",3/20/20 2:00
Sweden,Sweden,"1,439",11,16,"1,412",3/19/20 19:00
Guangdong,Mainland China,"1,378",8,"1,318",52,3/19/20 3:00
Washington,United States,"1,377",74,1,"1,302",2020-03-20 03:00:00 * CTY: King 693; Snohomish 348; unknown 151; Pierce 75; Skagit 18; Island 17; Kitsap 12; Spokane 9; Grant 8; Yakima 7; Whatcom 7; Thurston 6; Kittitas 4; Clark 4; Jefferson 4; Chelan 2; Klickitat 2; Franklin 2; Benton 2; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Mason 1; Grays Harbor 1
Henan,Mainland China,"1,273",22,"1,250",1,3/17/20 2:00
Zhejiang,Mainland China,"1,233",1,"1,217",15,3/19/20 3:00
Denmark,Denmark,"1,225",6,1,"1,218",3/19/20 19:00
