Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"399,934","12,928","22,338","364,668",4/8/20 3:00
Spain,Spain,"141,942","14,045","43,208","84,689",4/8/20 0:00
New York,USA,"140,386","5,489","15,592","119,305",2020-04-08 03:00:00 * CTY: Albany 333; Allegany 17; Broome 86; Cattaraugus 13; Cayuga 14; Chautauqua 18; Chemung 49; Chenango 51; Clinton 37; Columbia 72; Cortland 16; Delaware 36; Dutchess 1249; Erie 1235; Essex 9; Franklin 10; Fulton 13; Genesee 33; Greene 24; Hamilton 2; Herkimer 27; Jefferson 39; Lewis 6; Livingston 24; Madison 92; Monroe 596; Montgomery 18; Nassau 16610; New York 76876; Niagara 126; Oneida 118; Onondaga 397; Ontario 33; Orange 3829; Orleans 15; Oswego 34; Otsego 34; Putnam 402; Rensselaer 88; Rockland 5990; Saratoga 155; Schenectady 145; Schoharie 12; Schuyler 4; Seneca 10; Steuben 75; St. Lawrence 61; Suffolk 15561; Sullivan 270; Tioga 8; Tompkins 103; Ulster 398; Warren 31; Washington 19; Wayne 35; Westchester 14804; Wyoming 23; Yates 1
Italy,Italy,"135,586","17,127","24,392","94,067",4/7/20 19:00
France,France,"109,069","10,328","19,337","79,404",4/7/20 19:00
Germany,Germany,"107,851","2,047","36,081","69,723",2020-04-08 02:00:00 * States Baden-Württemberg 22091; Bavaria 28025; Berlin 4038; Brandenburg 1607; Bremen 424; Hamburg 3217; Hesse 4997; Mecklenburg-Vorpommern 555; Lower Saxony 6771; North Rhine-Westphalia 22756; Rhineland-Palatinate 4329; Saarland 1700; Saxony 3245; Saxony-Anhalt 1037; Schleswig-Holstein 1783; Thuringia 1276; Source: @iceweasel
Mainland China,Mainland China,"81,772","3,327","76,900","1,545",4/8/20 1:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
Iran,Iran,"62,589","3,872","24,236","34,481",4/7/20 11:00
United Kingdom,United Kingdom,"55,242","6,159",135,"48,948",4/7/20 19:00
New Jersey,USA,"44,416","1,232",51,"43,133",2020-04-08 03:00:00 * CTY: Atlantic 144; Bergen 7533; Burlington 733; Camden 736; Cape May 94; Cumberland 71; Essex 5078; Gloucester 311; Hudson 4949; Hunterdon 234; Mercer 837; Middlesex 3717; Monmouth 2770; Morris 2239; Ocean 2641; Passaic 4104; Salem 31; Somerset 1033; Sussex 331; Union 4368; unknown 2207; Warren 255
Turkey,Turkey,"34,109",725,"1,582","31,802",4/7/20 19:00
Switzerland,Switzerland,"22,253",821,"8,704","12,728",4/7/20 19:00
Belgium,Belgium,"22,194","2,035","4,157","16,002",4/7/20 11:00
Netherlands,Netherlands,"19,580","2,101",250,"17,229",4/7/20 14:00
Michigan,USA,"18,970",845,94,"18,031",2020-04-08 03:00:00 * CTY: Allegan 18; Antrim 6; Arenac 3; Barry 7; Bay 31; Berrien 64; Branch 16; Calhoun 43; Cass 9; Charlevoix 8; Cheboygan 10; Chippewa 1; Clare 2; Clinton 73; Crawford 5; Delta 7; Dickinson 2; Eaton 61; Emmet 14; Genesee 638; Gladwin 4; Gogebic 3; Grand Traverse 15; Gratiot 6; Hillsdale 55; Houghton 1; Huron 4; Ingham 189; Ionia 9; Iosco 4; Isabella 22; Jackson 114; Kalamazoo 64; Kalkaska 10; Kent 187; Lapeer 56; Leelanau 3; Lenawee 32; Livingston 155; Luce 1; Mackinac 3; Macomb 2414; Manistee 9; Marquette 19; Mason 1; Mecosta 8; Midland 22; Missaukee 1; Monroe 129; Montcalm 16; Muskegon 41; Newaygo 3; Oakland 3736; Oceana 3; Ogemaw 3; Osceola 3; Oscoda 2; Other 243; Otsego 28; Ottawa 52; Out of State 118; Presque Isle 1; Roscommon 6; Saginaw 153; Sanilac 17; Shiawassee 24; St. Clair 129; St. Joseph 14; Tuscola 26; unknown 166; Van Buren 17; Washtenaw 559; Wayne 3569; Wayne--Detroit 5476; Wexford 7
Canada,Canada,"17,897",380,"4,028","13,489",2020-04-08 00:00:00 * Completed Tests: 355807; Tests in Progress 3974; Provinces: British Columbia 1291;Alberta 1373;Saskatchewan 260;Manitoba 217;Ontario 4726;Quebec 934;Newfoundland and Labrador 228;New Brunswick 105;Nova Scotia 310;Prince Edward Island 22;Yukon 7;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
California,USA,"17,625",452,341,"16,832",2020-04-08 03:00:00 * CTY: Alameda 634; Alpine 1; Amador 3; Butte 13; Calaveras 5; Colusa 3; Contra Costa 442; Del Norte 2; El Dorado 28; Fresno 146; Glenn 2; Humboldt 50; Imperial 73; Inyo 11; Kern 267; Kings 5; Lake 2; Los Angeles 7025; Madera 28; Marin 148; Mendocino 4; Merced 34; Mono 19; Monterey 63; Napa 23; Nevada 34; Orange 931; Placer 115; Plumas 3; Riverside 1016; Sacramento 525; San Benito 31; San Bernardino 547; San Diego 1454; San Francisco 622; San Joaquin 223; San Luis Obispo 99; San Mateo 589; Santa Barbara 218; Santa Clara 1285; Santa Cruz 76; Shasta 23; Siskiyou 4; Solano 99; Sonoma 120; Stanislaus 90; Sutter 19; Tehama 1; Tulare 157; Tuolumne 1; Ventura 243; Yolo 56; Yuba 13
Louisiana,USA,"16,284",582,0,"15,702",2020-04-08 03:00:00 * CTY: Acadia 82; Allen 58; Ascension 358; Assumption 84; Avoyelles 45; Beauregard 23; Bienville 17; Bossier 146; Caddo 756; Calcasieu 186; Caldwell 13; Cameron 1; Catahoula 13; Claiborne 30; Concordia 11; De Soto 89; East Baton Rouge 892; East Carroll 1; East Feliciana 39; Evangeline 23; Franklin 28; Grant 10; Iberia 89; Iberville 160; Jackson 5; Jefferson 3922; Jefferson Davis 25; Lafayette 272; Lafourche 322; La Salle 6; Lincoln 22; Livingston 94; Madison 2; Morehouse 20; Natchitoches 24; Orleans 4942; Ouachita 264; Parish Under Investigation 49; Plaquemines 115; Pointe Coupee 26; Rapides 129; Red River 2; Richland 13; Sabine 7; St. Bernard 289; St. Charles 310; St. Helena 10; St. James 176; St. John the Baptist 415; St. Landry 60; St. Martin 101; St. Mary 76; St. Tammany 700; Tangipahoa 238; Terrebonne 194; Union 33; Vermilion 19; Vernon 11; Washington 100; Webster 50; West Baton Rouge 52; West Carroll 1; West Feliciana 31; Winn 3
Massachusetts,USA,"15,202",356,311,"14,535",2020-04-08 03:00:00 * CTY: Barnstable 405; Berkshire 278; Bristol 768; Dukes and Nantucket 18; Essex 1841; Franklin 118; Hampden 997; Hampshire 158; Middlesex 3187; Norfolk 1592; Plymouth 1194; Suffolk 3245; unknown 229; Worcester 1172
Pennsylvania,USA,"14,956",250,134,"14,572",2020-04-08 03:00:00 * CTY: Adams 28; Allegheny 689; ​Armstrong 18; Beaver 116; Bedford 4; Berks 369; Blair 6; Bradford 14; Bucks 816; Butler 107; Cambria 7; Cameron 1; ​Carbon 67; Centre 55; Chester 335; Clarion 9; ​Clearfield 7; Clinton 3; Columbia 42; Crawford 8; Cumberland 77; Dauphin 155; Delaware 898; Elk 2; Erie 29; Fayette 32; Forest 5; Franklin 39; Fulton 1; Greene 15; Huntingdon 5; Indiana 21; Jefferson 1; Juniata 14; Lackawanna 235; Lancaster 490; Lawrence 29; Lebanon 145; Lehigh 1146; Luzerne 982; Lycoming 12; Mckean 1; Mercer 26; Mifflin 6; Monroe 610; Montgomery 1359; Montour 37; Northampton 774; Northumberland 22; Perry 9; Philadelphia 4272; Pike 136; Potter 3; Schuylkill 119; Snyder 9; ​Somerset 7; Sullivan 1; Susquehanna 11; Tioga 10; Union 7; Venango 5; Warren 1; Washington 57; Wayne 40; Westmoreland 177; Wyoming 5; York 218
Florida,USA,"14,747",296,0,"14,451",2020-04-08 03:00:00 * CTY: Alachua 139; Baker 15; Bay 25; Bradford 11; Brevard 98; Broward 2230; Calhoun 3; Charlotte 67; Citrus 51; Clay 88; Collier 271; Columbia 16; DeSoto 16; Dixie 1; Duval 521; Escambia 168; Flagler 35; Franklin 2; Gadsden 6; Gilchrist 1; Glades 4; Gulf 1; Hamilton 1; Hardee 2; Hendry 9; Hernando 51; Highlands 37; Hillsborough 608; Holmes 2; Indian River 62; Jackson 4; Jefferson 4; Lake 122; Lee 439; Leon 68; Levy 5; Madison 11; Manatee 164; Marion 62; Martin 100; Miami-Dade 5126; Monroe 49; Nassau 27; Okaloosa 70; Okeechobee 5; Orange 768; Osceola 256; Palm Beach 1159; Pasco 122; Pinellas 387; Polk 199; Putnam 20; Santa Rosa 66; Sarasota 173; Seminole 202; St. Johns 154; St. Lucie 122; Sumter 87; Suwannee 33; Taylor 1; Union 2; unknown 2; Volusia 163; Wakulla 6; Walton 26; Washington 2
