"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","79,822","2,870","41,640","2020-03-01 03:00:00"
"Hubei","Mainland China","66,907","2,761","31,187","2020-03-01 03:00:00"
"South Korea","South Korea","3,526","17","30","2020-03-01 03:00:00"
"Guangdong","Mainland China","1,349","7","1,009","2020-03-01 03:00:00"
"Henan","Mainland China","1,272","22","1,185","2020-03-01 03:00:00"
"Zhejiang","Mainland China","1,205","1","1,027","2020-03-01 03:00:00"
"Italy","Italy","1,128","29","46","2020-02-29 19:00:00"
"Hunan","Mainland China","1,018","4","853","2020-03-01 03:00:00"
"Anhui","Mainland China","990","6","888","2020-03-01 03:00:00"
"Jiangxi","Mainland China","935","1","831","2020-03-01 03:00:00"
"Shandong","Mainland China","756","6","431","2020-03-01 03:00:00"
"Others","Japan (Diamond Princess)","705","6","10","2020-02-28 22:00:00"
"Jiangsu","Mainland China","631","0","529","2020-03-01 03:00:00"
"Iran","Iran","593","43","123","2020-02-29 11:30:00"
"Chongqing","Mainland China","576","6","438","2020-03-01 03:00:00"
"Sichuan","Mainland China","538","3","363","2020-03-01 03:00:00"
"Heilongjiang","Mainland China","480","13","330","2020-03-01 03:00:00"
"Beijing","Mainland China","411","8","271","2020-02-29 15:00:00"
"Shanghai","Mainland China","337","3","287","2020-02-29 15:00:00"
"Hebei","Mainland China","318","6","283","2020-03-01 03:00:00"
"Fujian","Mainland China","296","1","243","2020-03-01 03:00:00"
"Guangxi","Mainland China","252","2","179","2020-03-01 03:00:00"
"Shaanxi","Mainland China","245","1","207","2020-03-01 03:00:00"
"Japan","Japan","241","5","32","2020-03-01 03:00:00"
"Yunnan","Mainland China","174","2","157","2020-02-29 15:00:00"
"Hainan","Mainland China","168","5","148","2020-03-01 03:00:00"
"Guizhou","Mainland China","146","2","112","2020-02-27 03:00:00"
"Tianjin","Mainland China","136","3","109","2020-03-01 03:00:00"
"Shanxi","Mainland China","133","0","114","2020-03-01 03:00:00"
