Place,Region,Confirmed,Deaths,Recovered,Last Update
Luxembourg,Luxembourg,2,0,0,3/6/20 15:00
Morocco,Morocco,2,0,0,3/6/20 14:00
Hungary,Hungary,2,0,0,3/4/20 19:40
Martinique,Martinique,2,0,0,3/7/20 4:00
New Hampshire,USA,2,0,0,2020-03-04 03:00:00 * CNTY: Crafton 2
North Carolina,USA,2,0,0,2020-03-06 16:00:00 * CTY: Wake 1; Chatham 1
Nevada,USA,2,0,0,2020-03-06 20:00:00 * CTY: Clark 1 (presumptively positive); Washoe 1
Pennsylvania,USA,2,0,0,2020-03-06 16:00:00 * CTY: Delaware 1; Wayne 1
South Carolina,USA,2,0,0,2020-03-07 03:00:00 * CTY: Kershaw 1; Charleston 1
Xizang,Mainland China,1,0,1,2/12/20 7:00
Cambodia,Cambodia,1,0,1,2/12/20 7:43
Nepal,Nepal,1,0,1,2/12/20 14:43
Sri Lanka,Sri Lanka,1,0,1,2/8/20 3:43
Afghanistan,Afghanistan,1,0,0,2/24/20 12:00
North Macedonia,North Macedonia,1,0,0,2/26/20 21:00
Nigeria,Nigeria,1,0,0,2/28/20 2:00
Lithuania,Lithuania,1,0,0,2/28/20 11:00
Monaco,Monaco,1,0,0,2/28/20 23:30
Armenia,Armenia,1,0,0,3/1/20 19:00
Andorra,Andorra,1,0,0,3/2/20 12:00
Jordan,Jordan,1,0,0,3/2/20 13:22
Tunisia,Tunisia,1,0,0,3/2/20 16:00
Latvia,Latvia,1,0,0,3/2/20 17:00
Ukraine,Ukraine,1,0,0,3/3/20 10:00
Liechtenstein,Liechtenstein,1,0,0,3/3/20 22:00
South Africa,South Africa,1,0,0,3/5/20 12:25
Costa Rica,Costa Rica,1,0,0,3/6/20 1:29
Serbia,Serbia,1,0,0,3/6/20 11:00
Cameroon,Cameroon,1,0,0,3/6/20 11:00
Bhutan,Bhutan,1,0,0,3/6/20 11:00
Peru,Peru,1,0,0,3/6/20 13:00
Slovakia,Slovakia,1,0,0,3/6/20 13:00
Togo,Togo,1,0,0,3/6/20 16:30
Vatican City,Vatican City,1,0,0,3/6/20 16:30
Colombia,Colombia,1,0,0,3/6/20 22:00
Wisconsin,USA,1,0,0,2020-02-05 21:53:00 * CTY: Dane 1
Tennessee,USA,1,0,0,2020-03-05 15:00:00 * CTY: Williamson 1
Indiana,USA,1,0,0,2020-03-06 16:40:00 * CTY: Marion 1
Minnesota,USA,1,0,0,2020-03-07 01:00:00 * CTY: Ramsey 1
Kentucky,USA,1,0,0,2020-03-07 01:00:00 * CTY: Fayette 1
Oklahoma,USA,1,0,0,2020-03-07 01:00:00 * CTY: Tulsa 1
Connecticut,USA,1,0,0,2020-03-07 01:00:00 * CTY: Fairfield 1
Hawaii,USA,1,0,0,3/7/20 3:00
Utah,USA,1,0,0,2020-03-07 03:00:00i * CTY: Davis 1
Nebraska,USA,1,0,0,2020-03-07 03:00:00i * CTY: Douglas 1
