Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"534,361","20,651","32,110","481,600",4/12/20 9:00
New York,USA,"181,825","8,650","17,089","156,086",4/12/20 9:00
Spain,Spain,"163,027","16,606","59,109","87,312",4/12/20 2:00
Italy,Italy,"152,271","19,468","32,534","100,269",4/11/20 17:00
France,France,"129,654","13,832","26,391","89,431",4/11/20 21:00
Germany,Germany,"125,824","2,915","57,400","65,509",2020-04-12 02:00:00 * States Baden-Württemberg 25705; Bavaria 32963; Berlin 4553; Brandenburg 1997; Bremen 479; Hamburg 3739; Hesse 5975; Mecklenburg-Vorpommern 604; Lower Saxony 8057; North Rhine-Westphalia 26210; Rhineland-Palatinate 4905; Saarland 2100; Saxony 3789; Saxony-Anhalt 1180; Schleswig-Holstein 2099; Thuringia 1469; Source: @iceweasel
Mainland China,Mainland China,"81,969","3,327","77,035","1,607",4/11/20 3:00
United Kingdom,United Kingdom,"78,991","9,875",344,"68,772",4/11/20 17:00
Iran,Iran,"70,029","4,357","41,947","23,725",4/11/20 14:00
Hubei,Mainland China,"67,803","3,207","63,762",834,4/4/20 2:00
New Jersey,USA,"58,151","2,183",355,"55,613",4/12/20 9:00
Turkey,Turkey,"52,167","1,101","2,965","48,101",4/11/20 21:00
Belgium,Belgium,"28,018","3,346","5,986","18,686",4/11/20 14:00
Switzerland,Switzerland,"25,107","1,036","12,100","11,971",4/11/20 21:00
Netherlands,Netherlands,"24,413","2,643",250,"21,520",4/11/20 14:00
Michigan,USA,"23,993","1,392",443,"22,158",4/12/20 9:00
Canada,Canada,"23,318",653,"6,639","16,026",2020-04-11 21:00:00 * Completed Tests: 411205; Tests in Progress 4468; Provinces: British Columbia 1445;Alberta 1569;Saskatchewan 289;Manitoba 243;Ontario 6648;Quebec 12292;Newfoundland and Labrador 241;New Brunswick 112;Nova Scotia 428;Prince Edward Island 25;Yukon 8;Northwest Territories 5;Nunavut 0;Repatriated travellers 13
Massachusetts,USA,"22,860",686,729,"21,445",4/12/20 9:00
California,USA,"22,416",634,942,"20,840",4/12/20 9:00
Pennsylvania,USA,"21,942",530,179,"21,233",4/12/20 9:00
Brazil,Brazil,"20,727","1,124",127,"19,476",2020-04-12 02:00:00 * States Acre 72 Amazonas 1050 Amapá 193 Pará 217 Rondônia 33 Roraima 75 Tocantins 23 Alagoas 48 Bahia 635 Ceara 1582 Maranhão 344 Paraíba 85 Pernambuco 816 Piauí 41 Rio Grande do Norte 289 Sergipe 42 Espírito Santo 349 Minas Gerais 750 Rio de Janeiro 2607 São Paulo 8419 Distrito Federal 579 Goiás 209 Mato Grosso do Sul 100 Mato Grosso 121 Paraná 676 Rio Grande do Sul 640 Santa Catarina 732. Source: @HeidyBello
Louisiana,USA,"20,014",806,0,"19,208",4/12/20 9:00
Illinois,USA,"19,180",677,216,"18,287",4/12/20 9:00
Florida,USA,"18,986",446,0,"18,540",4/12/20 9:00
Portugal,Portugal,"15,987",470,266,"15,251",4/11/20 14:00
Austria,Austria,"13,806",337,"6,604","6,865",4/12/20 2:00
Russia,Russia,"13,584",106,"1,045","12,433",4/11/20 14:00
Texas,USA,"13,354",273,"1,888","11,193",4/12/20 9:00
Georgia,USA,"12,261",433,340,"11,488",4/12/20 9:00
Connecticut,USA,"11,510",494,34,"10,982",4/12/20 9:00
Israel,Israel,"10,743",101,"1,341","9,301",4/11/20 21:00
South Korea,South Korea,"10,480",211,"7,243","3,026",4/11/20 14:00
Washington,USA,"10,416",496,"1,287","8,633",4/12/20 9:00
Sweden,Sweden,"10,151",887,381,"8,883",4/11/20 14:00
Ireland,Ireland,"8,928",320,25,"8,583",4/11/20 21:00
India,India,"8,453",289,972,"7,192",2020-04-11 21:00:00 * States: Maharashtra 1761;Tamil Nadu 969;Delhi 1069;Telangana 503;Rajasthan 700;Kerala 373;Uttar Pradesh 452;Andhra Pradesh 405;Madhya Pradesh 529;Karnataka 215;Gujarat 468;Haryana 179;Jammu and Kashmir 224;Punjab 158;West Bengal 126;Odisha 54;Bihar 64;Uttarakhand 35;Assam 29;Chandigarh 19;Himachal Pradesh 32;Ladakh 15;Andaman and Nicobar Islands 11;Chhattisgarh 25;Goa 7;Puducherry 7;Jharkhand 17;Manipur 2;Mizoram 1;Arunachal Pradesh 1;Dadra and Nagar Haveli 1;Tripura 2;Daman and Diu 0;Lakshadweep 0;Meghalaya 0;Nagaland 0;Sikkim 0
Maryland,USA,"7,694",206,288,"7,200",4/12/20 9:00
Indiana,USA,"7,435",330,58,"7,047",4/12/20 9:00
Ecuador,Ecuador,"7,257",315,411,"6,531",4/11/20 17:00
Chile,Chile,"6,927",73,"1,864","4,990",2020-04-11 17:00:00 * Arica 107; Tarapaca 38; Antofagasta 117; Atacama 13; Coquimbo 64; Valparaiso 248; Metropolitana 3448; O'Higgins 45; Maule 134; Ñuble 606; Biobio 490; Araucania 739; Los Rios 130; Los Lagos 364; Aysen 7; Magallanes 377. Source: @SouthernVOID
Colorado,USA,"6,893",274,108,"6,511",4/12/20 9:00
Peru,Peru,"6,848",181,"1,739","4,928",2020-04-11 19:00:00 * Lima 4933; Callao 541; Lambayeque 326; Loreto 315; La Libertad 108; Piura 91; Ancash 88; Arequipa 85; Tumbes 68; Junin 58; Cusco 58; Ica 47; Amazonas 22; San Martin 20; Ucayali 14; Ayacucho 13; Cajamarca 11; Tacna 9; Huanuco 9; Pasco 9; Moquegua 8; Huancavelica 7; Madre de Dios 4; Apurímac 3; Puno 1. @SouthernVOID
Pakistan,Pakistan,"6,495",66,727,"5,702",4/10/20 16:00
Norway,Norway,"6,409",119,32,"6,258",4/12/20 2:00
Poland,Poland,"6,356",208,375,"5,773",4/11/20 17:00
Australia,Australia,"6,303",57,"1,806","4,440",4/11/20 17:00
Ohio,USA,"6,250",247,12,"5,991",4/12/20 9:00
Japan,Japan,"6,005",99,762,"5,144",4/11/20 14:00
Denmark,Denmark,"5,996",260,"1,955","3,781",4/11/20 14:00
Romania,Romania,"5,990",282,758,"4,950",4/11/20 14:00
Czech Republic,Czech Republic,"5,902",129,411,"5,362",4/12/20 2:00
Tennessee,USA,"5,132",106,"1,386","3,640",4/12/20 9:00
